Date,Fund,benchmark
2015-08-18,-0.00397,-0.00380
2015-08-19,-0.00813,-0.00801
2015-08-20,-0.02150,-0.02354
2015-08-21,-0.03339,-0.03708
2015-08-24,-0.05381,-0.05738
2015-08-25,-0.05105,-0.05415
2015-08-26,-0.04230,-0.04106
2015-08-27,-0.03094,-0.02974
2015-08-28,-0.02889,-0.02647
2015-08-31,-0.03424,-0.03042
2015-09-01,-0.05040,-0.04795
2015-09-02,-0.04346,-0.03826
2015-09-03,-0.04383,-0.03840
2015-09-04,-0.05117,-0.04459
2015-09-07,-0.05117,-0.04459
2015-09-08,-0.04258,-0.03457
2015-09-09,-0.04097,-0.03776
2015-09-10,-0.04210,-0.03646
2015-09-11,-0.04134,-0.03620
2015-09-14,-0.04471,-0.03918
2015-09-15,-0.04201,-0.03552
2015-09-16,-0.03476,-0.02914
2015-09-17,-0.03391,-0.02930
2015-09-18,-0.04110,-0.03703
2015-09-21,-0.03943,-0.03338
2015-09-22,-0.05134,-0.04223
2015-09-23,-0.04994,-0.04356
2015-09-24,-0.05608,-0.04772
2015-09-25,-0.05135,-0.04805
2015-09-28,-0.06190,-0.06014
2015-09-29,-0.06347,-0.05948
2015-09-30,-0.06297,-0.05058
2015-10-01,-0.06550,-0.05494
2015-10-02,-0.06223,-0.04876
2015-10-05,-0.05695,-0.03882
2015-10-06,-0.05519,-0.03993
2015-10-07,-0.04949,-0.03180
2015-10-08,-0.04837,-0.02807
2015-10-09,-0.04831,-0.02952
2015-10-12,-0.04831,-0.02952
2015-10-13,-0.04905,-0.03368
2015-10-14,-0.05130,-0.03744
2015-10-15,-0.05120,-0.03274
2015-10-16,-0.04778,-0.03242
2015-10-19,-0.04573,-0.02999
2015-10-20,-0.04762,-0.02969
2015-10-21,-0.04379,-0.02933
2015-10-22,-0.04022,-0.02532
2015-10-23,-0.03396,-0.01652
2015-10-26,-0.03541,-0.02010
2015-10-27,-0.03441,-0.02227
2015-10-28,-0.03407,-0.01864
2015-10-29,-0.03727,-0.02082
2015-10-30,-0.04331,-0.02631
2015-11-02,-0.03994,-0.02078
2015-11-03,-0.04083,-0.01908
2015-11-04,-0.03938,-0.01722
2015-11-05,-0.04117,-0.01789
2015-11-06,-0.04080,-0.01511
2015-11-09,-0.04488,-0.02227
2015-11-10,-0.04629,-0.02379
2015-11-11,-0.04597,-0.02526
2015-11-12,-0.05100,-0.03337
2015-11-13,-0.05457,-0.03801
2015-11-16,-0.04990,-0.02891
2015-11-17,-0.04794,-0.02802
2015-11-18,-0.04296,-0.02077
2015-11-19,-0.03933,-0.02045
2015-11-20,-0.03876,-0.01769
2015-11-23,-0.03937,-0.01749
2015-11-24,-0.04221,-0.01949
2015-11-25,-0.04156,-0.01869
2015-11-26,-0.03991,-0.01703
2015-11-27,-0.03913,-0.01639
2015-11-30,-0.03943,-0.01798
2015-12-01,-0.03165,-0.01031
