Date,Fund,benchmark
2011-07-04,0.00628,0.00645
2011-07-05,0.00744,0.00755
2011-07-06,0.00702,0.00753
2011-07-07,0.00721,0.00899
2011-07-08,0.00437,0.00735
2011-07-11,-0.00737,-0.00232
2011-07-12,-0.01127,-0.00605
2011-07-13,-0.00724,-0.00234
2011-07-14,-0.01219,-0.00638
2011-07-15,-0.01298,-0.00506
2011-07-18,-0.01788,-0.00969
2011-07-19,-0.01461,-0.00591
2011-07-20,-0.01192,-0.00460
2011-07-21,-0.00298,0.00135
2011-07-22,0.00284,0.00598
2011-07-25,-0.00309,0.00127
2011-07-26,-0.00689,-0.00094
2011-07-27,-0.01970,-0.01223
2011-07-28,-0.02079,-0.01118
2011-07-29,-0.02316,-0.01206
2011-08-01,-0.02316,-0.01206
2011-08-02,-0.04026,-0.02572
2011-08-03,-0.03987,-0.02572
2011-08-04,-0.06388,-0.04941
2011-08-05,-0.07516,-0.05827
2011-08-08,-0.10445,-0.09141
2011-08-09,-0.08342,-0.06961
2011-08-10,-0.09453,-0.07964
2011-08-11,-0.07419,-0.06176
2011-08-12,-0.06586,-0.05803
2011-08-15,-0.05783,-0.04976
2011-08-16,-0.06363,-0.05516
2011-08-17,-0.06120,-0.05338
2011-08-18,-0.08750,-0.07529
2011-08-19,-0.09989,-0.08542
2011-08-22,-0.09723,-0.08448
2011-08-23,-0.08049,-0.07175
2011-08-24,-0.07715,-0.07088
2011-08-25,-0.08372,-0.07727
2011-08-26,-0.08008,-0.07288
2011-08-29,-0.06917,-0.06284
2011-08-30,-0.06337,-0.05786
2011-08-31,-0.05398,-0.05016
2011-09-01,-0.05993,-0.05362
2011-09-02,-0.07000,-0.06176
2011-09-05,-0.07000,-0.06176
2011-09-06,-0.08424,-0.07173
2011-09-07,-0.06691,-0.05920
2011-09-08,-0.06966,-0.06232
2011-09-09,-0.08694,-0.07397
2011-09-12,-0.09938,-0.08295
2011-09-13,-0.09564,-0.08139
2011-09-14,-0.08702,-0.07647
2011-09-15,-0.07671,-0.07023
2011-09-16,-0.08071,-0.07217
2011-09-19,-0.08491,-0.07760
2011-09-20,-0.08131,-0.07595
2011-09-21,-0.09245,-0.08551
2011-09-22,-0.11035,-0.10016
2011-09-23,-0.11006,-0.10127
2011-09-26,-0.09749,-0.09347
2011-09-27,-0.08599,-0.08503
2011-09-28,-0.09237,-0.09125
2011-09-29,-0.08398,-0.08506
2011-09-30,-0.08316,-0.09223
2011-10-03,-0.09204,-0.10865
2011-10-04,-0.08863,-0.10496
2011-10-05,-0.08831,-0.09985
2011-10-06,-0.07970,-0.08593
2011-10-07,-0.08260,-0.09135
2011-10-10,-0.08260,-0.09135
2011-10-11,-0.07474,-0.07732
2011-10-12,-0.07587,-0.07206
