Date,Fund,benchmark
2016-06-02,0.00433,0.00453
2016-06-03,0.00031,0.00111
2016-06-06,-0.00107,0.00030
2016-06-07,0.00179,0.00276
2016-06-08,-0.00072,0.00159
2016-06-09,-0.00672,-0.00191
2016-06-10,-0.02097,-0.01197
2016-06-13,-0.02671,-0.01684
2016-06-14,-0.03216,-0.02041
2016-06-15,-0.02638,-0.01550
2016-06-16,-0.02452,-0.01523
2016-06-17,-0.02514,-0.01701
2016-06-20,-0.01615,-0.00978
2016-06-21,-0.01289,-0.00883
2016-06-22,-0.01250,-0.00835
2016-06-23,0.00084,-0.00103
2016-06-24,-0.03515,-0.02221
2016-06-27,-0.04455,-0.03475
2016-06-28,-0.03015,-0.02268
2016-06-29,-0.01928,-0.01210
2016-06-30,-0.01882,-0.00563
2016-07-01,-0.01882,-0.00563
