Date,Fund,benchmark
2010-01-04,0.00788,0.00758
2010-01-05,0.00871,0.00999
2010-01-06,0.00634,0.01060
2010-01-07,0.00500,0.00926
2010-01-08,0.00900,0.01246
2010-01-11,0.01273,0.01415
2010-01-12,0.01273,0.01415
2010-01-13,0.00781,0.00979
2010-01-14,0.00571,0.00824
2010-01-15,0.00190,0.00350
2010-01-18,0.00291,0.00489
2010-01-19,0.00728,0.00886
2010-01-20,0.00605,0.00556
2010-01-21,-0.00177,-0.00513
2010-01-22,-0.00714,-0.01298
2010-01-25,-0.00839,-0.01212
2010-01-26,-0.00820,-0.01446
2010-01-27,-0.00911,-0.01532
2010-01-28,-0.01484,-0.01881
2010-01-29,-0.02156,-0.02463
2010-02-01,-0.01593,-0.01674
2010-02-02,-0.00964,-0.01034
2010-02-03,-0.01209,-0.01071
2010-02-04,-0.02446,-0.02579
2010-02-05,-0.02985,-0.03025
2010-02-08,-0.03163,-0.03416
2010-02-09,-0.02724,-0.02623
2010-02-10,-0.03063,-0.02763
2010-02-11,-0.03146,-0.02424
2010-02-12,-0.03157,-0.02387
2010-02-15,-0.03157,-0.02387
2010-02-16,-0.02480,-0.01746
2010-02-17,-0.02199,-0.01337
2010-02-18,-0.02112,-0.01109
2010-02-19,-0.02193,-0.01258
2010-02-22,-0.02081,-0.01223
2010-02-23,-0.01977,-0.01455
2010-02-24,-0.01910,-0.01361
2010-02-25,-0.01523,-0.01087
2010-02-26,-0.01595,-0.00995
2010-03-01,-0.01577,-0.00617
2010-03-02,-0.01341,-0.00226
2010-03-03,-0.01174,-0.00100
2010-03-04,-0.01492,-0.00225
2010-03-05,-0.00597,0.00633
2010-03-08,-0.00657,0.00673
2010-03-09,-0.00839,0.00542
2010-03-10,-0.00534,0.00842
2010-03-11,-0.00424,0.01078
2010-03-12,-0.00531,0.01053
2010-03-15,-0.00673,0.00858
2010-03-16,-0.00224,0.01339
2010-03-17,-0.00133,0.01575
2010-03-18,-0.00335,0.01351
2010-03-19,-0.00706,0.00965
2010-03-22,-0.00314,0.01170
2010-03-23,-0.00112,0.01535
2010-03-24,-0.00455,0.01301
2010-03-25,-0.00557,0.01211
2010-03-26,-0.00091,0.01489
2010-03-29,0.00106,0.01701
2010-03-30,-0.00038,0.01751
2010-03-31,-0.00038,0.01586
2010-04-01,0.00880,0.02199
2010-04-02,0.00880,0.02199
2010-04-05,0.00503,0.02262
2010-04-06,0.00314,0.02281
2010-04-07,0.00439,0.02273
2010-04-08,-0.00315,0.02011
2010-04-09,0.01120,0.02648
2010-04-12,0.01442,0.02556
2010-04-13,0.01022,0.02388
2010-04-14,0.01769,0.02986
2010-04-15,0.02095,0.03238
2010-04-16,0.01484,0.02578
2010-04-19,0.00727,0.02458
2010-04-20,0.00101,0.02288
2010-04-21,0.00071,0.02317
2010-04-22,-0.00994,0.02328
2010-04-23,-0.00349,0.02906
2010-04-26,0.00505,0.03231
2010-04-27,-0.00663,0.02430
2010-04-28,-0.02581,0.01769
2010-04-29,-0.01537,0.02528
2010-04-30,-0.00954,0.02570
2010-05-03,-0.01697,0.02688
2010-05-04,-0.03182,0.01573
2010-05-05,-0.04031,0.00749
2010-05-06,-0.03438,0.00062
2010-05-07,-0.07202,-0.01378
2010-05-10,-0.04459,0.00653
2010-05-11,-0.05357,0.00372
2010-05-12,-0.04608,0.01404
2010-05-13,-0.04679,0.01032
2010-05-14,-0.06377,0.00300
2010-05-17,-0.07241,-0.00372
2010-05-18,-0.07006,-0.00801
2010-05-19,-0.07830,-0.01252
2010-05-20,-0.07842,-0.02707
2010-05-21,-0.07976,-0.02183
2010-05-24,-0.07976,-0.02183
2010-05-25,-0.09369,-0.02701
2010-05-26,-0.09418,-0.02601
2010-05-27,-0.07483,-0.01057
2010-05-28,-0.07530,-0.01407
2010-05-31,-0.07403,-0.01315
2010-06-01,-0.08201,-0.02095
2010-06-02,-0.08711,-0.01321
2010-06-03,-0.07707,-0.00868
2010-06-04,-0.08727,-0.01982
2010-06-07,-0.10378,-0.02820
2010-06-08,-0.10824,-0.02917
2010-06-09,-0.10483,-0.03249
2010-06-10,-0.09622,-0.02164
2010-06-11,-0.08788,-0.01800
2010-06-14,-0.07856,-0.01533
2010-06-15,-0.06889,-0.00264
2010-06-16,-0.06559,-0.00331
