Date,Fund,benchmark
2008-09-02,-0.00637,-0.01142
2008-09-03,-0.01466,-0.02027
2008-09-04,-0.02688,-0.03531
2008-09-05,-0.03377,-0.04023
2008-09-08,-0.02636,-0.03398
2008-09-09,-0.04015,-0.05189
2008-09-10,-0.03682,-0.04420
2008-09-11,-0.03056,-0.04313
2008-09-12,-0.03218,-0.04119
2008-09-15,-0.04690,-0.06187
2008-09-16,-0.05025,-0.06560
2008-09-17,-0.06448,-0.08361
2008-09-18,-0.05843,-0.07333
2008-09-19,-0.03557,-0.04585
2008-09-22,-0.05296,-0.06081
2008-09-23,-0.05875,-0.06879
2008-09-24,-0.06020,-0.07008
2008-09-25,-0.05607,-0.06652
2008-09-26,-0.06424,-0.07836
2008-09-29,-0.09536,-0.11681
2008-09-30,-0.09376,-0.09525
2008-10-01,-0.09249,-0.09887
2008-10-02,-0.09756,-0.12413
2008-10-03,-0.09614,-0.12860
2008-10-06,-0.10118,-0.15364
2008-10-07,-0.10615,-0.17341
2008-10-08,-0.10871,-0.17539
2008-10-09,-0.11045,-0.19505
2008-10-10,-0.11564,-0.20906
2008-10-13,-0.11564,-0.20906
2008-10-14,-0.09839,-0.16602
2008-10-15,-0.10486,-0.20072
2008-10-16,-0.11206,-0.19535
2008-10-17,-0.10607,-0.19559
2008-10-20,-0.09199,-0.16810
2008-10-21,-0.08964,-0.18189
2008-10-22,-0.08875,-0.20354
2008-10-23,-0.08701,-0.20450
2008-10-24,-0.09214,-0.21955
2008-10-27,-0.09815,-0.24510
2008-10-28,-0.08696,-0.21055
2008-10-29,-0.09856,-0.21157
2008-10-30,-0.09284,-0.19123
2008-10-31,-0.09880,-0.19088
2008-11-03,-0.10926,-0.19525
2008-11-04,-0.10480,-0.18039
2008-11-05,-0.10187,-0.19319
2008-11-06,-0.10773,-0.20768
2008-11-07,-0.10509,-0.19909
2008-11-10,-0.09943,-0.19754
2008-11-11,-0.10660,-0.20945
2008-11-12,-0.10190,-0.22461
2008-11-13,-0.10521,-0.20600
2008-11-14,-0.10401,-0.22076
2008-11-17,-0.10997,-0.23025
2008-11-18,-0.10696,-0.23155
2008-11-19,-0.10839,-0.24971
2008-11-20,-0.10648,-0.27007
2008-11-21,-0.10693,-0.25411
2008-11-24,-0.10658,-0.24456
2008-11-25,-0.10111,-0.24247
2008-11-26,-0.09609,-0.23093
2008-11-27,-0.09153,-0.22631
2008-11-28,-0.08491,-0.21229
2008-12-01,-0.09381,-0.24727
2008-12-02,-0.08701,-0.23979
2008-12-03,-0.08391,-0.23752
2008-12-04,-0.07690,-0.24339
2008-12-05,-0.08113,-0.23683
2008-12-08,-0.07424,-0.22042
2008-12-09,-0.07182,-0.22380
2008-12-10,-0.06922,-0.21264
2008-12-11,-0.07701,-0.22602
2008-12-12,-0.07306,-0.22085
2008-12-15,-0.07317,-0.22506
2008-12-16,-0.06910,-0.21104
2008-12-17,-0.06402,-0.21495
2008-12-18,-0.06635,-0.21998
2008-12-19,-0.06333,-0.21423
2008-12-22,-0.06864,-0.22643
2008-12-23,-0.07210,-0.22818
2008-12-24,-0.07351,-0.22791
2008-12-25,-0.07351,-0.22791
2008-12-26,-0.07351,-0.22791
2008-12-29,-0.06360,-0.21588
2008-12-30,-0.05720,-0.20385
2008-12-31,-0.05720,-0.19782
2009-01-01,-0.05720,-0.19782
2009-01-02,-0.05727,-0.18788
2009-01-05,-0.06831,-0.19121
2009-01-06,-0.06952,-0.18566
2009-01-07,-0.06818,-0.19682
2009-01-08,-0.07028,-0.19888
2009-01-09,-0.06927,-0.20467
2009-01-12,-0.06393,-0.21316
2009-01-13,-0.06441,-0.21011
2009-01-14,-0.06138,-0.21882
2009-01-15,-0.06191,-0.21462
2009-01-16,-0.06168,-0.21015
2009-01-19,-0.06469,-0.21354
2009-01-20,-0.06863,-0.23134
2009-01-21,-0.06676,-0.21995
2009-01-22,-0.07173,-0.23104
2009-01-23,-0.08052,-0.23406
2009-01-26,-0.08053,-0.23209
2009-01-27,-0.07546,-0.22599
2009-01-28,-0.07548,-0.21755
2009-01-29,-0.07996,-0.22631
2009-01-30,-0.08363,-0.22931
