Date,Fund,benchmark
2015-08-18,-0.00339,-0.00380
2015-08-19,-0.00490,-0.00801
2015-08-20,-0.01386,-0.02354
2015-08-21,-0.02049,-0.03708
2015-08-24,-0.03250,-0.05738
2015-08-25,-0.03196,-0.05415
2015-08-26,-0.02724,-0.04106
2015-08-27,-0.02066,-0.02974
2015-08-28,-0.01949,-0.02647
2015-08-31,-0.02368,-0.03042
2015-09-01,-0.03374,-0.04795
2015-09-02,-0.02907,-0.03826
2015-09-03,-0.03006,-0.03840
2015-09-04,-0.03391,-0.04459
2015-09-07,-0.03391,-0.04459
2015-09-08,-0.02848,-0.03457
2015-09-09,-0.02803,-0.03776
2015-09-10,-0.02861,-0.03646
2015-09-11,-0.02752,-0.03620
2015-09-14,-0.02962,-0.03918
2015-09-15,-0.02932,-0.03552
2015-09-16,-0.02491,-0.02914
2015-09-17,-0.02348,-0.02930
2015-09-18,-0.02705,-0.03703
2015-09-21,-0.02708,-0.03338
2015-09-22,-0.03436,-0.04223
2015-09-23,-0.03315,-0.04356
2015-09-24,-0.03687,-0.04772
2015-09-25,-0.03487,-0.04805
2015-09-28,-0.04080,-0.06014
2015-09-29,-0.04106,-0.05948
2015-09-30,-0.04051,-0.05058
2015-10-01,-0.04296,-0.05494
2015-10-02,-0.03993,-0.04876
2015-10-05,-0.03539,-0.03882
2015-10-06,-0.03373,-0.03993
2015-10-07,-0.02840,-0.03180
2015-10-08,-0.02760,-0.02807
2015-10-09,-0.02764,-0.02952
2015-10-12,-0.02764,-0.02952
2015-10-13,-0.02795,-0.03368
2015-10-14,-0.02992,-0.03744
2015-10-15,-0.03011,-0.03274
2015-10-16,-0.02686,-0.03242
2015-10-19,-0.02475,-0.02999
2015-10-20,-0.02681,-0.02969
2015-10-21,-0.02269,-0.02933
2015-10-22,-0.01961,-0.02532
2015-10-23,-0.01386,-0.01652
2015-10-26,-0.01499,-0.02010
2015-10-27,-0.01376,-0.02227
2015-10-28,-0.01388,-0.01864
2015-10-29,-0.01711,-0.02082
2015-10-30,-0.02275,-0.02631
2015-11-02,-0.01962,-0.02078
2015-11-03,-0.02076,-0.01908
2015-11-04,-0.01937,-0.01722
2015-11-05,-0.02110,-0.01789
2015-11-06,-0.02104,-0.01511
2015-11-09,-0.02490,-0.02227
2015-11-10,-0.02621,-0.02379
2015-11-11,-0.02582,-0.02526
2015-11-12,-0.03028,-0.03337
2015-11-13,-0.03354,-0.03801
2015-11-16,-0.02932,-0.02891
2015-11-17,-0.02751,-0.02802
2015-11-18,-0.02281,-0.02077
2015-11-19,-0.01913,-0.02045
2015-11-20,-0.01868,-0.01769
2015-11-23,-0.01921,-0.01749
2015-11-24,-0.02197,-0.01949
2015-11-25,-0.02137,-0.01869
2015-11-26,-0.01979,-0.01703
2015-11-27,-0.01891,-0.01639
2015-11-30,-0.01930,-0.01798
2015-12-01,-0.01160,-0.01031
