Date,Fund,benchmark
2011-07-04,0.00321,0.00645
2011-07-05,0.00393,0.00755
2011-07-06,0.00467,0.00753
2011-07-07,0.00328,0.00899
2011-07-08,0.00379,0.00735
2011-07-11,-0.00060,-0.00232
2011-07-12,-0.00323,-0.00605
2011-07-13,-0.00172,-0.00234
2011-07-14,-0.00484,-0.00638
2011-07-15,-0.00569,-0.00506
2011-07-18,-0.00768,-0.00969
2011-07-19,-0.00726,-0.00591
2011-07-20,-0.00652,-0.00460
2011-07-21,-0.00187,0.00135
2011-07-22,0.00287,0.00598
2011-07-25,-0.00098,0.00127
2011-07-26,-0.00193,-0.00094
2011-07-27,-0.00793,-0.01223
2011-07-28,-0.00823,-0.01118
2011-07-29,-0.00633,-0.01206
2011-08-01,-0.00633,-0.01206
2011-08-02,-0.01400,-0.02572
2011-08-03,-0.01295,-0.02572
2011-08-04,-0.02362,-0.04941
2011-08-05,-0.03030,-0.05827
2011-08-08,-0.04282,-0.09141
2011-08-09,-0.03239,-0.06961
2011-08-10,-0.03572,-0.07964
2011-08-11,-0.02694,-0.06176
2011-08-12,-0.02084,-0.05803
2011-08-15,-0.01795,-0.04976
2011-08-16,-0.02052,-0.05516
2011-08-17,-0.01754,-0.05338
2011-08-18,-0.02970,-0.07529
2011-08-19,-0.03659,-0.08542
2011-08-22,-0.03532,-0.08448
2011-08-23,-0.02413,-0.07175
2011-08-24,-0.02675,-0.07088
2011-08-25,-0.03070,-0.07727
2011-08-26,-0.02794,-0.07288
2011-08-29,-0.02388,-0.06284
2011-08-30,-0.01972,-0.05786
2011-08-31,-0.01630,-0.05016
2011-09-01,-0.01969,-0.05362
2011-09-02,-0.02270,-0.06176
2011-09-05,-0.02270,-0.06176
2011-09-06,-0.03007,-0.07173
2011-09-07,-0.02094,-0.05920
2011-09-08,-0.02215,-0.06232
2011-09-09,-0.02960,-0.07397
2011-09-12,-0.03694,-0.08295
2011-09-13,-0.03627,-0.08139
2011-09-14,-0.03049,-0.07647
2011-09-15,-0.02661,-0.07023
2011-09-16,-0.02913,-0.07217
2011-09-19,-0.02837,-0.07760
2011-09-20,-0.02556,-0.07595
2011-09-21,-0.02937,-0.08551
2011-09-22,-0.03332,-0.10016
2011-09-23,-0.03277,-0.10127
2011-09-26,-0.02711,-0.09347
2011-09-27,-0.02345,-0.08503
2011-09-28,-0.02489,-0.09125
2011-09-29,-0.01890,-0.08506
2011-09-30,-0.01810,-0.09223
2011-10-03,-0.02884,-0.10865
2011-10-04,-0.02522,-0.10496
2011-10-05,-0.02405,-0.09985
2011-10-06,-0.01362,-0.08593
2011-10-07,-0.01688,-0.09135
2011-10-10,-0.01688,-0.09135
2011-10-11,-0.00722,-0.07732
2011-10-12,-0.00787,-0.07206
2011-10-13,-0.00796,-0.07304
2011-10-14,-0.00681,-0.06897
2011-10-17,-0.00682,-0.07462
2011-10-18,-0.00688,-0.07033
2011-10-19,-0.00830,-0.07530
2011-10-20,-0.01246,-0.07857
2011-10-21,-0.00675,-0.07105
2011-10-24,-0.00020,-0.06095
2011-10-25,0.00136,-0.06202
2011-10-26,-0.00206,-0.06176
2011-10-27,0.00865,-0.04462
2011-10-28,0.01075,-0.04189
2011-10-31,-0.00202,-0.05689
2011-11-01,-0.00241,-0.06382
2011-11-02,0.00055,-0.05846
2011-11-03,0.00629,-0.04946
2011-11-04,0.00854,-0.04852
2011-11-07,0.00792,-0.04824
2011-11-08,0.00982,-0.04610
2011-11-09,0.00094,-0.06181
2011-11-10,-0.00210,-0.06331
2011-11-11,0.00525,-0.05404
2011-11-14,0.00436,-0.05642
2011-11-15,0.00496,-0.05556
2011-11-16,0.00107,-0.06062
2011-11-17,-0.00427,-0.06851
2011-11-18,-0.00664,-0.07164
2011-11-21,-0.00991,-0.07842
2011-11-22,-0.01105,-0.08008
2011-11-23,-0.01718,-0.08952
2011-11-24,-0.01960,-0.09066
2011-11-25,-0.02161,-0.09289
2011-11-28,-0.01496,-0.08328
2011-11-29,-0.01358,-0.08090
2011-11-30,0.00052,-0.06191
2011-12-01,-0.00267,-0.06361
2011-12-02,-0.00044,-0.06242
2011-12-05,0.00318,-0.05807
2011-12-06,-0.00213,-0.06293
2011-12-07,0.00094,-0.06035
2011-12-08,-0.00164,-0.06742
2011-12-09,0.00078,-0.06250
2011-12-12,-0.00333,-0.06934
2011-12-13,-0.00460,-0.07221
2011-12-14,-0.00868,-0.07928
2011-12-15,-0.00944,-0.07942
2011-12-16,-0.00544,-0.07513
2011-12-19,-0.00931,-0.08084
2011-12-20,-0.00293,-0.07095
2011-12-21,-0.00496,-0.07133
2011-12-22,-0.00334,-0.06835
2011-12-23,-0.00139,-0.06501
2011-12-26,-0.00139,-0.06501
2011-12-27,-0.00139,-0.06501
2011-12-28,-0.00504,-0.07070
2011-12-29,-0.00152,-0.06624
2011-12-30,-0.00152,-0.06770
2012-01-02,-0.00152,-0.06770
2012-01-03,0.00483,-0.05941
2012-01-04,0.00428,-0.05957
2012-01-05,0.00449,-0.05794
2012-01-06,0.00654,-0.05721
2012-01-09,0.00575,-0.05632
2012-01-10,0.00729,-0.05270
2012-01-11,0.00840,-0.05231
2012-01-12,0.00926,-0.05128
2012-01-13,0.00949,-0.05253
2012-01-16,0.00855,-0.05387
2012-01-17,0.00950,-0.05071
2012-01-18,0.01183,-0.04514
2012-01-19,0.01497,-0.04097
2012-01-20,0.01594,-0.03918
2012-01-23,0.01555,-0.03803
2012-01-24,0.01388,-0.03937
2012-01-25,0.01618,-0.03586
2012-01-26,0.01581,-0.03727
2012-01-27,0.01647,-0.03650
2012-01-30,0.01575,-0.03971
2012-01-31,0.01686,-0.03684
2012-02-01,0.02001,-0.03119
