Date,Fund,benchmark
2016-06-02,0.00435,0.00453
2016-06-03,0.00260,0.00111
2016-06-06,-0.00113,0.00030
2016-06-07,0.00005,0.00276
2016-06-08,-0.00171,0.00159
2016-06-09,-0.00411,-0.00191
2016-06-10,-0.01052,-0.01197
2016-06-13,-0.01246,-0.01684
2016-06-14,-0.01476,-0.02041
2016-06-15,-0.00997,-0.01550
2016-06-16,-0.00778,-0.01523
2016-06-17,-0.01022,-0.01701
2016-06-20,-0.00755,-0.00978
2016-06-21,-0.00683,-0.00883
2016-06-22,-0.00592,-0.00835
2016-06-23,-0.00042,-0.00103
2016-06-24,-0.01568,-0.02221
2016-06-27,-0.01813,-0.03475
2016-06-28,-0.01019,-0.02268
2016-06-29,-0.00511,-0.01210
2016-06-30,-0.00464,-0.00563
2016-07-01,-0.00464,-0.00563
