Date,Fund,benchmark
2010-01-04,0.00498,0.00758
2010-01-05,0.00596,0.00999
2010-01-06,0.00334,0.01060
2010-01-07,0.00257,0.00926
2010-01-08,0.00534,0.01246
2010-01-11,0.00836,0.01415
2010-01-12,0.00836,0.01415
2010-01-13,0.00536,0.00979
2010-01-14,0.00384,0.00824
2010-01-15,0.00215,0.00350
2010-01-18,0.00267,0.00489
2010-01-19,0.00600,0.00886
2010-01-20,0.00683,0.00556
2010-01-21,0.00210,-0.00513
2010-01-22,-0.00110,-0.01298
2010-01-25,-0.00177,-0.01212
2010-01-26,-0.00112,-0.01446
2010-01-27,-0.00114,-0.01532
2010-01-28,-0.00496,-0.01881
2010-01-29,-0.00940,-0.02463
2010-02-01,-0.00616,-0.01674
2010-02-02,-0.00204,-0.01034
2010-02-03,-0.00412,-0.01071
2010-02-04,-0.01109,-0.02579
2010-02-05,-0.01433,-0.03025
2010-02-08,-0.01545,-0.03416
2010-02-09,-0.01277,-0.02623
2010-02-10,-0.01621,-0.02763
2010-02-11,-0.01780,-0.02424
2010-02-12,-0.01789,-0.02387
2010-02-15,-0.01789,-0.02387
2010-02-16,-0.01336,-0.01746
2010-02-17,-0.01209,-0.01337
2010-02-18,-0.01198,-0.01109
2010-02-19,-0.01278,-0.01258
2010-02-22,-0.01179,-0.01223
2010-02-23,-0.00939,-0.01455
2010-02-24,-0.00885,-0.01361
2010-02-25,-0.00494,-0.01087
2010-02-26,-0.00579,-0.00995
2010-03-01,-0.00668,-0.00617
2010-03-02,-0.00544,-0.00226
2010-03-03,-0.00514,-0.00100
2010-03-04,-0.00724,-0.00225
2010-03-05,-0.00205,0.00633
2010-03-08,-0.00303,0.00673
2010-03-09,-0.00423,0.00542
2010-03-10,-0.00247,0.00842
2010-03-11,-0.00148,0.01078
2010-03-12,-0.00273,0.01053
2010-03-15,-0.00328,0.00858
2010-03-16,0.00004,0.01339
2010-03-17,0.00021,0.01575
2010-03-18,-0.00079,0.01351
2010-03-19,-0.00353,0.00965
2010-03-22,-0.00009,0.01170
2010-03-23,0.00089,0.01535
2010-03-24,-0.00209,0.01301
2010-03-25,-0.00323,0.01211
2010-03-26,0.00014,0.01489
2010-03-29,0.00100,0.01701
2010-03-30,-0.00084,0.01751
2010-03-31,0.00008,0.01586
2010-04-01,0.00270,0.02199
2010-04-02,0.00270,0.02199
2010-04-05,-0.00028,0.02262
2010-04-06,-0.00174,0.02281
2010-04-07,-0.00063,0.02273
2010-04-08,-0.00281,0.02011
2010-04-09,0.00341,0.02648
2010-04-12,0.00458,0.02556
2010-04-13,0.00209,0.02388
2010-04-14,0.00571,0.02986
2010-04-15,0.00770,0.03238
2010-04-16,0.00631,0.02578
2010-04-19,0.00591,0.02458
2010-04-20,-0.00045,0.02288
2010-04-21,-0.00072,0.02317
2010-04-22,-0.00280,0.02328
2010-04-23,0.00056,0.02906
2010-04-26,0.00315,0.03231
2010-04-27,0.00122,0.02430
2010-04-28,-0.00662,0.01769
2010-04-29,-0.00207,0.02528
2010-04-30,0.00166,0.02570
2010-05-03,-0.00046,0.02688
2010-05-04,-0.00385,0.01573
2010-05-05,-0.00595,0.00749
2010-05-06,-0.00093,0.00062
2010-05-07,-0.01678,-0.01378
2010-05-10,-0.01019,0.00653
2010-05-11,-0.01376,0.00372
2010-05-12,-0.00928,0.01404
2010-05-13,-0.01157,0.01032
2010-05-14,-0.01445,0.00300
2010-05-17,-0.01824,-0.00372
2010-05-18,-0.01892,-0.00801
2010-05-19,-0.01878,-0.01252
2010-05-20,-0.01721,-0.02707
2010-05-21,-0.01658,-0.02183
2010-05-24,-0.01658,-0.02183
2010-05-25,-0.01854,-0.02701
2010-05-26,-0.02114,-0.02601
2010-05-27,-0.01614,-0.01057
2010-05-28,-0.01856,-0.01407
2010-05-31,-0.01992,-0.01315
2010-06-01,-0.02232,-0.02095
2010-06-02,-0.02356,-0.01321
2010-06-03,-0.02065,-0.00868
2010-06-04,-0.02310,-0.01982
2010-06-07,-0.03016,-0.02820
2010-06-08,-0.03265,-0.02917
2010-06-09,-0.03494,-0.03249
2010-06-10,-0.03163,-0.02164
2010-06-11,-0.02748,-0.01800
2010-06-14,-0.02591,-0.01533
2010-06-15,-0.01941,-0.00264
