Date,Fund,benchmark
2008-09-02,-0.00491,-0.01142
2008-09-03,-0.01200,-0.02027
2008-09-04,-0.02120,-0.03531
2008-09-05,-0.02749,-0.04023
2008-09-08,-0.02188,-0.03398
2008-09-09,-0.03232,-0.05189
2008-09-10,-0.02994,-0.04420
2008-09-11,-0.02500,-0.04313
2008-09-12,-0.02723,-0.04119
2008-09-15,-0.03675,-0.06187
2008-09-16,-0.04046,-0.06560
2008-09-17,-0.05077,-0.08361
2008-09-18,-0.04766,-0.07333
2008-09-19,-0.03090,-0.04585
2008-09-22,-0.04469,-0.06081
2008-09-23,-0.04903,-0.06879
2008-09-24,-0.05016,-0.07008
2008-09-25,-0.04755,-0.06652
2008-09-26,-0.05468,-0.07836
2008-09-29,-0.07756,-0.11681
2008-09-30,-0.07636,-0.09525
2008-10-01,-0.07536,-0.09887
2008-10-02,-0.08881,-0.12413
2008-10-03,-0.08882,-0.12860
2008-10-06,-0.10262,-0.15364
2008-10-07,-0.11437,-0.17341
2008-10-08,-0.11739,-0.17539
2008-10-09,-0.12651,-0.19505
2008-10-10,-0.13538,-0.20906
2008-10-13,-0.13538,-0.20906
2008-10-14,-0.10284,-0.16602
2008-10-15,-0.12118,-0.20072
2008-10-16,-0.12722,-0.19535
2008-10-17,-0.11907,-0.19559
2008-10-20,-0.09638,-0.16810
2008-10-21,-0.09893,-0.18189
2008-10-22,-0.10701,-0.20354
2008-10-23,-0.10419,-0.20450
2008-10-24,-0.11336,-0.21955
2008-10-27,-0.12704,-0.24510
2008-10-28,-0.10197,-0.21055
2008-10-29,-0.11307,-0.21157
2008-10-30,-0.10228,-0.19123
2008-10-31,-0.10710,-0.19088
2008-11-03,-0.11844,-0.19525
2008-11-04,-0.10891,-0.18039
2008-11-05,-0.11150,-0.19319
2008-11-06,-0.12409,-0.20768
2008-11-07,-0.11904,-0.19909
2008-11-10,-0.11351,-0.19754
2008-11-11,-0.12451,-0.20945
2008-11-12,-0.12745,-0.22461
2008-11-13,-0.12315,-0.20600
2008-11-14,-0.12702,-0.22076
2008-11-17,-0.13706,-0.23025
2008-11-18,-0.13282,-0.23155
2008-11-19,-0.14146,-0.24971
2008-11-20,-0.15024,-0.27007
2008-11-21,-0.14324,-0.25411
2008-11-24,-0.13630,-0.24456
2008-11-25,-0.13152,-0.24247
2008-11-26,-0.12322,-0.23093
2008-11-27,-0.11776,-0.22631
2008-11-28,-0.10710,-0.21229
2008-12-01,-0.13042,-0.24727
2008-12-02,-0.12134,-0.23979
2008-12-03,-0.11627,-0.23752
2008-12-04,-0.11328,-0.24339
2008-12-05,-0.11487,-0.23683
2008-12-08,-0.10105,-0.22042
2008-12-09,-0.10125,-0.22380
2008-12-10,-0.09636,-0.21264
2008-12-11,-0.10883,-0.22602
2008-12-12,-0.10401,-0.22085
2008-12-15,-0.10600,-0.22506
2008-12-16,-0.09872,-0.21104
2008-12-17,-0.09629,-0.21495
2008-12-18,-0.10129,-0.21998
2008-12-19,-0.09683,-0.21423
2008-12-22,-0.10540,-0.22643
2008-12-23,-0.10910,-0.22818
2008-12-24,-0.11037,-0.22791
2008-12-25,-0.11037,-0.22791
2008-12-26,-0.11037,-0.22791
2008-12-29,-0.09893,-0.21588
2008-12-30,-0.08894,-0.20385
2008-12-31,-0.08894,-0.19782
2009-01-01,-0.08894,-0.19782
2009-01-02,-0.08194,-0.18788
2009-01-05,-0.09280,-0.19121
2009-01-06,-0.09130,-0.18566
2009-01-07,-0.09539,-0.19682
2009-01-08,-0.09792,-0.19888
2009-01-09,-0.10111,-0.20467
2009-01-12,-0.10050,-0.21316
2009-01-13,-0.09997,-0.21011
2009-01-14,-0.10372,-0.21882
2009-01-15,-0.10235,-0.21462
2009-01-16,-0.09981,-0.21015
2009-01-19,-0.10315,-0.21354
2009-01-20,-0.11639,-0.23134
2009-01-21,-0.10910,-0.21995
2009-01-22,-0.11800,-0.23104
2009-01-23,-0.12550,-0.23406
2009-01-26,-0.12377,-0.23209
2009-01-27,-0.11658,-0.22599
2009-01-28,-0.11181,-0.21755
2009-01-29,-0.11984,-0.22631
2009-01-30,-0.12620,-0.22931
