Date,Fund,benchmark
2015-08-18,-0.00424,-0.00380
2015-08-19,-0.00743,-0.00801
2015-08-20,-0.01626,-0.02354
2015-08-21,-0.02411,-0.03708
2015-08-24,-0.04417,-0.05738
2015-08-25,-0.03612,-0.05415
2015-08-26,-0.04285,-0.04106
2015-08-27,-0.03582,-0.02974
2015-08-28,-0.03396,-0.02647
2015-08-31,-0.03952,-0.03042
2015-09-01,-0.05292,-0.04795
2015-09-02,-0.05035,-0.03826
2015-09-03,-0.04933,-0.03840
2015-09-04,-0.05895,-0.04459
2015-09-07,-0.05895,-0.04459
2015-09-08,-0.05465,-0.03457
2015-09-09,-0.04080,-0.03776
2015-09-10,-0.04735,-0.03646
2015-09-11,-0.04594,-0.03620
2015-09-14,-0.04820,-0.03918
2015-09-15,-0.05139,-0.03552
2015-09-16,-0.04562,-0.02914
2015-09-17,-0.04255,-0.02930
2015-09-18,-0.04954,-0.03703
2015-09-21,-0.05282,-0.03338
2015-09-22,-0.06585,-0.04223
2015-09-23,-0.06170,-0.04356
2015-09-24,-0.07291,-0.04772
2015-09-25,-0.06198,-0.04805
2015-09-28,-0.06477,-0.06014
2015-09-29,-0.07290,-0.05948
2015-09-30,-0.07290,-0.05058
2015-10-01,-0.07647,-0.05494
2015-10-02,-0.07241,-0.04876
2015-10-05,-0.06889,-0.03882
2015-10-06,-0.07371,-0.03993
2015-10-07,-0.06643,-0.03180
2015-10-08,-0.06513,-0.02807
2015-10-09,-0.06868,-0.02952
2015-10-12,-0.06868,-0.02952
2015-10-13,-0.06609,-0.03368
2015-10-14,-0.07253,-0.03744
2015-10-15,-0.06935,-0.03274
2015-10-16,-0.06321,-0.03242
2015-10-19,-0.05629,-0.02999
2015-10-20,-0.06078,-0.02969
2015-10-21,-0.05355,-0.02933
2015-10-22,-0.04767,-0.02532
2015-10-23,-0.03792,-0.01652
2015-10-26,-0.03882,-0.02010
2015-10-27,-0.03328,-0.02227
2015-10-28,-0.03286,-0.01864
2015-10-29,-0.03551,-0.02082
2015-10-30,-0.04345,-0.02631
2015-11-02,-0.03486,-0.02078
2015-11-03,-0.03795,-0.01908
2015-11-04,-0.03437,-0.01722
2015-11-05,-0.03508,-0.01789
2015-11-06,-0.03130,-0.01511
2015-11-09,-0.03857,-0.02227
2015-11-10,-0.03823,-0.02379
2015-11-11,-0.03971,-0.02526
2015-11-12,-0.04528,-0.03337
2015-11-13,-0.05048,-0.03801
2015-11-16,-0.04222,-0.02891
2015-11-17,-0.04397,-0.02802
2015-11-18,-0.03255,-0.02077
2015-11-19,-0.03266,-0.02045
2015-11-20,-0.02911,-0.01769
2015-11-23,-0.02782,-0.01749
2015-11-24,-0.03126,-0.01949
2015-11-25,-0.03253,-0.01869
2015-11-26,-0.03260,-0.01703
2015-11-27,-0.02678,-0.01639
2015-11-30,-0.03157,-0.01798
2015-12-01,-0.02120,-0.01031
