Date,Fund,benchmark
2011-07-04,0.00783,0.00645
2011-07-05,0.00995,0.00755
2011-07-06,0.01045,0.00753
2011-07-07,0.01180,0.00899
2011-07-08,0.00861,0.00735
2011-07-11,-0.00343,-0.00232
2011-07-12,-0.00412,-0.00605
2011-07-13,-0.00157,-0.00234
2011-07-14,-0.00683,-0.00638
2011-07-15,-0.00538,-0.00506
2011-07-18,-0.00863,-0.00969
2011-07-19,-0.00224,-0.00591
2011-07-20,-0.00355,-0.00460
2011-07-21,0.00474,0.00135
2011-07-22,0.00948,0.00598
2011-07-25,0.00334,0.00127
2011-07-26,-0.00504,-0.00094
2011-07-27,-0.02148,-0.01223
2011-07-28,-0.02093,-0.01118
2011-07-29,-0.02610,-0.01206
2011-08-01,-0.02610,-0.01206
2011-08-02,-0.04385,-0.02572
2011-08-03,-0.03824,-0.02572
2011-08-04,-0.06818,-0.04941
2011-08-05,-0.07799,-0.05827
2011-08-08,-0.11773,-0.09141
2011-08-09,-0.08751,-0.06961
2011-08-10,-0.09391,-0.07964
2011-08-11,-0.06641,-0.06176
2011-08-12,-0.06318,-0.05803
2011-08-15,-0.05355,-0.04976
2011-08-16,-0.06278,-0.05516
2011-08-17,-0.06075,-0.05338
2011-08-18,-0.09017,-0.07529
2011-08-19,-0.10290,-0.08542
2011-08-22,-0.09977,-0.08448
2011-08-23,-0.07743,-0.07175
2011-08-24,-0.07306,-0.07088
2011-08-25,-0.08088,-0.07727
2011-08-26,-0.07516,-0.07288
2011-08-29,-0.06000,-0.06284
2011-08-30,-0.05344,-0.05786
2011-08-31,-0.04551,-0.05016
2011-09-01,-0.05392,-0.05362
2011-09-02,-0.06444,-0.06176
2011-09-05,-0.06444,-0.06176
2011-09-06,-0.06815,-0.07173
2011-09-07,-0.05091,-0.05920
2011-09-08,-0.05550,-0.06232
2011-09-09,-0.07485,-0.07397
2011-09-12,-0.08371,-0.08295
2011-09-13,-0.07995,-0.08139
2011-09-14,-0.06978,-0.07647
2011-09-15,-0.06028,-0.07023
2011-09-16,-0.06640,-0.07217
2011-09-19,-0.06995,-0.07760
2011-09-20,-0.06746,-0.07595
2011-09-21,-0.08468,-0.08551
2011-09-22,-0.10525,-0.10016
2011-09-23,-0.10614,-0.10127
2011-09-26,-0.08793,-0.09347
2011-09-27,-0.08198,-0.08503
2011-09-28,-0.09459,-0.09125
2011-09-29,-0.08589,-0.08506
2011-09-30,-0.08526,-0.09223
2011-10-03,-0.09588,-0.10865
2011-10-04,-0.07766,-0.10496
2011-10-05,-0.08514,-0.09985
2011-10-06,-0.07888,-0.08593
2011-10-07,-0.08377,-0.09135
2011-10-10,-0.08377,-0.09135
2011-10-11,-0.07530,-0.07732
2011-10-12,-0.08248,-0.07206
2011-10-13,-0.07967,-0.07304
2011-10-14,-0.08037,-0.06897
2011-10-17,-0.07878,-0.07462
2011-10-18,-0.07669,-0.07033
2011-10-19,-0.07658,-0.07530
2011-10-20,-0.07861,-0.07857
2011-10-21,-0.07433,-0.07105
2011-10-24,-0.07134,-0.06095
2011-10-25,-0.06870,-0.06202
2011-10-26,-0.07273,-0.06176
2011-10-27,-0.06745,-0.04462
2011-10-28,-0.06754,-0.04189
2011-10-31,-0.07928,-0.05689
2011-11-01,-0.07158,-0.06382
2011-11-02,-0.06836,-0.05846
2011-11-03,-0.06392,-0.04946
2011-11-04,-0.05953,-0.04852
2011-11-07,-0.05851,-0.04824
2011-11-08,-0.05544,-0.04610
2011-11-09,-0.06526,-0.06181
2011-11-10,-0.06501,-0.06331
2011-11-11,-0.05923,-0.05404
2011-11-14,-0.05930,-0.05642
2011-11-15,-0.05394,-0.05556
2011-11-16,-0.06107,-0.06062
2011-11-17,-0.06486,-0.06851
2011-11-18,-0.06648,-0.07164
2011-11-21,-0.06609,-0.07842
2011-11-22,-0.06742,-0.08008
2011-11-23,-0.07244,-0.08952
2011-11-24,-0.07298,-0.09066
2011-11-25,-0.07600,-0.09289
2011-11-28,-0.07304,-0.08328
2011-11-29,-0.07529,-0.08090
2011-11-30,-0.06189,-0.06191
2011-12-01,-0.06881,-0.06361
2011-12-02,-0.06558,-0.06242
2011-12-05,-0.06106,-0.05807
2011-12-06,-0.06714,-0.06293
2011-12-07,-0.06527,-0.06035
2011-12-08,-0.06387,-0.06742
2011-12-09,-0.05969,-0.06250
2011-12-12,-0.06214,-0.06934
2011-12-13,-0.06051,-0.07221
2011-12-14,-0.06045,-0.07928
2011-12-15,-0.06062,-0.07942
2011-12-16,-0.05620,-0.07513
2011-12-19,-0.06142,-0.08084
2011-12-20,-0.05359,-0.07095
2011-12-21,-0.05818,-0.07133
2011-12-22,-0.05845,-0.06835
2011-12-23,-0.05529,-0.06501
2011-12-26,-0.05529,-0.06501
2011-12-27,-0.05529,-0.06501
2011-12-28,-0.05706,-0.07070
2011-12-29,-0.05302,-0.06624
2011-12-30,-0.05302,-0.06770
2012-01-02,-0.05302,-0.06770
2012-01-03,-0.04940,-0.05941
2012-01-04,-0.04882,-0.05957
2012-01-05,-0.04182,-0.05794
2012-01-06,-0.03598,-0.05721
2012-01-09,-0.03729,-0.05632
2012-01-10,-0.03700,-0.05270
2012-01-11,-0.03375,-0.05231
2012-01-12,-0.03249,-0.05128
2012-01-13,-0.03180,-0.05253
2012-01-16,-0.03613,-0.05387
2012-01-17,-0.03543,-0.05071
2012-01-18,-0.03092,-0.04514
2012-01-19,-0.02802,-0.04097
2012-01-20,-0.02659,-0.03918
2012-01-23,-0.03258,-0.03803
2012-01-24,-0.03108,-0.03937
2012-01-25,-0.02970,-0.03586
2012-01-26,-0.03505,-0.03727
2012-01-27,-0.03576,-0.03650
2012-01-30,-0.03477,-0.03971
2012-01-31,-0.03500,-0.03684
2012-02-01,-0.03182,-0.03119
