Date,Fund,benchmark
2016-06-02,0.00394,0.00453
2016-06-03,-0.00200,0.00111
2016-06-06,-0.00719,0.00030
2016-06-07,-0.00471,0.00276
2016-06-08,-0.00762,0.00159
2016-06-09,-0.01681,-0.00191
2016-06-10,-0.03619,-0.01197
2016-06-13,-0.04430,-0.01684
2016-06-14,-0.05157,-0.02041
2016-06-15,-0.04131,-0.01550
2016-06-16,-0.03653,-0.01523
2016-06-17,-0.03538,-0.01701
2016-06-20,-0.02155,-0.00978
2016-06-21,-0.01567,-0.00883
2016-06-22,-0.01425,-0.00835
2016-06-23,0.00532,-0.00103
2016-06-24,-0.05337,-0.02221
2016-06-27,-0.05744,-0.03475
2016-06-28,-0.04043,-0.02268
2016-06-29,-0.03164,-0.01210
2016-06-30,-0.03164,-0.00563
2016-07-01,-0.03164,-0.00563
