Date,Fund,benchmark
2010-01-04,0.00873,0.00758
2010-01-05,0.01059,0.00999
2010-01-06,0.01319,0.01060
2010-01-07,0.00959,0.00926
2010-01-08,0.01475,0.01246
2010-01-11,0.01474,0.01415
2010-01-12,0.01474,0.01415
2010-01-13,0.00860,0.00979
2010-01-14,0.00619,0.00824
2010-01-15,-0.00086,0.00350
2010-01-18,0.00339,0.00489
2010-01-19,0.00461,0.00886
2010-01-20,-0.00036,0.00556
2010-01-21,-0.01340,-0.00513
2010-01-22,-0.02101,-0.01298
2010-01-25,-0.02092,-0.01212
2010-01-26,-0.02030,-0.01446
2010-01-27,-0.02139,-0.01532
2010-01-28,-0.02592,-0.01881
2010-01-29,-0.03724,-0.02463
2010-02-01,-0.02388,-0.01674
2010-02-02,-0.01746,-0.01034
2010-02-03,-0.01935,-0.01071
2010-02-04,-0.03598,-0.02579
2010-02-05,-0.03190,-0.03025
2010-02-08,-0.03819,-0.03416
2010-02-09,-0.02876,-0.02623
2010-02-10,-0.02875,-0.02763
2010-02-11,-0.02044,-0.02424
2010-02-12,-0.01833,-0.02387
2010-02-15,-0.01833,-0.02387
2010-02-16,-0.01027,-0.01746
2010-02-17,-0.00700,-0.01337
2010-02-18,-0.00348,-0.01109
2010-02-19,-0.00280,-0.01258
2010-02-22,-0.00670,-0.01223
2010-02-23,-0.01232,-0.01455
2010-02-24,-0.01252,-0.01361
2010-02-25,-0.00553,-0.01087
2010-02-26,-0.00535,-0.00995
2010-03-01,0.00033,-0.00617
2010-03-02,0.00677,-0.00226
2010-03-03,0.00840,-0.00100
2010-03-04,0.00633,-0.00225
2010-03-05,0.01603,0.00633
2010-03-08,0.01517,0.00673
2010-03-09,0.01228,0.00542
2010-03-10,0.01513,0.00842
2010-03-11,0.01712,0.01078
2010-03-12,0.01879,0.01053
2010-03-15,0.01852,0.00858
2010-03-16,0.02441,0.01339
2010-03-17,0.02499,0.01575
2010-03-18,0.02141,0.01351
2010-03-19,0.01505,0.00965
2010-03-22,0.01698,0.01170
2010-03-23,0.02178,0.01535
2010-03-24,0.01585,0.01301
2010-03-25,0.01573,0.01211
2010-03-26,0.01650,0.01489
2010-03-29,0.02125,0.01701
2010-03-30,0.02176,0.01751
2010-03-31,0.02176,0.01586
2010-04-01,0.03076,0.02199
2010-04-02,0.03076,0.02199
2010-04-05,0.02411,0.02262
2010-04-06,0.02243,0.02281
2010-04-07,0.02584,0.02273
2010-04-08,0.01486,0.02011
2010-04-09,0.03341,0.02648
2010-04-12,0.03907,0.02556
2010-04-13,0.03463,0.02388
2010-04-14,0.04182,0.02986
2010-04-15,0.04630,0.03238
2010-04-16,0.04241,0.02578
2010-04-19,0.03036,0.02458
2010-04-20,0.02070,0.02288
2010-04-21,0.01952,0.02317
2010-04-22,0.00323,0.02328
2010-04-23,0.00980,0.02906
2010-04-26,0.02074,0.03231
2010-04-27,0.00858,0.02430
2010-04-28,-0.01684,0.01769
2010-04-29,-0.00620,0.02528
2010-04-30,0.00189,0.02570
2010-05-03,-0.00831,0.02688
2010-05-04,-0.02396,0.01573
2010-05-05,-0.03078,0.00749
2010-05-06,-0.02104,0.00062
2010-05-07,-0.07020,-0.01378
2010-05-10,-0.03948,0.00653
2010-05-11,-0.05428,0.00372
2010-05-12,-0.05045,0.01404
2010-05-13,-0.04868,0.01032
2010-05-14,-0.06972,0.00300
2010-05-17,-0.07508,-0.00372
2010-05-18,-0.07009,-0.00801
2010-05-19,-0.07858,-0.01252
2010-05-20,-0.06965,-0.02707
2010-05-21,-0.07569,-0.02183
2010-05-24,-0.07569,-0.02183
2010-05-25,-0.09568,-0.02701
2010-05-26,-0.09730,-0.02601
2010-05-27,-0.07677,-0.01057
2010-05-28,-0.07477,-0.01407
2010-05-31,-0.07616,-0.01315
2010-06-01,-0.08094,-0.02095
2010-06-02,-0.09574,-0.01321
2010-06-03,-0.08234,-0.00868
2010-06-04,-0.08855,-0.01982
