Date,Fund,benchmark
2008-09-02,-0.01805,-0.01142
2008-09-03,-0.02711,-0.02027
2008-09-04,-0.03742,-0.03531
2008-09-05,-0.04076,-0.04023
2008-09-08,-0.05037,-0.03398
2008-09-09,-0.06830,-0.05189
2008-09-10,-0.05463,-0.04420
2008-09-11,-0.04747,-0.04313
2008-09-12,-0.04689,-0.04119
2008-09-15,-0.05855,-0.06187
2008-09-16,-0.06229,-0.06560
2008-09-17,-0.07315,-0.08361
2008-09-18,-0.07108,-0.07333
2008-09-19,-0.04385,-0.04585
2008-09-22,-0.05965,-0.06081
2008-09-23,-0.06085,-0.06879
2008-09-24,-0.06164,-0.07008
2008-09-25,-0.06284,-0.06652
2008-09-26,-0.07956,-0.07836
2008-09-29,-0.10888,-0.11681
2008-09-30,-0.10706,-0.09525
2008-10-01,-0.10751,-0.09887
2008-10-02,-0.12123,-0.12413
2008-10-03,-0.12264,-0.12860
2008-10-06,-0.13228,-0.15364
2008-10-07,-0.13907,-0.17341
2008-10-08,-0.13512,-0.17539
2008-10-09,-0.14299,-0.19505
2008-10-10,-0.15213,-0.20906
2008-10-13,-0.15213,-0.20906
2008-10-14,-0.13645,-0.16602
2008-10-15,-0.14724,-0.20072
2008-10-16,-0.14809,-0.19535
2008-10-17,-0.14290,-0.19559
2008-10-20,-0.13067,-0.16810
2008-10-21,-0.13851,-0.18189
2008-10-22,-0.14812,-0.20354
2008-10-23,-0.14635,-0.20450
2008-10-24,-0.14694,-0.21955
2008-10-27,-0.15973,-0.24510
2008-10-28,-0.14901,-0.21055
2008-10-29,-0.14279,-0.21157
2008-10-30,-0.13661,-0.19123
2008-10-31,-0.13812,-0.19088
2008-11-03,-0.13845,-0.19525
2008-11-04,-0.13170,-0.18039
2008-11-05,-0.13562,-0.19319
2008-11-06,-0.14134,-0.20768
2008-11-07,-0.14056,-0.19909
2008-11-10,-0.13875,-0.19754
2008-11-11,-0.14325,-0.20945
2008-11-12,-0.15179,-0.22461
2008-11-13,-0.14425,-0.20600
2008-11-14,-0.14928,-0.22076
2008-11-17,-0.15351,-0.23025
2008-11-18,-0.15281,-0.23155
2008-11-19,-0.15851,-0.24971
2008-11-20,-0.17142,-0.27007
2008-11-21,-0.16402,-0.25411
2008-11-24,-0.15878,-0.24456
2008-11-25,-0.15869,-0.24247
2008-11-26,-0.15124,-0.23093
2008-11-27,-0.14926,-0.22631
2008-11-28,-0.13955,-0.21229
2008-12-01,-0.15427,-0.24727
2008-12-02,-0.15589,-0.23979
2008-12-03,-0.15633,-0.23752
2008-12-04,-0.16039,-0.24339
2008-12-05,-0.15924,-0.23683
2008-12-08,-0.15105,-0.22042
2008-12-09,-0.15386,-0.22380
2008-12-10,-0.14749,-0.21264
2008-12-11,-0.15153,-0.22602
2008-12-12,-0.14911,-0.22085
2008-12-15,-0.14972,-0.22506
2008-12-16,-0.14503,-0.21104
2008-12-17,-0.14651,-0.21495
2008-12-18,-0.14994,-0.21998
2008-12-19,-0.14754,-0.21423
2008-12-22,-0.15250,-0.22643
2008-12-23,-0.15129,-0.22818
2008-12-24,-0.15128,-0.22791
2008-12-25,-0.15128,-0.22791
2008-12-26,-0.15128,-0.22791
2008-12-29,-0.14473,-0.21588
2008-12-30,-0.14123,-0.20385
2008-12-31,-0.14123,-0.19782
2009-01-01,-0.14123,-0.19782
2009-01-02,-0.15081,-0.18788
2009-01-05,-0.16508,-0.19121
2009-01-06,-0.16950,-0.18566
2009-01-07,-0.16319,-0.19682
2009-01-08,-0.16374,-0.19888
2009-01-09,-0.15613,-0.20467
2009-01-12,-0.14472,-0.21316
2009-01-13,-0.14365,-0.21011
2009-01-14,-0.13044,-0.21882
2009-01-15,-0.13163,-0.21462
2009-01-16,-0.13575,-0.21015
2009-01-19,-0.13959,-0.21354
2009-01-20,-0.13474,-0.23134
2009-01-21,-0.13775,-0.21995
2009-01-22,-0.14047,-0.23104
2009-01-23,-0.15154,-0.23406
2009-01-26,-0.15555,-0.23209
2009-01-27,-0.15238,-0.22599
2009-01-28,-0.15889,-0.21755
2009-01-29,-0.16020,-0.22631
2009-01-30,-0.16096,-0.22931
