Date,Fund,benchmark
2015-08-18,-0.00291,-0.00380
2015-08-19,-0.00639,-0.00801
2015-08-20,-0.01380,-0.02354
2015-08-21,-0.02058,-0.03708
2015-08-24,-0.03634,-0.05738
2015-08-25,-0.02938,-0.05415
2015-08-26,-0.03138,-0.04106
2015-08-27,-0.02547,-0.02974
2015-08-28,-0.02417,-0.02647
2015-08-31,-0.02807,-0.03042
2015-09-01,-0.03951,-0.04795
2015-09-02,-0.03665,-0.03826
2015-09-03,-0.03590,-0.03840
2015-09-04,-0.04367,-0.04459
2015-09-07,-0.04367,-0.04459
2015-09-08,-0.03923,-0.03457
2015-09-09,-0.02911,-0.03776
2015-09-10,-0.03378,-0.03646
2015-09-11,-0.03290,-0.03620
2015-09-14,-0.03498,-0.03918
2015-09-15,-0.03529,-0.03552
2015-09-16,-0.03051,-0.02914
2015-09-17,-0.02929,-0.02930
2015-09-18,-0.03589,-0.03703
2015-09-21,-0.03695,-0.03338
2015-09-22,-0.04792,-0.04223
2015-09-23,-0.04451,-0.04356
2015-09-24,-0.05302,-0.04772
2015-09-25,-0.04381,-0.04805
2015-09-28,-0.04751,-0.06014
2015-09-29,-0.05348,-0.05948
2015-09-30,-0.05275,-0.05058
2015-10-01,-0.05387,-0.05494
2015-10-02,-0.05459,-0.04876
2015-10-05,-0.05897,-0.03882
2015-10-06,-0.05902,-0.03993
2015-10-07,-0.05817,-0.03180
2015-10-08,-0.05999,-0.02807
2015-10-09,-0.06141,-0.02952
2015-10-12,-0.06141,-0.02952
2015-10-13,-0.05807,-0.03368
2015-10-14,-0.05677,-0.03744
2015-10-15,-0.05998,-0.03274
2015-10-16,-0.05936,-0.03242
2015-10-19,-0.05757,-0.02999
2015-10-20,-0.05960,-0.02969
2015-10-21,-0.05504,-0.02933
2015-10-22,-0.05824,-0.02532
2015-10-23,-0.05910,-0.01652
2015-10-26,-0.05798,-0.02010
2015-10-27,-0.05494,-0.02227
2015-10-28,-0.05905,-0.01864
2015-10-29,-0.06074,-0.02082
2015-10-30,-0.06142,-0.02631
2015-11-02,-0.06110,-0.02078
2015-11-03,-0.06429,-0.01908
2015-11-04,-0.06361,-0.01722
2015-11-05,-0.06430,-0.01789
2015-11-06,-0.06701,-0.01511
2015-11-09,-0.06738,-0.02227
2015-11-10,-0.06779,-0.02379
2015-11-11,-0.06696,-0.02526
2015-11-12,-0.06416,-0.03337
2015-11-13,-0.06379,-0.03801
2015-11-16,-0.06531,-0.02891
2015-11-17,-0.06624,-0.02802
2015-11-18,-0.06556,-0.02077
2015-11-19,-0.06282,-0.02045
2015-11-20,-0.06395,-0.01769
2015-11-23,-0.06347,-0.01749
2015-11-24,-0.06444,-0.01949
2015-11-25,-0.06511,-0.01869
2015-11-26,-0.06509,-0.01703
2015-11-27,-0.06320,-0.01639
2015-11-30,-0.06426,-0.01798
2015-12-01,-0.06033,-0.01031
