Date,Fund,benchmark
2011-07-04,0.00348,0.00645
2011-07-05,0.00394,0.00755
2011-07-06,0.00474,0.00753
2011-07-07,0.00577,0.00899
2011-07-08,0.00437,0.00735
2011-07-11,0.00120,-0.00232
2011-07-12,-0.00119,-0.00605
2011-07-13,-0.00226,-0.00234
2011-07-14,-0.00404,-0.00638
2011-07-15,-0.00439,-0.00506
2011-07-18,-0.00538,-0.00969
2011-07-19,-0.00280,-0.00591
2011-07-20,-0.00414,-0.00460
2011-07-21,-0.00056,0.00135
2011-07-22,0.00103,0.00598
2011-07-25,-0.00186,0.00127
2011-07-26,-0.00403,-0.00094
2011-07-27,-0.00838,-0.01223
2011-07-28,-0.00853,-0.01118
2011-07-29,-0.00922,-0.01206
2011-08-01,-0.00922,-0.01206
2011-08-02,-0.01678,-0.02572
2011-08-03,-0.01472,-0.02572
2011-08-04,-0.02422,-0.04941
2011-08-05,-0.02478,-0.05827
2011-08-08,-0.04028,-0.09141
2011-08-09,-0.03064,-0.06961
2011-08-10,-0.03882,-0.07964
2011-08-11,-0.02815,-0.06176
2011-08-12,-0.02560,-0.05803
2011-08-15,-0.02249,-0.04976
2011-08-16,-0.02478,-0.05516
2011-08-17,-0.02482,-0.05338
2011-08-18,-0.03531,-0.07529
2011-08-19,-0.03957,-0.08542
2011-08-22,-0.03918,-0.08448
2011-08-23,-0.03029,-0.07175
2011-08-24,-0.02692,-0.07088
2011-08-25,-0.03111,-0.07727
2011-08-26,-0.02789,-0.07288
2011-08-29,-0.02148,-0.06284
2011-08-30,-0.02059,-0.05786
2011-08-31,-0.01871,-0.05016
2011-09-01,-0.02330,-0.05362
2011-09-02,-0.02865,-0.06176
2011-09-05,-0.02865,-0.06176
2011-09-06,-0.02868,-0.07173
2011-09-07,-0.02173,-0.05920
2011-09-08,-0.02418,-0.06232
2011-09-09,-0.02977,-0.07397
2011-09-12,-0.02875,-0.08295
2011-09-13,-0.02698,-0.08139
2011-09-14,-0.02183,-0.07647
2011-09-15,-0.01846,-0.07023
2011-09-16,-0.01811,-0.07217
2011-09-19,-0.01787,-0.07760
2011-09-20,-0.01715,-0.07595
2011-09-21,-0.02237,-0.08551
2011-09-22,-0.02566,-0.10016
2011-09-23,-0.02298,-0.10127
2011-09-26,-0.01659,-0.09347
2011-09-27,-0.01564,-0.08503
2011-09-28,-0.01824,-0.09125
2011-09-29,-0.01464,-0.08506
2011-09-30,-0.01281,-0.09223
2011-10-03,-0.00844,-0.10865
2011-10-04,-0.00368,-0.10496
2011-10-05,-0.01482,-0.09985
2011-10-06,-0.01864,-0.08593
2011-10-07,-0.02035,-0.09135
2011-10-10,-0.02035,-0.09135
2011-10-11,-0.02608,-0.07732
2011-10-12,-0.03544,-0.07206
2011-10-13,-0.02980,-0.07304
2011-10-14,-0.03819,-0.06897
2011-10-17,-0.02897,-0.07462
2011-10-18,-0.03315,-0.07033
2011-10-19,-0.03109,-0.07530
2011-10-20,-0.03284,-0.07857
2011-10-21,-0.03658,-0.07105
2011-10-24,-0.03869,-0.06095
2011-10-25,-0.02773,-0.06202
2011-10-26,-0.03488,-0.06176
2011-10-27,-0.04425,-0.04462
2011-10-28,-0.04195,-0.04189
2011-10-31,-0.04014,-0.05689
2011-11-01,-0.02329,-0.06382
2011-11-02,-0.02685,-0.05846
2011-11-03,-0.03090,-0.04946
2011-11-04,-0.02588,-0.04852
2011-11-07,-0.02589,-0.04824
2011-11-08,-0.02761,-0.04610
2011-11-09,-0.02168,-0.06181
2011-11-10,-0.02556,-0.06331
2011-11-11,-0.02705,-0.05404
2011-11-14,-0.02357,-0.05642
2011-11-15,-0.02320,-0.05556
2011-11-16,-0.02221,-0.06062
2011-11-17,-0.01961,-0.06851
2011-11-18,-0.02130,-0.07164
2011-11-21,-0.01488,-0.07842
2011-11-22,-0.01384,-0.08008
2011-11-23,-0.01098,-0.08952
2011-11-24,-0.01139,-0.09066
2011-11-25,-0.01611,-0.09289
2011-11-28,-0.02216,-0.08328
2011-11-29,-0.02408,-0.08090
2011-11-30,-0.02818,-0.06191
2011-12-01,-0.03056,-0.06361
2011-12-02,-0.02852,-0.06242
2011-12-05,-0.02796,-0.05807
2011-12-06,-0.03183,-0.06293
2011-12-07,-0.02944,-0.06035
2011-12-08,-0.02116,-0.06742
2011-12-09,-0.02604,-0.06250
2011-12-12,-0.02265,-0.06934
2011-12-13,-0.01919,-0.07221
2011-12-14,-0.01462,-0.07928
2011-12-15,-0.01445,-0.07942
2011-12-16,-0.01014,-0.07513
2011-12-19,-0.00872,-0.08084
2011-12-20,-0.01457,-0.07095
2011-12-21,-0.01892,-0.07133
2011-12-22,-0.02135,-0.06835
2011-12-23,-0.02414,-0.06501
2011-12-26,-0.02414,-0.06501
2011-12-27,-0.02414,-0.06501
2011-12-28,-0.01971,-0.07070
2011-12-29,-0.01941,-0.06624
2011-12-30,-0.01941,-0.06770
2012-01-02,-0.01941,-0.06770
2012-01-03,-0.01734,-0.05941
2012-01-04,-0.01736,-0.05957
2012-01-05,-0.01106,-0.05794
2012-01-06,-0.00479,-0.05721
2012-01-09,-0.00601,-0.05632
2012-01-10,-0.00683,-0.05270
2012-01-11,-0.00335,-0.05231
2012-01-12,-0.00194,-0.05128
2012-01-13,-0.00068,-0.05253
2012-01-16,-0.00495,-0.05387
2012-01-17,-0.00459,-0.05071
2012-01-18,-0.00100,-0.04514
2012-01-19,0.00094,-0.04097
2012-01-20,0.00211,-0.03918
2012-01-23,-0.00428,-0.03803
2012-01-24,-0.00295,-0.03937
2012-01-25,-0.00214,-0.03586
2012-01-26,-0.00645,-0.03727
2012-01-27,-0.00648,-0.03650
2012-01-30,-0.00460,-0.03971
2012-01-31,-0.00445,-0.03684
2012-02-01,-0.00244,-0.03119
