Date,Fund,benchmark
2016-06-02,0.00587,0.00453
2016-06-03,0.01117,0.00111
2016-06-06,0.00900,0.00030
2016-06-07,0.01303,0.00276
2016-06-08,0.00982,0.00159
2016-06-09,0.00709,-0.00191
2016-06-10,-0.00178,-0.01197
2016-06-13,-0.00166,-0.01684
2016-06-14,-0.00618,-0.02041
2016-06-15,-0.00153,-0.01550
2016-06-16,-0.00132,-0.01523
2016-06-17,-0.00302,-0.01701
2016-06-20,0.00038,-0.00978
2016-06-21,-0.00095,-0.00883
2016-06-22,-0.00041,-0.00835
2016-06-23,0.00376,-0.00103
2016-06-24,-0.00311,-0.02221
2016-06-27,-0.00884,-0.03475
2016-06-28,-0.00117,-0.02268
2016-06-29,0.00677,-0.01210
2016-06-30,0.00677,-0.00563
2016-07-01,0.00677,-0.00563
