Date,Fund,benchmark
2010-01-04,0.00703,0.00758
2010-01-05,0.00775,0.00999
2010-01-06,0.01006,0.01060
2010-01-07,0.00744,0.00926
2010-01-08,0.01098,0.01246
2010-01-11,0.01114,0.01415
2010-01-12,0.01114,0.01415
2010-01-13,0.00625,0.00979
2010-01-14,0.00383,0.00824
2010-01-15,-0.00204,0.00350
2010-01-18,0.00101,0.00489
2010-01-19,0.00233,0.00886
2010-01-20,-0.00185,0.00556
2010-01-21,-0.01251,-0.00513
2010-01-22,-0.01883,-0.01298
2010-01-25,-0.01851,-0.01212
2010-01-26,-0.01829,-0.01446
2010-01-27,-0.01902,-0.01532
2010-01-28,-0.02269,-0.01881
2010-01-29,-0.03167,-0.02463
2010-02-01,-0.02036,-0.01674
2010-02-02,-0.01545,-0.01034
2010-02-03,-0.01660,-0.01071
2010-02-04,-0.03044,-0.02579
2010-02-05,-0.02710,-0.03025
2010-02-08,-0.03219,-0.03416
2010-02-09,-0.02442,-0.02623
2010-02-10,-0.02411,-0.02763
2010-02-11,-0.01741,-0.02424
2010-02-12,-0.01588,-0.02387
2010-02-15,-0.01588,-0.02387
2010-02-16,-0.00951,-0.01746
2010-02-17,-0.00667,-0.01337
2010-02-18,-0.00377,-0.01109
2010-02-19,-0.00315,-0.01258
2010-02-22,-0.00616,-0.01223
2010-02-23,-0.01113,-0.01455
2010-02-24,-0.01101,-0.01361
2010-02-25,-0.00579,-0.01087
2010-02-26,-0.00589,-0.00995
2010-03-01,-0.00121,-0.00617
2010-03-02,0.00364,-0.00226
2010-03-03,0.00494,-0.00100
2010-03-04,0.00337,-0.00225
2010-03-05,0.01161,0.00633
2010-03-08,0.01120,0.00673
2010-03-09,0.00900,0.00542
2010-03-10,0.01146,0.00842
2010-03-11,0.01299,0.01078
2010-03-12,0.01440,0.01053
2010-03-15,0.01401,0.00858
2010-03-16,0.01824,0.01339
2010-03-17,0.01895,0.01575
2010-03-18,0.01603,0.01351
2010-03-19,0.01145,0.00965
2010-03-22,0.01281,0.01170
2010-03-23,0.01672,0.01535
2010-03-24,0.01275,0.01301
2010-03-25,0.01262,0.01211
2010-03-26,0.01320,0.01489
2010-03-29,0.01719,0.01701
2010-03-30,0.01618,0.01751
2010-03-31,0.01749,0.01586
2010-04-01,0.02046,0.02199
2010-04-02,0.02046,0.02199
2010-04-05,0.02145,0.02262
2010-04-06,0.02072,0.02281
2010-04-07,0.01913,0.02273
2010-04-08,0.01922,0.02011
2010-04-09,0.02077,0.02648
2010-04-12,0.02014,0.02556
2010-04-13,0.01651,0.02388
2010-04-14,0.01906,0.02986
2010-04-15,0.01921,0.03238
2010-04-16,0.01577,0.02578
2010-04-19,0.01677,0.02458
2010-04-20,0.01723,0.02288
2010-04-21,0.01776,0.02317
2010-04-22,0.01840,0.02328
2010-04-23,0.02034,0.02906
2010-04-26,0.02134,0.03231
2010-04-27,0.01584,0.02430
2010-04-28,0.01420,0.01769
2010-04-29,0.01745,0.02528
2010-04-30,0.01768,0.02570
2010-05-03,0.01741,0.02688
2010-05-04,0.01357,0.01573
2010-05-05,0.00973,0.00749
2010-05-06,0.00846,0.00062
2010-05-07,0.00482,-0.01378
2010-05-10,0.01114,0.00653
2010-05-11,0.01246,0.00372
2010-05-12,0.01754,0.01404
2010-05-13,0.01559,0.01032
2010-05-14,0.01315,0.00300
2010-05-17,0.00810,-0.00372
2010-05-18,0.00704,-0.00801
2010-05-19,0.00467,-0.01252
2010-05-20,-0.00172,-0.02707
2010-05-21,0.00123,-0.02183
2010-05-24,0.00123,-0.02183
2010-05-25,0.00112,-0.02701
2010-05-26,0.00173,-0.02601
2010-05-27,0.00704,-0.01057
2010-05-28,0.00513,-0.01407
2010-05-31,0.00756,-0.01315
2010-06-01,0.00284,-0.02095
2010-06-02,0.00786,-0.01321
2010-06-03,0.00863,-0.00868
2010-06-04,0.00268,-0.01982
2010-06-07,0.00121,-0.02820
2010-06-08,0.00153,-0.02917
2010-06-09,-0.00009,-0.03249
2010-06-10,0.00452,-0.02164
2010-06-11,0.00549,-0.01800
2010-06-14,0.00567,-0.01533
2010-06-15,0.01168,-0.00264
2010-06-16,0.01200,-0.00331
2010-06-17,0.01269,0.00009
2010-06-18,0.01226,-0.00120
2010-06-21,0.01261,0.00212
2010-06-22,0.00926,-0.00422
2010-06-23,0.00951,-0.00093
2010-06-24,0.00618,-0.00829
2010-06-25,0.00773,-0.00904
2010-06-28,0.00541,-0.01128
2010-06-29,-0.00280,-0.02560
2010-06-30,-0.00057,-0.02436
2010-07-01,-0.00057,-0.02436
2010-07-02,-0.00094,-0.02816
2010-07-05,0.00005,-0.03018
2010-07-06,0.00035,-0.02581
2010-07-07,-0.00128,-0.01601
2010-07-08,-0.00235,-0.01399
2010-07-09,-0.00374,-0.01158
2010-07-12,-0.00263,-0.01043
2010-07-13,-0.00366,-0.00347
2010-07-14,-0.00342,-0.00242
2010-07-15,-0.00248,0.00217
2010-07-16,-0.00049,-0.00525
2010-07-19,-0.00022,-0.00500
2010-07-20,-0.00161,-0.00351
2010-07-21,0.00016,-0.00832
2010-07-22,-0.00102,0.00171
2010-07-23,-0.00138,0.00562
2010-07-26,-0.00094,0.00926
2010-07-27,-0.00152,0.00985
