Date,Fund,benchmark
2008-09-02,-0.00347,-0.01142
2008-09-03,-0.00998,-0.02027
2008-09-04,-0.00829,-0.03531
2008-09-05,-0.01473,-0.04023
2008-09-08,-0.02094,-0.03398
2008-09-09,-0.02275,-0.05189
2008-09-10,-0.02001,-0.04420
2008-09-11,-0.01446,-0.04313
2008-09-12,-0.02346,-0.04119
2008-09-15,-0.01181,-0.06187
2008-09-16,-0.01703,-0.06560
2008-09-17,-0.01463,-0.08361
2008-09-18,-0.02295,-0.07333
2008-09-19,-0.02745,-0.04585
2008-09-22,-0.03887,-0.06081
2008-09-23,-0.03436,-0.06879
2008-09-24,-0.03450,-0.07008
2008-09-25,-0.03906,-0.06652
2008-09-26,-0.04387,-0.07836
2008-09-29,-0.04380,-0.11681
2008-09-30,-0.04128,-0.09525
2008-10-01,-0.04119,-0.09887
2008-10-02,-0.04076,-0.12413
2008-10-03,-0.04052,-0.12860
2008-10-06,-0.04021,-0.15364
2008-10-07,-0.04008,-0.17341
2008-10-08,-0.03999,-0.17539
2008-10-09,-0.04000,-0.19505
2008-10-10,-0.03993,-0.20906
2008-10-13,-0.03993,-0.20906
2008-10-14,-0.03949,-0.16602
2008-10-15,-0.03938,-0.20072
2008-10-16,-0.03926,-0.19535
2008-10-17,-0.03904,-0.19559
2008-10-20,-0.03859,-0.16810
2008-10-21,-0.03853,-0.18189
2008-10-22,-0.03844,-0.20354
2008-10-23,-0.03839,-0.20450
2008-10-24,-0.03830,-0.21955
2008-10-27,-0.03791,-0.24510
2008-10-28,-0.03780,-0.21055
2008-10-29,-0.03780,-0.21157
2008-10-30,-0.03771,-0.19123
2008-10-31,-0.03760,-0.19088
2008-11-03,-0.03705,-0.19525
2008-11-04,-0.03716,-0.18039
2008-11-05,-0.03708,-0.19319
2008-11-06,-0.03706,-0.20768
2008-11-07,-0.03696,-0.19909
2008-11-10,-0.03668,-0.19754
2008-11-11,-0.03654,-0.20945
2008-11-12,-0.03645,-0.22461
2008-11-13,-0.03634,-0.20600
2008-11-14,-0.03628,-0.22076
2008-11-17,-0.03591,-0.23025
2008-11-18,-0.03586,-0.23155
2008-11-19,-0.03575,-0.24971
2008-11-20,-0.03564,-0.27007
2008-11-21,-0.03553,-0.25411
2008-11-24,-0.03516,-0.24456
2008-11-25,-0.03510,-0.24247
2008-11-26,-0.02979,-0.23093
2008-11-27,-0.02971,-0.22631
2008-11-28,-0.02866,-0.21229
2008-12-01,-0.02829,-0.24727
2008-12-02,-0.02864,-0.23979
2008-12-03,-0.02853,-0.23752
2008-12-04,-0.02839,-0.24339
2008-12-05,-0.02823,-0.23683
2008-12-08,-0.02775,-0.22042
2008-12-09,-0.02760,-0.22380
2008-12-10,-0.02449,-0.21264
2008-12-11,-0.02436,-0.22602
2008-12-12,-0.02400,-0.22085
2008-12-15,-0.02354,-0.22506
2008-12-16,-0.02337,-0.21104
2008-12-17,-0.02309,-0.21495
2008-12-18,-0.02295,-0.21998
2008-12-19,-0.02281,-0.21423
2008-12-22,-0.02240,-0.22643
2008-12-23,-0.02226,-0.22818
2008-12-24,-0.02220,-0.22791
2008-12-25,-0.02220,-0.22791
2008-12-26,-0.02220,-0.22791
2008-12-29,-0.02128,-0.21588
2008-12-30,-0.02112,-0.20385
2008-12-31,-0.02112,-0.19782
2009-01-01,-0.02112,-0.19782
2009-01-02,-0.03096,-0.18788
2009-01-05,-0.04358,-0.19121
2009-01-06,-0.04708,-0.18566
2009-01-07,-0.04168,-0.19682
2009-01-08,-0.04169,-0.19888
2009-01-09,-0.03370,-0.20467
2009-01-12,-0.02353,-0.21316
2009-01-13,-0.02234,-0.21011
2009-01-14,-0.00905,-0.21882
2009-01-15,-0.01076,-0.21462
2009-01-16,-0.01520,-0.21015
2009-01-19,-0.01934,-0.21354
2009-01-20,-0.01478,-0.23134
2009-01-21,-0.01801,-0.21995
2009-01-22,-0.02057,-0.23104
2009-01-23,-0.03045,-0.23406
2009-01-26,-0.03495,-0.23209
2009-01-27,-0.03179,-0.22599
2009-01-28,-0.03749,-0.21755
2009-01-29,-0.03983,-0.22631
2009-01-30,-0.04027,-0.22931
