Date,Fund,benchmark
2015-08-18,-0.00066,-0.00380
2015-08-19,-0.00085,-0.00801
2015-08-20,-0.00241,-0.02354
2015-08-21,-0.00393,-0.03708
2015-08-24,-0.00637,-0.05738
2015-08-25,-0.00653,-0.05415
2015-08-26,-0.00562,-0.04106
2015-08-27,-0.00424,-0.02974
2015-08-28,-0.00395,-0.02647
2015-08-31,-0.00463,-0.03042
2015-09-01,-0.00636,-0.04795
2015-09-02,-0.00565,-0.03826
2015-09-03,-0.00588,-0.03840
2015-09-04,-0.00662,-0.04459
2015-09-07,-0.00662,-0.04459
2015-09-08,-0.00558,-0.03457
2015-09-09,-0.00579,-0.03776
2015-09-10,-0.00572,-0.03646
2015-09-11,-0.00551,-0.03620
2015-09-14,-0.00576,-0.03918
2015-09-15,-0.00583,-0.03552
2015-09-16,-0.00516,-0.02914
2015-09-17,-0.00494,-0.02930
2015-09-18,-0.00543,-0.03703
2015-09-21,-0.00567,-0.03338
2015-09-22,-0.00679,-0.04223
2015-09-23,-0.00669,-0.04356
2015-09-24,-0.00726,-0.04772
2015-09-25,-0.00701,-0.04805
2015-09-28,-0.00801,-0.06014
2015-09-29,-0.00802,-0.05948
2015-09-30,-0.00691,-0.05058
2015-10-01,-0.00784,-0.05494
2015-10-02,-0.00706,-0.04876
2015-10-05,-0.00710,-0.03882
2015-10-06,-0.00659,-0.03993
2015-10-07,-0.00511,-0.03180
2015-10-08,-0.00574,-0.02807
2015-10-09,-0.00614,-0.02952
2015-10-12,-0.00614,-0.02952
2015-10-13,-0.00495,-0.03368
2015-10-14,-0.00497,-0.03744
2015-10-15,-0.00599,-0.03274
2015-10-16,-0.00501,-0.03242
2015-10-19,-0.00396,-0.02999
2015-10-20,-0.00545,-0.02969
2015-10-21,-0.00268,-0.02933
2015-10-22,-0.00248,-0.02532
2015-10-23,-0.00137,-0.01652
2015-10-26,-0.00092,-0.02010
2015-10-27,0.00031,-0.02227
2015-10-28,-0.00098,-0.01864
2015-10-29,-0.00272,-0.02082
2015-10-30,-0.00438,-0.02631
2015-11-02,-0.00341,-0.02078
2015-11-03,-0.00486,-0.01908
2015-11-04,-0.00443,-0.01722
2015-11-05,-0.00529,-0.01789
2015-11-06,-0.00633,-0.01511
2015-11-09,-0.00751,-0.02227
2015-11-10,-0.00777,-0.02379
2015-11-11,-0.00745,-0.02526
2015-11-12,-0.00800,-0.03337
2015-11-13,-0.00855,-0.03801
2015-11-16,-0.00763,-0.02891
2015-11-17,-0.00733,-0.02802
2015-11-18,-0.00584,-0.02077
2015-11-19,-0.00386,-0.02045
2015-11-20,-0.00393,-0.01769
2015-11-23,-0.00392,-0.01749
2015-11-24,-0.00487,-0.01949
2015-11-25,-0.00471,-0.01869
2015-11-26,-0.00411,-0.01703
2015-11-27,-0.00346,-0.01639
2015-11-30,-0.00375,-0.01798
2015-12-01,-0.00009,-0.01031
