Date,Fund,benchmark
2011-07-04,0.00074,0.00645
2011-07-05,0.00100,0.00755
2011-07-06,0.00072,0.00753
2011-07-07,0.00022,0.00899
2011-07-08,0.00077,0.00735
2011-07-11,0.00007,-0.00232
2011-07-12,-0.00045,-0.00605
2011-07-13,0.00010,-0.00234
2011-07-14,-0.00061,-0.00638
2011-07-15,-0.00056,-0.00506
2011-07-18,-0.00098,-0.00969
2011-07-19,-0.00117,-0.00591
2011-07-20,-0.00083,-0.00460
2011-07-21,-0.00002,0.00135
2011-07-22,0.00132,0.00598
2011-07-25,0.00068,0.00127
2011-07-26,0.00088,-0.00094
2011-07-27,-0.00019,-0.01223
2011-07-28,-0.00026,-0.01118
2011-07-29,0.00054,-0.01206
2011-08-01,0.00054,-0.01206
2011-08-02,-0.00005,-0.02572
2011-08-03,-0.00068,-0.02572
2011-08-04,-0.00213,-0.04941
2011-08-05,-0.00438,-0.05827
2011-08-08,-0.00553,-0.09141
2011-08-09,-0.00372,-0.06961
2011-08-10,-0.00360,-0.07964
2011-08-11,-0.00274,-0.06176
2011-08-12,-0.00122,-0.05803
2011-08-15,-0.00083,-0.04976
2011-08-16,-0.00111,-0.05516
2011-08-17,-0.00010,-0.05338
2011-08-18,-0.00209,-0.07529
2011-08-19,-0.00352,-0.08542
2011-08-22,-0.00323,-0.08448
2011-08-23,-0.00154,-0.07175
2011-08-24,-0.00282,-0.07088
2011-08-25,-0.00315,-0.07727
2011-08-26,-0.00277,-0.07288
2011-08-29,-0.00254,-0.06284
2011-08-30,-0.00137,-0.05786
2011-08-31,-0.00078,-0.05016
2011-09-01,-0.00092,-0.05362
2011-09-02,-0.00115,-0.06176
2011-09-05,-0.00115,-0.06176
2011-09-06,-0.00324,-0.07173
2011-09-07,-0.00157,-0.05920
2011-09-08,-0.00142,-0.06232
2011-09-09,-0.00258,-0.07397
2011-09-12,-0.00498,-0.08295
2011-09-13,-0.00386,-0.08139
2011-09-14,-0.00303,-0.07647
