Date,Fund,benchmark
2016-06-02,0.00082,0.00453
2016-06-03,0.00110,0.00111
2016-06-06,0.00043,0.00030
2016-06-07,0.00056,0.00276
2016-06-08,0.00012,0.00159
2016-06-09,0.00020,-0.00191
2016-06-10,-0.00005,-0.01197
2016-06-13,0.00000,-0.01684
2016-06-14,-0.00021,-0.02041
2016-06-15,0.00056,-0.01550
2016-06-16,0.00084,-0.01523
2016-06-17,0.00031,-0.01701
2016-06-20,-0.00001,-0.00978
2016-06-21,-0.00029,-0.00883
2016-06-22,0.00040,-0.00835
2016-06-23,0.00058,-0.00103
2016-06-24,0.00017,-0.02221
2016-06-27,0.00059,-0.03475
2016-06-28,0.00143,-0.02268
2016-06-29,0.00179,-0.01210
2016-06-30,0.00277,-0.00563
2016-07-01,0.00277,-0.00563
