Date,Fund,benchmark
2010-01-04,0.00163,0.00758
2010-01-05,0.00173,0.00999
2010-01-06,0.00086,0.01060
2010-01-07,0.00078,0.00926
2010-01-08,0.00174,0.01246
2010-01-11,0.00250,0.01415
2010-01-12,0.00250,0.01415
2010-01-13,0.00190,0.00979
2010-01-14,0.00182,0.00824
2010-01-15,0.00175,0.00350
2010-01-18,0.00209,0.00489
2010-01-19,0.00302,0.00886
2010-01-20,0.00357,0.00556
2010-01-21,0.00247,-0.00513
2010-01-22,0.00164,-0.01298
2010-01-25,0.00157,-0.01212
2010-01-26,0.00197,-0.01446
2010-01-27,0.00217,-0.01532
2010-01-28,0.00151,-0.01881
2010-01-29,0.00042,-0.02463
2010-02-01,0.00201,-0.01674
2010-02-02,0.00291,-0.01034
2010-02-03,0.00205,-0.01071
2010-02-04,0.00062,-0.02579
2010-02-05,0.00004,-0.03025
2010-02-08,-0.00022,-0.03416
2010-02-09,0.00036,-0.02623
2010-02-10,-0.00074,-0.02763
2010-02-11,-0.00118,-0.02424
2010-02-12,-0.00103,-0.02387
2010-02-15,-0.00103,-0.02387
2010-02-16,0.00035,-0.01746
2010-02-17,0.00068,-0.01337
2010-02-18,0.00068,-0.01109
2010-02-19,0.00048,-0.01258
2010-02-22,0.00075,-0.01223
2010-02-23,0.00172,-0.01455
2010-02-24,0.00187,-0.01361
2010-02-25,0.00308,-0.01087
2010-02-26,0.00295,-0.00995
2010-03-01,0.00279,-0.00617
2010-03-02,0.00319,-0.00226
2010-03-03,0.00254,-0.00100
2010-03-04,0.00216,-0.00225
2010-03-05,0.00317,0.00633
2010-03-08,0.00283,0.00673
2010-03-09,0.00258,0.00542
2010-03-10,0.00291,0.00842
2010-03-11,0.00373,0.01078
2010-03-12,0.00331,0.01053
2010-03-15,0.00358,0.00858
2010-03-16,0.00468,0.01339
2010-03-17,0.00453,0.01575
2010-03-18,0.00462,0.01351
2010-03-19,0.00373,0.00965
2010-03-22,0.00487,0.01170
2010-03-23,0.00512,0.01535
2010-03-24,0.00403,0.01301
2010-03-25,0.00373,0.01211
2010-03-26,0.00451,0.01489
2010-03-29,0.00458,0.01701
2010-03-30,0.00134,0.01751
2010-03-31,0.00293,0.01586
2010-04-01,0.00416,0.02199
2010-04-02,0.00416,0.02199
2010-04-05,0.00165,0.02262
2010-04-06,0.00077,0.02281
2010-04-07,0.00168,0.02273
2010-04-08,0.00034,0.02011
2010-04-09,0.00356,0.02648
2010-04-12,0.00410,0.02556
2010-04-13,0.00149,0.02388
2010-04-14,0.00292,0.02986
2010-04-15,0.00380,0.03238
2010-04-16,0.00376,0.02578
2010-04-19,0.00405,0.02458
2010-04-20,0.00004,0.02288
2010-04-21,-0.00030,0.02317
2010-04-22,-0.00105,0.02328
2010-04-23,0.00073,0.02906
2010-04-26,0.00209,0.03231
2010-04-27,0.00144,0.02430
2010-04-28,-0.00284,0.01769
2010-04-29,-0.00075,0.02528
2010-04-30,0.00199,0.02570
2010-05-03,0.00100,0.02688
2010-05-04,0.00083,0.01573
2010-05-05,0.00008,0.00749
2010-05-06,0.00349,0.00062
2010-05-07,-0.00433,-0.01378
2010-05-10,-0.00279,0.00653
2010-05-11,-0.00463,0.00372
2010-05-12,-0.00253,0.01404
2010-05-13,-0.00305,0.01032
2010-05-14,-0.00301,0.00300
2010-05-17,-0.00544,-0.00372
2010-05-18,-0.00516,-0.00801
2010-05-19,-0.00461,-0.01252
2010-05-20,-0.00281,-0.02707
2010-05-21,-0.00282,-0.02183
2010-05-24,-0.00282,-0.02183
2010-05-25,-0.00251,-0.02701
2010-05-26,-0.00393,-0.02601
2010-05-27,-0.00301,-0.01057
2010-05-28,-0.00369,-0.01407
2010-05-31,-0.00497,-0.01315
2010-06-01,-0.00497,-0.02095
2010-06-02,-0.00655,-0.01321
2010-06-03,-0.00539,-0.00868
2010-06-04,-0.00501,-0.01982
2010-06-07,-0.00842,-0.02820
2010-06-08,-0.01002,-0.02917
2010-06-09,-0.01176,-0.03249
2010-06-10,-0.01128,-0.02164
2010-06-11,-0.00915,-0.01800
2010-06-14,-0.00875,-0.01533
2010-06-15,-0.00543,-0.00264
2010-06-16,-0.00462,-0.00331
2010-06-17,-0.00185,0.00009
2010-06-18,-0.00340,-0.00120
