Date,Fund,benchmark
2008-09-02,-0.00129,-0.01142
2008-09-03,-0.00430,-0.02027
2008-09-04,-0.00722,-0.03531
2008-09-05,-0.00982,-0.04023
2008-09-08,-0.00798,-0.03398
2008-09-09,-0.01192,-0.05189
2008-09-10,-0.01085,-0.04420
2008-09-11,-0.00892,-0.04313
2008-09-12,-0.01150,-0.04119
2008-09-15,-0.01260,-0.06187
2008-09-16,-0.01438,-0.06560
2008-09-17,-0.01812,-0.08361
2008-09-18,-0.01853,-0.07333
2008-09-19,-0.01460,-0.04585
2008-09-22,-0.01995,-0.06081
2008-09-23,-0.02180,-0.06879
2008-09-24,-0.02200,-0.07008
2008-09-25,-0.02174,-0.06652
2008-09-26,-0.02681,-0.07836
2008-09-29,-0.03294,-0.11681
2008-09-30,-0.03066,-0.09525
2008-10-01,-0.03024,-0.09887
2008-10-02,-0.03073,-0.12413
2008-10-03,-0.02992,-0.12860
2008-10-06,-0.02898,-0.15364
2008-10-07,-0.03070,-0.17341
2008-10-08,-0.03056,-0.17539
2008-10-09,-0.03086,-0.19505
2008-10-10,-0.03175,-0.20906
2008-10-13,-0.03175,-0.20906
2008-10-14,-0.02707,-0.16602
2008-10-15,-0.02759,-0.20072
2008-10-16,-0.02960,-0.19535
2008-10-17,-0.02763,-0.19559
2008-10-20,-0.02183,-0.16810
2008-10-21,-0.01979,-0.18189
2008-10-22,-0.01636,-0.20354
2008-10-23,-0.01544,-0.20450
2008-10-24,-0.01623,-0.21955
2008-10-27,-0.01708,-0.24510
2008-10-28,-0.01425,-0.21055
2008-10-29,-0.02214,-0.21157
2008-10-30,-0.02040,-0.19123
2008-10-31,-0.02347,-0.19088
2008-11-03,-0.02895,-0.19525
2008-11-04,-0.02834,-0.18039
2008-11-05,-0.02609,-0.19319
2008-11-06,-0.02652,-0.20768
2008-11-07,-0.02549,-0.19909
2008-11-10,-0.02271,-0.19754
2008-11-11,-0.02481,-0.20945
2008-11-12,-0.02039,-0.22461
2008-11-13,-0.02317,-0.20600
2008-11-14,-0.02184,-0.22076
2008-11-17,-0.02369,-0.23025
2008-11-18,-0.02226,-0.23155
2008-11-19,-0.02119,-0.24971
2008-11-20,-0.01704,-0.27007
2008-11-21,-0.01881,-0.25411
2008-11-24,-0.02077,-0.24456
2008-11-25,-0.01776,-0.24247
2008-11-26,-0.01253,-0.23093
2008-11-27,-0.01060,-0.22631
2008-11-28,-0.00736,-0.21229
2008-12-01,-0.00820,-0.24727
2008-12-02,-0.00507,-0.23979
2008-12-03,-0.00385,-0.23752
2008-12-04,0.00077,-0.24339
2008-12-05,-0.00106,-0.23683
2008-12-08,0.00027,-0.22042
2008-12-09,0.00179,-0.22380
2008-12-10,0.00410,-0.21264
2008-12-11,0.00056,-0.22602
2008-12-12,0.00330,-0.22085
2008-12-15,0.00324,-0.22506
2008-12-16,0.00521,-0.21104
2008-12-17,0.00847,-0.21495
2008-12-18,0.00813,-0.21998
2008-12-19,0.00991,-0.21423
2008-12-22,0.00786,-0.22643
2008-12-23,0.00608,-0.22818
2008-12-24,0.00566,-0.22791
2008-12-25,0.00566,-0.22791
2008-12-26,0.00566,-0.22791
2008-12-29,0.01122,-0.21588
2008-12-30,0.01360,-0.20385
2008-12-31,0.01360,-0.19782
2009-01-01,0.01360,-0.19782
2009-01-02,0.01269,-0.18788
2009-01-05,0.00898,-0.19121
2009-01-06,0.00872,-0.18566
2009-01-07,0.00923,-0.19682
2009-01-08,0.00895,-0.19888
2009-01-09,0.01029,-0.20467
2009-01-12,0.01260,-0.21316
2009-01-13,0.01284,-0.21011
2009-01-14,0.01517,-0.21882
2009-01-15,0.01476,-0.21462
2009-01-16,0.01425,-0.21015
2009-01-19,0.01311,-0.21354
2009-01-20,0.01632,-0.23134
2009-01-21,0.01661,-0.21995
2009-01-22,0.01508,-0.23104
2009-01-23,0.01200,-0.23406
2009-01-26,0.01148,-0.23209
2009-01-27,0.01336,-0.22599
2009-01-28,0.01308,-0.21755
2009-01-29,0.01112,-0.22631
2009-01-30,0.01009,-0.22931
