Date,Fund,benchmark
2015-08-18,-0.00465,-0.00380
2015-08-19,-0.00515,-0.00801
2015-08-20,-0.02052,-0.02354
2015-08-21,-0.03331,-0.03708
2015-08-24,-0.04962,-0.05738
2015-08-25,-0.05624,-0.05415
2015-08-26,-0.03434,-0.04106
2015-08-27,-0.02752,-0.02974
2015-08-28,-0.02826,-0.02647
2015-08-31,-0.03758,-0.03042
2015-09-01,-0.05171,-0.04795
2015-09-02,-0.03747,-0.03826
2015-09-03,-0.04246,-0.03840
2015-09-04,-0.04676,-0.04459
2015-09-07,-0.04676,-0.04459
2015-09-08,-0.03391,-0.03457
2015-09-09,-0.04140,-0.03776
2015-09-10,-0.03872,-0.03646
2015-09-11,-0.03328,-0.03620
2015-09-14,-0.03556,-0.03918
2015-09-15,-0.02996,-0.03552
2015-09-16,-0.02913,-0.02914
2015-09-17,-0.03055,-0.02930
2015-09-18,-0.03611,-0.03703
2015-09-21,-0.03411,-0.03338
2015-09-22,-0.04029,-0.04223
2015-09-23,-0.03611,-0.04356
2015-09-24,-0.03894,-0.04772
2015-09-25,-0.04052,-0.04805
2015-09-28,-0.05100,-0.06014
2015-09-29,-0.04705,-0.05948
2015-09-30,-0.04631,-0.05058
2015-10-01,-0.04745,-0.05494
2015-10-02,-0.04817,-0.04876
2015-10-05,-0.05258,-0.03882
2015-10-06,-0.05263,-0.03993
2015-10-07,-0.05178,-0.03180
2015-10-08,-0.05361,-0.02807
2015-10-09,-0.05504,-0.02952
2015-10-12,-0.05504,-0.02952
2015-10-13,-0.05168,-0.03368
2015-10-14,-0.05036,-0.03744
2015-10-15,-0.05359,-0.03274
2015-10-16,-0.05298,-0.03242
2015-10-19,-0.05117,-0.02999
2015-10-20,-0.05321,-0.02969
2015-10-21,-0.04863,-0.02933
2015-10-22,-0.05185,-0.02532
2015-10-23,-0.05272,-0.01652
2015-10-26,-0.05158,-0.02010
2015-10-27,-0.04852,-0.02227
2015-10-28,-0.05266,-0.01864
2015-10-29,-0.05436,-0.02082
2015-10-30,-0.05505,-0.02631
2015-11-02,-0.05473,-0.02078
2015-11-03,-0.05794,-0.01908
2015-11-04,-0.05725,-0.01722
2015-11-05,-0.05795,-0.01789
2015-11-06,-0.06068,-0.01511
2015-11-09,-0.06105,-0.02227
2015-11-10,-0.06146,-0.02379
2015-11-11,-0.06063,-0.02526
2015-11-12,-0.05780,-0.03337
2015-11-13,-0.05743,-0.03801
2015-11-16,-0.05896,-0.02891
2015-11-17,-0.05990,-0.02802
2015-11-18,-0.05921,-0.02077
2015-11-19,-0.05646,-0.02045
2015-11-20,-0.05760,-0.01769
2015-11-23,-0.05711,-0.01749
2015-11-24,-0.05809,-0.01949
2015-11-25,-0.05876,-0.01869
2015-11-26,-0.05875,-0.01703
2015-11-27,-0.05684,-0.01639
2015-11-30,-0.05790,-0.01798
2015-12-01,-0.05395,-0.01031
