Date,Fund,benchmark
2011-07-04,0.00942,0.00645
2011-07-05,0.01071,0.00755
2011-07-06,0.01424,0.00753
2011-07-07,0.01695,0.00899
2011-07-08,0.01362,0.00735
2011-07-11,0.00505,-0.00232
2011-07-12,-0.00172,-0.00605
2011-07-13,-0.00483,-0.00234
2011-07-14,-0.01013,-0.00638
2011-07-15,-0.01075,-0.00506
2011-07-18,-0.01367,-0.00969
2011-07-19,-0.00676,-0.00591
2011-07-20,-0.01078,-0.00460
2011-07-21,-0.00110,0.00135
2011-07-22,0.00370,0.00598
2011-07-25,-0.00461,0.00127
2011-07-26,-0.01054,-0.00094
2011-07-27,-0.02273,-0.01223
2011-07-28,-0.02320,-0.01118
2011-07-29,-0.02472,-0.01206
2011-08-01,-0.02472,-0.01206
2011-08-02,-0.04549,-0.02572
2011-08-03,-0.03883,-0.02572
2011-08-04,-0.06472,-0.04941
2011-08-05,-0.06705,-0.05827
2011-08-08,-0.11002,-0.09141
2011-08-09,-0.08272,-0.06961
2011-08-10,-0.10525,-0.07964
2011-08-11,-0.07598,-0.06176
2011-08-12,-0.06882,-0.05803
2011-08-15,-0.06062,-0.04976
2011-08-16,-0.06700,-0.05516
2011-08-17,-0.06673,-0.05338
2011-08-18,-0.09578,-0.07529
2011-08-19,-0.10778,-0.08542
2011-08-22,-0.10644,-0.08448
2011-08-23,-0.08190,-0.07175
2011-08-24,-0.07316,-0.07088
2011-08-25,-0.08514,-0.07727
2011-08-26,-0.07612,-0.07288
2011-08-29,-0.05871,-0.06284
2011-08-30,-0.05592,-0.05786
2011-08-31,-0.05131,-0.05016
2011-09-01,-0.06357,-0.05362
2011-09-02,-0.07739,-0.06176
2011-09-05,-0.07739,-0.06176
2011-09-06,-0.07730,-0.07173
2011-09-07,-0.05809,-0.05920
2011-09-08,-0.06464,-0.06232
2011-09-09,-0.07962,-0.07397
2011-09-12,-0.07716,-0.08295
2011-09-13,-0.07537,-0.08139
2011-09-14,-0.06086,-0.07647
2011-09-15,-0.05233,-0.07023
2011-09-16,-0.05181,-0.07217
2011-09-19,-0.05070,-0.07760
2011-09-20,-0.04872,-0.07595
2011-09-21,-0.06328,-0.08551
2011-09-22,-0.07184,-0.10016
2011-09-23,-0.06460,-0.10127
2011-09-26,-0.04726,-0.09347
2011-09-27,-0.04494,-0.08503
2011-09-28,-0.05233,-0.09125
2011-09-29,-0.04215,-0.08506
2011-09-30,-0.04038,-0.09223
2011-10-03,-0.03612,-0.10865
2011-10-04,-0.03150,-0.10496
2011-10-05,-0.04233,-0.09985
2011-10-06,-0.04605,-0.08593
2011-10-07,-0.04770,-0.09135
2011-10-10,-0.04770,-0.09135
2011-10-11,-0.05327,-0.07732
2011-10-12,-0.06237,-0.07206
2011-10-13,-0.05689,-0.07304
2011-10-14,-0.06505,-0.06897
2011-10-17,-0.05608,-0.07462
2011-10-18,-0.06015,-0.07033
2011-10-19,-0.05814,-0.07530
2011-10-20,-0.05985,-0.07857
2011-10-21,-0.06348,-0.07105
2011-10-24,-0.06553,-0.06095
2011-10-25,-0.05488,-0.06202
2011-10-26,-0.06182,-0.06176
2011-10-27,-0.07093,-0.04462
2011-10-28,-0.06870,-0.04189
2011-10-31,-0.06694,-0.05689
2011-11-01,-0.05057,-0.06382
2011-11-02,-0.05402,-0.05846
2011-11-03,-0.05796,-0.04946
2011-11-04,-0.05308,-0.04852
2011-11-07,-0.05309,-0.04824
2011-11-08,-0.05477,-0.04610
2011-11-09,-0.04899,-0.06181
2011-11-10,-0.05277,-0.06331
2011-11-11,-0.05422,-0.05404
2011-11-14,-0.05083,-0.05642
2011-11-15,-0.05047,-0.05556
2011-11-16,-0.04951,-0.06062
2011-11-17,-0.04698,-0.06851
2011-11-18,-0.04863,-0.07164
2011-11-21,-0.04239,-0.07842
2011-11-22,-0.04138,-0.08008
2011-11-23,-0.03860,-0.08952
2011-11-24,-0.03900,-0.09066
2011-11-25,-0.04358,-0.09289
2011-11-28,-0.04946,-0.08328
2011-11-29,-0.05133,-0.08090
2011-11-30,-0.05532,-0.06191
2011-12-01,-0.05763,-0.06361
2011-12-02,-0.05564,-0.06242
2011-12-05,-0.05510,-0.05807
2011-12-06,-0.05886,-0.06293
2011-12-07,-0.05654,-0.06035
2011-12-08,-0.04849,-0.06742
2011-12-09,-0.05324,-0.06250
2011-12-12,-0.04994,-0.06934
2011-12-13,-0.04658,-0.07221
2011-12-14,-0.04214,-0.07928
2011-12-15,-0.04197,-0.07942
2011-12-16,-0.03778,-0.07513
2011-12-19,-0.03640,-0.08084
2011-12-20,-0.04209,-0.07095
2011-12-21,-0.04631,-0.07133
2011-12-22,-0.04868,-0.06835
2011-12-23,-0.05139,-0.06501
2011-12-26,-0.05139,-0.06501
2011-12-27,-0.05139,-0.06501
2011-12-28,-0.04708,-0.07070
2011-12-29,-0.04679,-0.06624
2011-12-30,-0.04679,-0.06770
2012-01-02,-0.04679,-0.06770
2012-01-03,-0.04478,-0.05941
2012-01-04,-0.04479,-0.05957
2012-01-05,-0.03867,-0.05794
2012-01-06,-0.03258,-0.05721
2012-01-09,-0.03377,-0.05632
2012-01-10,-0.03456,-0.05270
2012-01-11,-0.03118,-0.05231
2012-01-12,-0.02981,-0.05128
2012-01-13,-0.02859,-0.05253
2012-01-16,-0.03273,-0.05387
2012-01-17,-0.03238,-0.05071
2012-01-18,-0.02889,-0.04514
2012-01-19,-0.02701,-0.04097
2012-01-20,-0.02587,-0.03918
2012-01-23,-0.03208,-0.03803
2012-01-24,-0.03079,-0.03937
2012-01-25,-0.03000,-0.03586
2012-01-26,-0.03419,-0.03727
2012-01-27,-0.03422,-0.03650
2012-01-30,-0.03240,-0.03971
2012-01-31,-0.03224,-0.03684
2012-02-01,-0.03030,-0.03119
