Date,Fund,benchmark
2010-01-04,0.00736,0.00758
2010-01-05,0.00819,0.00999
2010-01-06,0.00903,0.01060
2010-01-07,0.00862,0.00926
2010-01-08,0.01086,0.01246
2010-01-11,0.01174,0.01415
2010-01-12,0.01174,0.01415
2010-01-13,0.00691,0.00979
2010-01-14,0.00356,0.00824
2010-01-15,-0.00248,0.00350
2010-01-18,-0.00085,0.00489
2010-01-19,0.00450,0.00886
2010-01-20,0.00252,0.00556
2010-01-21,-0.01038,-0.00513
2010-01-22,-0.01966,-0.01298
2010-01-25,-0.01807,-0.01212
2010-01-26,-0.01794,-0.01446
2010-01-27,-0.01638,-0.01532
2010-01-28,-0.02185,-0.01881
2010-01-29,-0.03128,-0.02463
2010-02-01,-0.01962,-0.01674
2010-02-02,-0.01355,-0.01034
2010-02-03,-0.01468,-0.01071
2010-02-04,-0.03158,-0.02579
2010-02-05,-0.02741,-0.03025
2010-02-08,-0.03327,-0.03416
2010-02-09,-0.02489,-0.02623
2010-02-10,-0.02614,-0.02763
2010-02-11,-0.02044,-0.02424
2010-02-12,-0.01950,-0.02387
2010-02-15,-0.01950,-0.02387
2010-02-16,-0.01185,-0.01746
2010-02-17,-0.00808,-0.01337
2010-02-18,-0.00490,-0.01109
2010-02-19,-0.00385,-0.01258
2010-02-22,-0.00650,-0.01223
2010-02-23,-0.01076,-0.01455
2010-02-24,-0.00875,-0.01361
2010-02-25,-0.00321,-0.01087
2010-02-26,-0.00499,-0.00995
2010-03-01,-0.00066,-0.00617
2010-03-02,0.00270,-0.00226
2010-03-03,0.00253,-0.00100
2010-03-04,0.00227,-0.00225
2010-03-05,0.01222,0.00633
2010-03-08,0.01105,0.00673
2010-03-09,0.00927,0.00542
2010-03-10,0.01226,0.00842
2010-03-11,0.01422,0.01078
2010-03-12,0.01392,0.01053
2010-03-15,0.01419,0.00858
2010-03-16,0.01824,0.01339
2010-03-17,0.01924,0.01575
2010-03-18,0.01756,0.01351
2010-03-19,0.01326,0.00965
2010-03-22,0.01618,0.01170
2010-03-23,0.02056,0.01535
2010-03-24,0.01813,0.01301
2010-03-25,0.01753,0.01211
2010-03-26,0.01816,0.01489
2010-03-29,0.02161,0.01701
2010-03-30,0.02081,0.01751
2010-03-31,0.02213,0.01586
2010-04-01,0.02511,0.02199
2010-04-02,0.02511,0.02199
2010-04-05,0.02610,0.02262
2010-04-06,0.02537,0.02281
2010-04-07,0.02377,0.02273
2010-04-08,0.02385,0.02011
2010-04-09,0.02542,0.02648
2010-04-12,0.02478,0.02556
2010-04-13,0.02114,0.02388
2010-04-14,0.02369,0.02986
2010-04-15,0.02385,0.03238
2010-04-16,0.02039,0.02578
2010-04-19,0.02139,0.02458
2010-04-20,0.02186,0.02288
2010-04-21,0.02239,0.02317
2010-04-22,0.02303,0.02328
2010-04-23,0.02499,0.02906
2010-04-26,0.02599,0.03231
2010-04-27,0.02047,0.02430
2010-04-28,0.01882,0.01769
2010-04-29,0.02208,0.02528
2010-04-30,0.02231,0.02570
2010-05-03,0.02204,0.02688
2010-05-04,0.01819,0.01573
2010-05-05,0.01432,0.00749
2010-05-06,0.01305,0.00062
2010-05-07,0.00939,-0.01378
2010-05-10,0.01575,0.00653
2010-05-11,0.01707,0.00372
2010-05-12,0.02217,0.01404
2010-05-13,0.02022,0.01032
2010-05-14,0.01777,0.00300
2010-05-17,0.01269,-0.00372
2010-05-18,0.01162,-0.00801
2010-05-19,0.00924,-0.01252
2010-05-20,0.00283,-0.02707
2010-05-21,0.00579,-0.02183
2010-05-24,0.00579,-0.02183
2010-05-25,0.00567,-0.02701
2010-05-26,0.00629,-0.02601
2010-05-27,0.01162,-0.01057
2010-05-28,0.00971,-0.01407
2010-05-31,0.01214,-0.01315
2010-06-01,0.00740,-0.02095
2010-06-02,0.01245,-0.01321
