Date,Fund,benchmark
2008-09-02,-0.01178,-0.01142
2008-09-03,-0.01942,-0.02027
2008-09-04,-0.02484,-0.03531
2008-09-05,-0.02910,-0.04023
2008-09-08,-0.03694,-0.03398
2008-09-09,-0.04808,-0.05189
2008-09-10,-0.03909,-0.04420
2008-09-11,-0.03290,-0.04313
2008-09-12,-0.03579,-0.04119
2008-09-15,-0.03842,-0.06187
2008-09-16,-0.04247,-0.06560
2008-09-17,-0.04796,-0.08361
2008-09-18,-0.04973,-0.07333
2008-09-19,-0.03540,-0.04585
2008-09-22,-0.04873,-0.06081
2008-09-23,-0.04781,-0.06879
2008-09-24,-0.04832,-0.07008
2008-09-25,-0.05065,-0.06652
2008-09-26,-0.06249,-0.07836
2008-09-29,-0.07961,-0.11681
2008-09-30,-0.07718,-0.09525
2008-10-01,-0.07709,-0.09887
2008-10-02,-0.07668,-0.12413
2008-10-03,-0.07645,-0.12860
2008-10-06,-0.07616,-0.15364
2008-10-07,-0.07603,-0.17341
2008-10-08,-0.07594,-0.17539
2008-10-09,-0.07595,-0.19505
2008-10-10,-0.07588,-0.20906
2008-10-13,-0.07588,-0.20906
2008-10-14,-0.07546,-0.16602
2008-10-15,-0.07535,-0.20072
2008-10-16,-0.07524,-0.19535
2008-10-17,-0.07502,-0.19559
2008-10-20,-0.07459,-0.16810
2008-10-21,-0.07453,-0.18189
2008-10-22,-0.07445,-0.20354
2008-10-23,-0.07440,-0.20450
2008-10-24,-0.07431,-0.21955
2008-10-27,-0.07394,-0.24510
2008-10-28,-0.07383,-0.21055
2008-10-29,-0.07383,-0.21157
2008-10-30,-0.07374,-0.19123
2008-10-31,-0.07364,-0.19088
2008-11-03,-0.07311,-0.19525
2008-11-04,-0.07322,-0.18039
2008-11-05,-0.07314,-0.19319
2008-11-06,-0.07312,-0.20768
2008-11-07,-0.07303,-0.19909
2008-11-10,-0.07275,-0.19754
2008-11-11,-0.07262,-0.20945
2008-11-12,-0.07253,-0.22461
2008-11-13,-0.07242,-0.20600
2008-11-14,-0.07236,-0.22076
2008-11-17,-0.07201,-0.23025
2008-11-18,-0.07197,-0.23155
2008-11-19,-0.07186,-0.24971
2008-11-20,-0.07175,-0.27007
2008-11-21,-0.07165,-0.25411
2008-11-24,-0.07129,-0.24456
2008-11-25,-0.07124,-0.24247
2008-11-26,-0.06612,-0.23093
2008-11-27,-0.06604,-0.22631
2008-11-28,-0.06503,-0.21229
2008-12-01,-0.06468,-0.24727
2008-12-02,-0.06502,-0.23979
2008-12-03,-0.06491,-0.23752
2008-12-04,-0.06477,-0.24339
2008-12-05,-0.06462,-0.23683
2008-12-08,-0.06416,-0.22042
2008-12-09,-0.06401,-0.22380
2008-12-10,-0.06102,-0.21264
2008-12-11,-0.06089,-0.22602
2008-12-12,-0.06055,-0.22085
2008-12-15,-0.06011,-0.22506
2008-12-16,-0.05994,-0.21104
2008-12-17,-0.05967,-0.21495
2008-12-18,-0.05954,-0.21998
2008-12-19,-0.05940,-0.21423
2008-12-22,-0.05901,-0.22643
2008-12-23,-0.05887,-0.22818
2008-12-24,-0.05882,-0.22791
2008-12-25,-0.05882,-0.22791
2008-12-26,-0.05882,-0.22791
2008-12-29,-0.05793,-0.21588
2008-12-30,-0.05778,-0.20385
2008-12-31,-0.05778,-0.19782
2009-01-01,-0.05778,-0.19782
2009-01-02,-0.06724,-0.18788
2009-01-05,-0.07930,-0.19121
2009-01-06,-0.08263,-0.18566
2009-01-07,-0.07747,-0.19682
2009-01-08,-0.07747,-0.19888
2009-01-09,-0.06978,-0.20467
2009-01-12,-0.06005,-0.21316
2009-01-13,-0.05890,-0.21011
2009-01-14,-0.04614,-0.21882
2009-01-15,-0.04781,-0.21462
2009-01-16,-0.05208,-0.21015
2009-01-19,-0.05607,-0.21354
2009-01-20,-0.05171,-0.23134
2009-01-21,-0.05483,-0.21995
2009-01-22,-0.05728,-0.23104
2009-01-23,-0.06673,-0.23406
2009-01-26,-0.07107,-0.23209
2009-01-27,-0.06803,-0.22599
2009-01-28,-0.07348,-0.21755
2009-01-29,-0.07576,-0.22631
2009-01-30,-0.07617,-0.22931
