Date,Fund,benchmark
2001-09-04,-0.00659,-0.02512
2001-09-05,-0.00391,-0.01020
2001-09-06,-0.01180,-0.01805
2001-09-07,-0.01233,-0.00785
2001-09-10,-0.01361,-0.00549
2001-09-11,-0.01361,-0.00549
2001-09-12,-0.01361,-0.00549
2001-09-13,-0.02071,-0.00549
2001-09-14,-0.02510,-0.00549
2001-09-17,-0.02729,0.02983
2001-09-18,-0.02870,0.03611
2001-09-19,-0.03411,0.04396
2001-09-20,-0.04856,0.03846
2001-09-21,-0.05806,0.03375
2001-09-24,-0.04894,0.01413
2001-09-25,-0.04460,0.01020
2001-09-26,-0.04061,0.03532
2001-09-27,-0.03622,0.03375
2001-09-28,-0.03364,6.61850
2001-10-01,-0.03562,6.65863
2001-10-02,-0.03313,6.67009
2001-10-03,-0.02997,6.57837
2001-10-04,-0.02987,6.51532
2001-10-05,-0.02679,6.71595
2001-10-08,-0.02679,6.71595
2001-10-09,-0.03341,6.54971
2001-10-10,-0.03092,6.34907
2001-10-11,-0.03058,6.21149
2001-10-12,-0.02714,6.36627
2001-10-15,-0.03313,6.28602
2001-10-16,-0.02661,6.37774
2001-10-17,-0.02496,6.45226
2001-10-18,-0.02772,6.40067
2001-10-19,-0.03100,6.32041
2001-10-22,-0.03079,6.19430
2001-10-23,-0.03070,6.20576
2001-10-24,-0.02671,6.28028
2001-10-25,-0.02236,6.31468
2001-10-26,-0.02022,6.30321
2001-10-29,-0.02451,6.27455
2001-10-30,-0.02649,6.37774
2001-10-31,-0.02078,6.39493
2001-11-01,-0.01213,6.48092
2001-11-02,-0.00884,6.62997
2001-11-05,-0.00474,6.54398
2001-11-06,-0.00103,6.48665
2001-11-07,0.00076,6.54971
2001-11-08,0.00091,6.40067
2001-11-09,0.00453,6.46946
2001-11-12,0.00453,6.46946
2001-11-13,0.00416,6.45226
2001-11-14,0.00182,6.43506
2001-11-15,-0.00485,6.33761
2001-11-16,-0.00490,6.27455
2001-11-19,-0.00410,6.11404
2001-11-20,-0.00414,6.10258
2001-11-21,-0.00489,6.12551
2001-11-22,-0.00314,6.14844
2001-11-23,-0.00306,6.11404
2001-11-26,0.00122,6.10831
2001-11-27,0.00020,6.22869
2001-11-28,-0.00688,6.23442
2001-11-29,-0.00604,6.18283
2001-11-30,-0.00430,6.26309
