Date,Fund,benchmark
2011-07-04,0.00418,0.00447
2011-07-05,0.00932,0.00536
2011-07-06,0.01423,0.00536
2011-07-07,0.01522,0.00536
2011-07-08,0.01385,0.00581
2011-07-11,0.00523,-0.00089
2011-07-12,0.00931,-0.00223
2011-07-13,0.01845,0.00089
2011-07-14,0.01308,-0.00268
2011-07-15,0.01343,-0.00045
2011-07-18,0.01537,-0.00402
2011-07-19,0.01084,-0.00045
2011-07-20,0.01098,-0.00134
2011-07-21,0.01488,0.00223
2011-07-22,0.02354,0.00626
2011-07-25,0.01852,0.00313
2011-07-26,0.01556,-0.00134
2011-07-27,0.00191,-0.01251
2011-07-28,0.00078,-0.01072
2011-07-29,-0.00178,-0.01206
2011-08-01,-0.00178,-0.01206
2011-08-02,-0.00728,-0.02055
2011-08-03,-0.00504,-0.01698
2011-08-04,-0.03459,-0.03485
2011-08-05,-0.04434,-0.04513
2011-08-08,-0.06742,-0.06836
2011-08-09,-0.04515,-0.04424
2011-08-10,-0.04365,-0.04781
2011-08-11,-0.03194,-0.03217
2011-08-12,-0.02962,-0.02994
2011-08-15,-0.01987,-0.02502
2011-08-16,-0.02514,-0.03172
2011-08-17,-0.02144,-0.02815
2011-08-18,-0.04192,-0.04781
2011-08-19,-0.04494,-0.05764
2011-08-22,-0.03546,-0.05585
2011-08-23,-0.03164,-0.04111
2011-08-24,-0.03889,-0.04155
2011-08-25,-0.04001,-0.04647
2011-08-26,-0.03351,-0.04334
2011-08-29,-0.02766,-0.03485
2011-08-30,-0.01959,-0.02994
2011-08-31,-0.01328,-0.02502
2011-09-01,-0.01788,-0.02815
2011-09-02,-0.01719,-0.03262
2011-09-05,-0.01719,-0.03262
2011-09-06,-0.02417,-0.03798
2011-09-07,-0.01243,-0.02770
2011-09-08,-0.00999,-0.02994
2011-09-09,-0.02150,-0.04066
2011-09-12,-0.03645,-0.05228
2011-09-13,-0.03465,-0.05049
2011-09-14,-0.03100,-0.04468
2011-09-15,-0.02817,-0.04021
2011-09-16,-0.02801,-0.04558
2011-09-19,-0.03210,-0.04870
2011-09-20,-0.02327,-0.04736
2011-09-21,-0.03510,-0.05809
2011-09-22,-0.05856,-0.07149
2011-09-23,-0.06891,-0.07328
2011-09-26,-0.06327,-0.06211
2011-09-27,-0.05689,-0.05764
2011-09-28,-0.06934,-0.06613
2011-09-29,-0.06388,-0.05898
2011-09-30,-0.06224,-0.06285
2011-10-03,-0.07360,-0.07893
2011-10-04,-0.07515,-0.07715
2011-10-05,-0.07183,-0.06910
2011-10-06,-0.06015,-0.05525
2011-10-07,-0.06591,-0.06374
2011-10-10,-0.06591,-0.06374
2011-10-11,-0.05599,-0.05123
2011-10-12,-0.05538,-0.04631
2011-10-13,-0.05638,-0.04855
2011-10-14,-0.05381,-0.04274
2011-10-17,-0.05598,-0.04810
2011-10-18,-0.05399,-0.04408
2011-10-19,-0.06045,-0.05257
2011-10-20,-0.06364,-0.05346
2011-10-21,-0.05832,-0.04720
2011-10-24,-0.05137,-0.03782
2011-10-25,-0.04515,-0.03961
2011-10-26,-0.04732,-0.03827
2011-10-27,-0.03841,-0.02441
2011-10-28,-0.03572,-0.02128
2011-10-31,-0.04766,-0.03469
2011-11-01,-0.04464,-0.03916
2011-11-02,-0.04071,-0.03201
