Date,Fund,benchmark
2016-06-02,0.00428,0.00398
2016-06-03,0.02273,0.00478
2016-06-06,0.02043,0.00318
2016-06-07,0.01919,0.00836
2016-06-08,0.02295,0.00597
2016-06-09,0.02587,0.00279
2016-06-10,0.01910,-0.00597
2016-06-13,0.01603,-0.00916
2016-06-14,0.00900,-0.01314
2016-06-15,0.02175,-0.00955
2016-06-16,0.01834,-0.01035
2016-06-17,0.01543,-0.01075
2016-06-20,0.02017,-0.00677
2016-06-21,0.01387,-0.00637
2016-06-22,0.01978,-0.00557
2016-06-23,0.02108,-0.00040
2016-06-24,0.02627,-0.01592
2016-06-27,0.02538,-0.02189
2016-06-28,0.02979,-0.01274
2016-06-29,0.03789,-0.00518
2016-06-30,0.04103,0.00018
2016-07-01,0.04103,0.00018
