Date,Fund,benchmark
2010-01-04,0.00772,0.00682
2010-01-05,0.01007,0.00864
2010-01-06,0.01156,0.00727
2010-01-07,0.01187,0.00500
2010-01-08,0.01560,0.00864
2010-01-11,0.02062,0.00955
2010-01-12,0.01645,0.00682
2010-01-13,0.01544,0.00682
2010-01-14,0.01218,0.00409
2010-01-15,0.00927,-0.00045
2010-01-18,0.01102,0.00227
2010-01-19,0.01503,0.00545
2010-01-20,0.01201,0.00500
2010-01-21,0.00204,-0.00318
2010-01-22,-0.00284,-0.01136
2010-01-25,-0.00186,-0.00909
2010-01-26,-0.00119,-0.00864
2010-01-27,-0.00356,-0.00818
2010-01-28,-0.00756,-0.01182
2010-01-29,-0.01512,-0.01955
2010-02-01,-0.00610,-0.01136
2010-02-02,-0.00163,-0.00591
2010-02-03,-0.00382,-0.00682
2010-02-04,-0.01808,-0.01909
2010-02-05,-0.01607,-0.01864
2010-02-08,-0.02081,-0.02136
2010-02-09,-0.01319,-0.01591
2010-02-10,-0.01781,-0.01727
2010-02-11,-0.01573,-0.01455
2010-02-12,-0.01679,-0.01364
2010-02-15,-0.01679,-0.01364
2010-02-16,-0.00980,-0.00818
2010-02-17,-0.00838,-0.00636
2010-02-18,-0.00658,-0.00500
2010-02-19,-0.00864,-0.00455
2010-02-22,-0.00798,-0.00636
2010-02-23,-0.00859,-0.00727
2010-02-24,-0.00788,-0.00636
2010-02-25,-0.00253,-0.00182
2010-02-26,-0.00239,-0.00364
2010-03-01,-0.00142,-0.00273
2010-03-02,0.00161,0.00000
2010-03-03,0.00281,-0.00091
2010-03-04,-0.00081,-0.00182
2010-03-05,0.00621,0.00636
2010-03-08,0.00373,0.00591
2010-03-09,0.00251,0.00455
2010-03-10,0.00300,0.00682
2010-03-11,0.00430,0.00864
2010-03-12,0.00287,0.00955
2010-03-15,0.00226,0.00909
2010-03-16,0.00731,0.01227
2010-03-17,0.00797,0.01136
2010-03-18,0.00659,0.00955
2010-03-19,0.00322,0.00409
2010-03-22,0.00612,0.00727
2010-03-23,0.00792,0.01000
2010-03-24,0.00326,0.00682
2010-03-25,0.00156,0.00682
2010-03-26,0.00581,0.00773
2010-03-29,0.00795,0.01000
2010-03-30,0.00576,0.01091
2010-03-31,0.00773,0.00987
2010-04-01,0.01525,0.01123
2010-04-02,0.01525,0.01123
2010-04-05,0.01683,0.00987
2010-04-06,0.01674,0.00850
2010-04-07,0.02397,0.00577
2010-04-08,0.02282,0.00395
2010-04-09,0.03146,0.00896
2010-04-12,0.02986,0.00850
2010-04-13,0.02565,0.00668
2010-04-14,0.03333,0.01032
2010-04-15,0.03521,0.01214
2010-04-16,0.02939,0.00532
2010-04-19,0.02915,0.00668
2010-04-20,0.02287,0.00395
2010-04-21,0.02499,0.00304
2010-04-22,0.02382,0.00168
2010-04-23,0.03138,0.00532
2010-04-26,0.03455,0.00759
2010-04-27,0.03239,0.00122
2010-04-28,0.03204,-0.00470
2010-04-29,0.03680,0.00213
2010-04-30,0.04342,0.00259
2010-05-03,0.03804,0.00350
2010-05-04,0.02872,-0.00287
2010-05-05,0.02456,-0.00970
2010-05-06,0.02761,-0.01061
2010-05-07,0.01280,-0.02062
2010-05-10,0.02606,-0.00788
2010-05-11,0.03578,-0.01061
2010-05-12,0.04402,-0.00151
2010-05-13,0.03563,-0.00470
2010-05-14,0.03358,-0.00879
2010-05-17,0.02326,-0.01607
2010-05-18,0.01596,-0.01835
2010-05-19,0.00586,-0.01971
2010-05-20,-0.00553,-0.02927
2010-05-21,-0.00096,-0.02472
2010-05-24,-0.00096,-0.02472
2010-05-25,0.00381,-0.02836
2010-05-26,0.00645,-0.02973
2010-05-27,0.01544,-0.02062
2010-05-28,0.00952,-0.02472
2010-05-31,0.01045,-0.02290
2010-06-01,0.00524,-0.03155
2010-06-02,0.00766,-0.02381
2010-06-03,0.00612,-0.02017
2010-06-04,-0.00077,-0.03018
2010-06-07,-0.00050,-0.03883
2010-06-08,-0.00074,-0.03974
2010-06-09,-0.00671,-0.04429
2010-06-10,-0.00114,-0.03564
2010-06-11,0.00306,-0.03200
2010-06-14,-0.00034,-0.03155
2010-06-15,0.01089,-0.01880
2010-06-16,0.01380,-0.01880
2010-06-17,0.02447,-0.01744
2010-06-18,0.02646,-0.02017
2010-06-21,0.02146,-0.01835
2010-06-22,0.01539,-0.02426
2010-06-23,0.02221,-0.02017
2010-06-24,0.01753,-0.02791
2010-06-25,0.02128,-0.03064
2010-06-28,0.01664,-0.03337
2010-06-29,0.00384,-0.04656
2010-06-30,0.00769,-0.04587
2010-07-01,0.00769,-0.04587
2010-07-02,-0.00015,-0.04815
2010-07-05,-0.00185,-0.05043
2010-07-06,-0.00151,-0.04541
2010-07-07,0.00836,-0.03491
2010-07-08,0.00754,-0.03172
2010-07-09,0.00789,-0.02898
2010-07-12,0.00942,-0.02715
2010-07-13,0.01624,-0.02030
2010-07-14,0.01658,-0.02167
2010-07-15,0.02301,-0.01391
2010-07-16,0.01754,-0.02213
2010-07-19,0.01599,-0.02213
2010-07-20,0.01691,-0.01985
2010-07-21,0.01210,-0.02578
2010-07-22,0.02125,-0.01802
2010-07-23,0.02451,-0.01619
2010-07-26,0.02528,-0.01345
2010-07-27,0.02249,-0.01574
2010-07-28,0.02484,-0.01619
2010-07-29,0.02571,-0.01482
2010-07-30,0.02318,-0.01574
2010-08-02,0.02318,-0.01574
2010-08-03,0.03403,-0.00843
2010-08-04,0.03495,-0.01026
2010-08-05,0.03516,-0.01072
2010-08-06,0.04385,-0.00524
2010-08-09,0.04544,-0.00204
2010-08-10,0.04544,-0.00204
2010-08-11,0.03409,-0.01300
2010-08-12,0.03329,-0.01756
2010-08-13,0.03161,-0.01802
2010-08-16,0.03762,-0.01528
2010-08-17,0.03812,-0.01072
2010-08-18,0.03896,-0.00980
2010-08-19,0.03988,-0.01163
2010-08-20,0.04216,-0.01026
2010-08-23,0.04219,-0.00889
2010-08-24,0.03860,-0.01437
2010-08-25,0.04329,-0.01026
2010-08-26,0.04364,-0.01163
2010-08-27,0.05097,-0.00250
2010-08-30,0.05230,-0.00113
2010-08-31,0.05913,0.00298
2010-09-01,0.06247,0.00618
2010-09-02,0.06844,0.01120
2010-09-03,0.06979,0.00937
2010-09-06,0.06979,0.00937
2010-09-07,0.07252,0.00937
2010-09-08,0.06488,0.00481
2010-09-09,0.06175,0.00435
2010-09-10,0.06559,0.00572
2010-09-13,0.06793,0.00937
2010-09-14,0.07545,0.01120
2010-09-15,0.07215,0.00800
2010-09-16,0.07525,0.00800
2010-09-17,0.07916,0.00937
2010-09-20,0.08631,0.01485
2010-09-21,0.08534,0.01302
2010-09-22,0.08933,0.01394
2010-09-23,0.08776,0.01120
2010-09-24,0.09180,0.01713
2010-09-27,0.09184,0.01805
2010-09-28,0.09973,0.02352
2010-09-29,0.10377,0.02809
2010-09-30,0.10628,0.02425
2010-10-01,0.10536,0.02562
2010-10-04,0.09932,0.02288
2010-10-05,0.11445,0.03249
2010-10-06,0.11809,0.03294
2010-10-07,0.11610,0.03111
2010-10-08,0.11790,0.03615
2010-10-11,0.11790,0.03615
2010-10-12,0.11701,0.03706
2010-10-13,0.12466,0.04027
2010-10-14,0.12535,0.03935
2010-10-15,0.12497,0.03844
2010-10-18,0.12878,0.04118
2010-10-19,0.12062,0.03981
2010-10-20,0.12780,0.04256
2010-10-21,0.12476,0.04164
2010-10-22,0.12729,0.04164
2010-10-25,0.13053,0.04301
2010-10-26,0.13065,0.03981
2010-10-27,0.12472,0.03340
2010-10-28,0.13103,0.03340
2010-10-29,0.13659,0.03889
2010-11-01,0.13349,0.03752
2010-11-02,0.13531,0.03752
2010-11-03,0.13390,0.03706
2010-11-04,0.15523,0.04713
2010-11-05,0.15422,0.04851
2010-11-08,0.16345,0.05171
2010-11-09,0.15200,0.04439
2010-11-10,0.15147,0.04439
2010-11-11,0.15238,0.04439
2010-11-12,0.14209,0.03569
2010-11-15,0.13619,0.03249
2010-11-16,0.12588,0.02837
2010-11-17,0.13165,0.03020
2010-11-18,0.14535,0.03981
2010-11-19,0.14656,0.04073
2010-11-22,0.14823,0.04027
2010-11-23,0.13794,0.03157
2010-11-24,0.13695,0.03340
2010-11-25,0.13806,0.03523
2010-11-26,0.13813,0.03478
2010-11-29,0.13358,0.03386
2010-11-30,0.14296,0.03661
2010-12-01,0.15247,0.04347
