Date,Fund,benchmark
2002-03-04,0.00871,0.01330
2002-03-05,0.00591,0.01223
2002-03-06,0.01257,0.02074
2002-03-07,0.00998,0.02021
2002-03-08,0.00963,0.01862
2002-03-11,0.01051,0.01809
2002-03-12,0.00910,0.01543
2002-03-13,0.00771,0.01330
2002-03-14,0.00789,0.01170
2002-03-15,0.00991,0.01596
2002-03-18,0.01318,0.01755
2002-03-19,0.01369,0.01809
2002-03-20,0.00971,0.01117
2002-03-21,0.00803,0.01011
2002-03-22,0.00900,0.00745
2002-03-25,0.00919,-0.00053
2002-03-26,0.01127,0.00319
2002-03-27,0.02024,0.00904
2002-03-28,0.02266,0.01153
2002-03-29,0.02266,0.01153
2002-04-01,0.02905,0.01419
2002-04-02,0.02670,0.01206
2002-04-03,0.01690,0.00726
2002-04-04,0.01610,0.00300
2002-04-05,0.01296,0.00193
2002-04-08,0.01173,-0.00073
2002-04-09,0.00779,-0.00340
2002-04-10,0.01935,0.00193
2002-04-11,0.01304,-0.00979
2002-04-12,0.01685,-0.00606
2002-04-15,0.01635,-0.00286
2002-04-16,0.01620,0.00673
2002-04-17,0.02356,0.00620
2002-04-18,0.02179,0.00193
2002-04-19,0.02590,0.00513
2002-04-22,0.02367,-0.00233
2002-04-23,0.02303,-0.00659
2002-04-24,0.02456,-0.00766
2002-04-25,0.02404,-0.00979
2002-04-26,0.03234,-0.01619
2002-04-29,0.03117,-0.01832
2002-04-30,0.02662,-0.01246
2002-05-01,0.02973,-0.01086
2002-05-02,0.03037,-0.01086
2002-05-03,0.03927,-0.01192
2002-05-06,0.04302,-0.01832
2002-05-07,0.04066,-0.01992
2002-05-08,0.04298,-0.00713
2002-05-09,0.04416,-0.01512
2002-05-10,0.04587,-0.02205
2002-05-13,0.05628,-0.01672
2002-05-14,0.04460,-0.01086
2002-05-15,0.04404,-0.01246
2002-05-16,0.04823,-0.00926
2002-05-17,0.05303,-0.01032
2002-05-20,0.05303,-0.01032
2002-05-21,0.07094,-0.01725
2002-05-22,0.07451,-0.01832
2002-05-23,0.08737,-0.01299
2002-05-24,0.08667,-0.01779
2002-05-27,0.08245,-0.01725
2002-05-28,0.09062,-0.01938
2002-05-29,0.08920,-0.02205
2002-05-30,0.07961,-0.02365
2002-05-31,0.08159,-0.02152
2002-06-03,0.08690,-0.02738
2002-06-04,0.08621,-0.02951
2002-06-05,0.07312,-0.02791
2002-06-06,0.07547,-0.03537
2002-06-07,0.06466,-0.03644
2002-06-10,0.04992,-0.03644
2002-06-11,0.05706,-0.04017
2002-06-12,0.04951,-0.04177
2002-06-13,0.04070,-0.04656
2002-06-14,0.04944,-0.04656
2002-06-17,0.04413,-0.03697
2002-06-18,0.05136,-0.03910
2002-06-19,0.04699,-0.04710
2002-06-20,0.05573,-0.05349
2002-06-21,0.05287,-0.06042
2002-06-24,0.05444,-0.06202
2002-06-25,0.04935,-0.06415
2002-06-26,0.04229,-0.07055
2002-06-27,0.03423,-0.06522
2002-06-28,0.03789,-0.05799
2002-07-01,0.03789,-0.05799
2002-07-02,0.02713,-0.07082
2002-07-03,0.02395,-0.06814
2002-07-04,0.02394,-0.06761
2002-07-05,0.02352,-0.05799
2002-07-08,0.03157,-0.06119
2002-07-09,0.03719,-0.06761
2002-07-10,0.03114,-0.07777
2002-07-11,0.02776,-0.07990
2002-07-12,0.02702,-0.08097
2002-07-15,0.02072,-0.08953
2002-07-16,0.01292,-0.09167
2002-07-17,0.01258,-0.08846
2002-07-18,0.01348,-0.08846
2002-07-19,0.00527,-0.10664
2002-07-22,-0.00811,-0.11573
2002-07-23,-0.03133,-0.12909
2002-07-24,-0.02258,-0.11091
2002-07-25,-0.03106,-0.11626
2002-07-26,-0.04356,-0.11252
2002-07-29,-0.02894,-0.09701
2002-07-30,-0.01959,-0.09594
2002-07-31,-0.01337,-0.08953
2002-08-01,-0.01782,-0.09915
2002-08-02,-0.01044,-0.10236
2002-08-05,-0.01044,-0.10236
2002-08-06,-0.01533,-0.10503
2002-08-07,-0.00896,-0.10396
2002-08-08,-0.00415,-0.09060
2002-08-09,0.00454,-0.08846
2002-08-12,0.00245,-0.09327
2002-08-13,-0.00152,-0.09915
2002-08-14,-0.00309,-0.09381
2002-08-15,0.00334,-0.09220
2002-08-16,0.00222,-0.09113
2002-08-19,0.00076,-0.07777
2002-08-20,0.00357,-0.07830
2002-08-21,-0.00059,-0.07723
2002-08-22,0.00317,-0.07295
2002-08-23,-0.00388,-0.08365
2002-08-26,0.00535,-0.07616
2002-08-27,0.01113,-0.08258
2002-08-28,0.00717,-0.09060
2002-08-29,0.01648,-0.08846
2002-08-30,0.01614,-0.08686
2002-09-02,0.01614,-0.08686
2002-09-03,0.01082,-0.10343
2002-09-04,0.01388,-0.09541
2002-09-05,0.01892,-0.09808
2002-09-06,0.01848,-0.09648
2002-09-09,0.02372,-0.09327
2002-09-10,0.02169,-0.08792
2002-09-11,0.02652,-0.08365
2002-09-12,0.03103,-0.09434
2002-09-13,0.02960,-0.09648
2002-09-16,0.02982,-0.09701
2002-09-17,0.01912,-0.10771
2002-09-18,0.01859,-0.11252
2002-09-19,0.01383,-0.12481
2002-09-20,0.01159,-0.12321
2002-09-23,0.00933,-0.13230
2002-09-24,0.00545,-0.13604
2002-09-25,0.00186,-0.12856
2002-09-26,-0.00324,-0.12321
2002-09-27,-0.00583,-0.13069
2002-09-30,-0.00402,-0.12930
2002-10-01,0.00026,-0.12233
