Date,Fund,benchmark
2008-09-02,-0.00778,-0.01307
2008-09-03,-0.01835,-0.02067
2008-09-04,-0.03194,-0.03838
2008-09-05,-0.03296,-0.03838
2008-09-08,-0.03270,-0.03838
2008-09-09,-0.05239,-0.05947
2008-09-10,-0.04545,-0.04597
2008-09-11,-0.04220,-0.03754
2008-09-12,-0.03906,-0.03585
2008-09-15,-0.05773,-0.06158
2008-09-16,-0.05485,-0.05863
2008-09-17,-0.06471,-0.08393
2008-09-18,-0.05554,-0.07043
2008-09-19,-0.04011,-0.04218
2008-09-22,-0.05118,-0.06242
2008-09-23,-0.05711,-0.06959
2008-09-24,-0.05663,-0.07170
2008-09-25,-0.05786,-0.06664
2008-09-26,-0.06735,-0.08393
2008-09-29,-0.09926,-0.12990
2008-09-30,-0.09621,-0.10310
2008-10-01,-0.09735,-0.10733
2008-10-02,-0.11633,-0.13736
2008-10-03,-0.11551,-0.13862
2008-10-06,-0.12197,-0.15554
2008-10-07,-0.12922,-0.18133
2008-10-08,-0.12177,-0.17922
2008-10-09,-0.12993,-0.20205
2008-10-10,-0.14359,-0.21559
2008-10-13,-0.14359,-0.21559
2008-10-14,-0.13633,-0.17245
2008-10-15,-0.14700,-0.20713
2008-10-16,-0.15165,-0.19783
2008-10-17,-0.15772,-0.19233
2008-10-20,-0.14300,-0.15765
2008-10-21,-0.14597,-0.17711
2008-10-22,-0.14985,-0.20079
2008-10-23,-0.15071,-0.19571
2008-10-24,-0.14927,-0.20544
2008-10-27,-0.15878,-0.23377
2008-10-28,-0.14652,-0.19444
2008-10-29,-0.15475,-0.19402
2008-10-30,-0.14922,-0.17584
2008-10-31,-0.15771,-0.17964
2008-11-03,-0.16326,-0.18599
2008-11-04,-0.15873,-0.17034
2008-11-05,-0.16024,-0.18683
2008-11-06,-0.16662,-0.20671
2008-11-07,-0.16004,-0.19656
2008-11-10,-0.15787,-0.19444
2008-11-11,-0.16430,-0.20797
2008-11-12,-0.16480,-0.22700
2008-11-13,-0.16442,-0.20417
2008-11-14,-0.17117,-0.22108
2008-11-17,-0.17752,-0.23292
2008-11-18,-0.18095,-0.22785
2008-11-19,-0.18640,-0.24646
2008-11-20,-0.18657,-0.27479
2008-11-21,-0.18143,-0.25322
2008-11-24,-0.18477,-0.23927
2008-11-25,-0.18187,-0.23758
2008-11-26,-0.17440,-0.21981
2008-11-27,-0.17239,-0.21643
2008-11-28,-0.16682,-0.19825
2008-12-01,-0.17865,-0.23842
2008-12-02,-0.17031,-0.23292
2008-12-03,-0.17260,-0.23081
2008-12-04,-0.16883,-0.23927
2008-12-05,-0.17394,-0.23250
2008-12-08,-0.16805,-0.21432
2008-12-09,-0.16625,-0.21643
2008-12-10,-0.16142,-0.20501
2008-12-11,-0.16842,-0.22066
2008-12-12,-0.16333,-0.21432
2008-12-15,-0.16261,-0.22024
2008-12-16,-0.15694,-0.20332
2008-12-17,-0.15460,-0.20628
2008-12-18,-0.15634,-0.21474
2008-12-19,-0.15206,-0.20834
2008-12-22,-0.15632,-0.22361
2008-12-23,-0.15930,-0.22488
2008-12-24,-0.15352,-0.22488
2008-12-25,-0.15352,-0.22488
2008-12-26,-0.15352,-0.22488
2008-12-29,-0.14099,-0.21088
2008-12-30,-0.13509,-0.19900
2008-12-31,-0.13509,-0.18967
2009-01-01,-0.13509,-0.18967
2009-01-02,-0.14048,-0.17864
2009-01-05,-0.14520,-0.17991
2009-01-06,-0.13805,-0.17185
2009-01-07,-0.13146,-0.18500
2009-01-08,-0.13619,-0.18543
2009-01-09,-0.13287,-0.19222
2009-01-12,-0.12742,-0.20240
2009-01-13,-0.12718,-0.19688
2009-01-14,-0.12384,-0.20749
2009-01-15,-0.12689,-0.20113
2009-01-16,-0.12889,-0.19985
2009-01-19,-0.13106,-0.20282
2009-01-20,-0.13313,-0.22488
2009-01-21,-0.13595,-0.21088
2009-01-22,-0.14122,-0.22319
2009-01-23,-0.14812,-0.22319
2009-01-26,-0.14803,-0.22107
2009-01-27,-0.14579,-0.21470
2009-01-28,-0.14677,-0.20325
2009-01-29,-0.14867,-0.21810
2009-01-30,-0.14980,-0.22446
