Date,Fund,benchmark
2015-08-18,-0.00514,-0.00275
2015-08-19,-0.00224,-0.00707
2015-08-20,-0.00809,-0.02081
2015-08-21,-0.01791,-0.03337
2015-08-24,-0.03574,-0.05379
2015-08-25,-0.03735,-0.05065
2015-08-26,-0.03632,-0.03965
2015-08-27,-0.02611,-0.02631
2015-08-28,-0.02087,-0.02434
2015-08-31,-0.02711,-0.02748
2015-09-01,-0.03780,-0.04358
2015-09-02,-0.03236,-0.03848
2015-09-03,-0.03643,-0.03808
2015-09-04,-0.03858,-0.04437
2015-09-07,-0.03858,-0.04437
2015-09-08,-0.03265,-0.03651
2015-09-09,-0.03673,-0.03926
2015-09-10,-0.03624,-0.03848
2015-09-11,-0.03466,-0.04044
2015-09-14,-0.03748,-0.04437
2015-09-15,-0.03645,-0.04162
2015-09-16,-0.02835,-0.03102
2015-09-17,-0.02269,-0.02945
2015-09-18,-0.02702,-0.03730
2015-09-21,-0.02839,-0.03141
2015-09-22,-0.04070,-0.04122
2015-09-23,-0.03999,-0.04358
2015-09-24,-0.03638,-0.04476
2015-09-25,-0.03673,-0.04122
2015-09-28,-0.04843,-0.05104
2015-09-29,-0.04775,-0.04908
2015-09-30,-0.04384,-0.04039
2015-10-01,-0.04954,-0.04393
2015-10-02,-0.03876,-0.03882
2015-10-05,-0.03065,-0.02939
2015-10-06,-0.02676,-0.02742
2015-10-07,-0.02034,-0.01995
2015-10-08,-0.01989,-0.01602
2015-10-09,-0.01722,-0.01877
2015-10-12,-0.01722,-0.01877
2015-10-13,-0.01963,-0.02034
2015-10-14,-0.01487,-0.02270
2015-10-15,-0.01524,-0.02192
2015-10-16,-0.01504,-0.01877
2015-10-19,-0.01743,-0.01838
2015-10-20,-0.01438,-0.01563
2015-10-21,-0.01182,-0.01327
2015-10-22,-0.00593,-0.00383
2015-10-23,0.00267,0.00167
2015-10-26,-0.00331,-0.00226
2015-10-27,-0.00106,-0.00265
2015-10-28,-0.00227,0.00246
2015-10-29,-0.01195,-0.00069
2015-10-30,-0.01907,-0.00934
2015-11-02,-0.01524,-0.00540
2015-11-03,-0.01701,-0.00344
2015-11-04,-0.01840,-0.00344
2015-11-05,-0.02361,-0.00737
2015-11-06,-0.02691,-0.00816
2015-11-09,-0.02889,-0.01484
2015-11-10,-0.03202,-0.01563
2015-11-11,-0.03050,-0.01720
2015-11-12,-0.03826,-0.02703
2015-11-13,-0.03925,-0.03056
2015-11-16,-0.03271,-0.01916
2015-11-17,-0.03687,-0.01877
2015-11-18,-0.02837,-0.01248
2015-11-19,-0.02450,-0.01052
2015-11-20,-0.02717,-0.01130
2015-11-23,-0.02854,-0.01248
2015-11-24,-0.02784,-0.01366
2015-11-25,-0.02775,-0.01327
2015-11-26,-0.02501,-0.01209
2015-11-27,-0.02626,-0.01248
2015-11-30,-0.02463,-0.01091
2015-12-01,-0.01499,-0.00187
