Date,Fund,benchmark
2011-07-04,0.00345,0.00447
2011-07-05,0.00703,0.00536
2011-07-06,0.01076,0.00536
2011-07-07,0.01069,0.00536
2011-07-08,0.01077,0.00581
2011-07-11,0.00495,-0.00089
2011-07-12,0.00693,-0.00223
2011-07-13,0.01262,0.00089
2011-07-14,0.00833,-0.00268
2011-07-15,0.00818,-0.00045
2011-07-18,0.00924,-0.00402
2011-07-19,0.00623,-0.00045
2011-07-20,0.00587,-0.00134
2011-07-21,0.00936,0.00223
2011-07-22,0.01632,0.00626
2011-07-25,0.01211,0.00313
2011-07-26,0.01006,-0.00134
2011-07-27,0.00078,-0.01251
2011-07-28,0.00041,-0.01072
2011-07-29,0.00005,-0.01206
2011-08-01,0.00005,-0.01206
2011-08-02,-0.00498,-0.02055
2011-08-03,-0.00286,-0.01698
2011-08-04,-0.02412,-0.03485
2011-08-05,-0.03184,-0.04513
2011-08-08,-0.04996,-0.06836
2011-08-09,-0.03346,-0.04424
2011-08-10,-0.03305,-0.04781
2011-08-11,-0.02413,-0.03217
2011-08-12,-0.02082,-0.02994
2011-08-15,-0.01429,-0.02502
2011-08-16,-0.01801,-0.03172
2011-08-17,-0.01482,-0.02815
2011-08-18,-0.03000,-0.04781
2011-08-19,-0.03365,-0.05764
2011-08-22,-0.02778,-0.05585
2011-08-23,-0.02338,-0.04111
2011-08-24,-0.02854,-0.04155
2011-08-25,-0.03075,-0.04647
2011-08-26,-0.02588,-0.04334
2011-08-29,-0.02120,-0.03485
2011-08-30,-0.01505,-0.02994
2011-08-31,-0.00964,-0.02502
2011-09-01,-0.01386,-0.02815
2011-09-02,-0.01337,-0.03262
2011-09-05,-0.01337,-0.03262
2011-09-06,-0.01945,-0.03798
2011-09-07,-0.00964,-0.02770
2011-09-08,-0.00860,-0.02994
2011-09-09,-0.01689,-0.04066
2011-09-12,-0.02814,-0.05228
2011-09-13,-0.02753,-0.05049
2011-09-14,-0.02284,-0.04468
2011-09-15,-0.02094,-0.04021
2011-09-16,-0.02188,-0.04558
2011-09-19,-0.02316,-0.04870
2011-09-20,-0.01690,-0.04736
2011-09-21,-0.02468,-0.05809
2011-09-22,-0.03870,-0.07149
2011-09-23,-0.04488,-0.07328
2011-09-26,-0.04033,-0.06211
2011-09-27,-0.03669,-0.05764
2011-09-28,-0.04463,-0.06613
2011-09-29,-0.03969,-0.05898
2011-09-30,-0.03800,-0.06285
2011-10-03,-0.05313,-0.07893
2011-10-04,-0.05480,-0.07715
2011-10-05,-0.04854,-0.06910
2011-10-06,-0.03291,-0.05525
2011-10-07,-0.04023,-0.06374
2011-10-10,-0.04023,-0.06374
2011-10-11,-0.02665,-0.05123
2011-10-12,-0.02449,-0.04631
2011-10-13,-0.02701,-0.04855
2011-10-14,-0.02224,-0.04274
2011-10-17,-0.02717,-0.04810
2011-10-18,-0.02393,-0.04408
2011-10-19,-0.03352,-0.05257
2011-10-20,-0.03746,-0.05346
2011-10-21,-0.03026,-0.04720
2011-10-24,-0.02088,-0.03782
2011-10-25,-0.01510,-0.03961
2011-10-26,-0.01601,-0.03827
2011-10-27,-0.00296,-0.02441
2011-10-28,-0.00007,-0.02128
2011-10-31,-0.01636,-0.03469
2011-11-01,-0.01523,-0.03916
2011-11-02,-0.00957,-0.03201
2011-11-03,0.00014,-0.01994
2011-11-04,0.00152,-0.02039
2011-11-07,0.00427,-0.01771
2011-11-08,0.00560,-0.01547
2011-11-09,-0.00875,-0.03156
2011-11-10,-0.01058,-0.03290
2011-11-11,-0.00107,-0.02441
2011-11-14,-0.00454,-0.02709
2011-11-15,-0.00346,-0.02620
2011-11-16,-0.00995,-0.02978
2011-11-17,-0.02067,-0.04184
2011-11-18,-0.02369,-0.04363
2011-11-21,-0.03015,-0.04855
2011-11-22,-0.02909,-0.04899
2011-11-23,-0.03899,-0.05748
2011-11-24,-0.04164,-0.06061
2011-11-25,-0.04427,-0.06374
2011-11-28,-0.03650,-0.05436
2011-11-29,-0.03569,-0.05212
2011-11-30,-0.01361,-0.03067
2011-12-01,-0.01807,-0.03603
2011-12-02,-0.01772,-0.03559
2011-12-05,-0.01489,-0.03335
2011-12-06,-0.01913,-0.03648
2011-12-07,-0.01549,-0.03156
2011-12-08,-0.02179,-0.03827
2011-12-09,-0.01699,-0.03424
2011-12-12,-0.02612,-0.04139
2011-12-13,-0.03242,-0.04586
2011-12-14,-0.04062,-0.05301
2011-12-15,-0.04285,-0.05436
2011-12-16,-0.03691,-0.04899
2011-12-19,-0.04324,-0.08573
2011-12-20,-0.03195,-0.07897
2011-12-21,-0.03511,-0.07987
2011-12-22,-0.03505,-0.07446
2011-12-23,-0.03215,-0.07266
2011-12-26,-0.03215,-0.07266
2011-12-27,-0.03215,-0.07266
2011-12-28,-0.04042,-0.07852
2011-12-29,-0.03405,-0.07311
2011-12-30,-0.03405,-0.06950
2012-01-02,-0.03405,-0.06950
2012-01-03,-0.02263,-0.06049
2012-01-04,-0.02267,-0.05958
2012-01-05,-0.02085,-0.05913
2012-01-06,-0.01923,-0.05913
2012-01-09,-0.01955,-0.05958
2012-01-10,-0.01514,-0.05688
2012-01-11,-0.01429,-0.05688
2012-01-12,-0.01270,-0.05643
2012-01-13,-0.01388,-0.05643
2012-01-16,-0.01576,-0.05688
2012-01-17,-0.01659,-0.05733
2012-01-18,-0.01322,-0.05282
2012-01-19,-0.01155,-0.04922
2012-01-20,-0.00968,-0.04922
2012-01-23,-0.00880,-0.04651
2012-01-24,-0.01235,-0.05057
2012-01-25,-0.00324,-0.04606
2012-01-26,-0.00187,-0.04922
2012-01-27,0.00163,-0.04922
2012-01-30,-0.00130,-0.05057
2012-01-31,-0.00034,-0.04922
2012-02-01,0.00397,-0.04516
