Date,Fund,benchmark
2016-06-02,0.00406,0.00398
2016-06-03,0.01818,0.00478
2016-06-06,0.01549,0.00318
2016-06-07,0.01506,0.00836
2016-06-08,0.01760,0.00597
2016-06-09,0.01926,0.00279
2016-06-10,0.01280,-0.00597
2016-06-13,0.00980,-0.00916
2016-06-14,0.00356,-0.01314
2016-06-15,0.01466,-0.00955
2016-06-16,0.01231,-0.01035
2016-06-17,0.00950,-0.01075
2016-06-20,0.01427,-0.00677
2016-06-21,0.00932,-0.00637
2016-06-22,0.01449,-0.00557
2016-06-23,0.01646,-0.00040
2016-06-24,0.01738,-0.01592
2016-06-27,0.01545,-0.02189
2016-06-28,0.02080,-0.01274
2016-06-29,0.02849,-0.00518
2016-06-30,0.03157,0.00018
2016-07-01,0.03157,0.00018
