Date,Fund,benchmark
2010-01-04,0.00822,0.00682
2010-01-05,0.01060,0.00864
2010-01-06,0.01257,0.00727
2010-01-07,0.01285,0.00500
2010-01-08,0.01678,0.00864
2010-01-11,0.02194,0.00955
2010-01-12,0.01705,0.00682
2010-01-13,0.01630,0.00682
2010-01-14,0.01281,0.00409
2010-01-15,0.00955,-0.00045
2010-01-18,0.01144,0.00227
2010-01-19,0.01558,0.00545
2010-01-20,0.01182,0.00500
2010-01-21,0.00091,-0.00318
2010-01-22,-0.00415,-0.01136
2010-01-25,-0.00321,-0.00909
2010-01-26,-0.00258,-0.00864
2010-01-27,-0.00530,-0.00818
2010-01-28,-0.00947,-0.01182
2010-01-29,-0.01766,-0.01955
2010-02-01,-0.00774,-0.01136
2010-02-02,-0.00310,-0.00591
2010-02-03,-0.00537,-0.00682
2010-02-04,-0.02094,-0.01909
2010-02-05,-0.01829,-0.01864
2010-02-08,-0.02346,-0.02136
2010-02-09,-0.01515,-0.01591
2010-02-10,-0.01970,-0.01727
2010-02-11,-0.01696,-0.01455
2010-02-12,-0.01805,-0.01364
2010-02-15,-0.01805,-0.01364
2010-02-16,-0.01060,-0.00818
2010-02-17,-0.00909,-0.00636
2010-02-18,-0.00708,-0.00500
2010-02-19,-0.00931,-0.00455
2010-02-22,-0.00888,-0.00636
2010-02-23,-0.01012,-0.00727
2010-02-24,-0.00943,-0.00636
2010-02-25,-0.00381,-0.00182
2010-02-26,-0.00350,-0.00364
2010-03-01,-0.00217,-0.00273
2010-03-02,0.00116,0.00000
2010-03-03,0.00258,-0.00091
2010-03-04,-0.00138,-0.00182
2010-03-05,0.00603,0.00636
2010-03-08,0.00333,0.00591
2010-03-09,0.00199,0.00455
2010-03-10,0.00237,0.00682
2010-03-11,0.00371,0.00864
2010-03-12,0.00227,0.00955
2010-03-15,0.00152,0.00909
2010-03-16,0.00692,0.01227
2010-03-17,0.00763,0.01136
2010-03-18,0.00606,0.00955
2010-03-19,0.00249,0.00409
2010-03-22,0.00532,0.00727
2010-03-23,0.00729,0.01000
2010-03-24,0.00220,0.00682
2010-03-25,0.00031,0.00682
2010-03-26,0.00484,0.00773
2010-03-29,0.00729,0.01000
2010-03-30,0.00489,0.01091
2010-03-31,0.00746,0.00987
2010-04-01,0.01225,0.01123
2010-04-02,0.01225,0.01123
2010-04-05,0.01191,0.00987
2010-04-06,0.01153,0.00850
2010-04-07,0.01648,0.00577
2010-04-08,0.01485,0.00395
2010-04-09,0.02209,0.00896
2010-04-12,0.02152,0.00850
2010-04-13,0.01849,0.00668
2010-04-14,0.02441,0.01032
2010-04-15,0.02660,0.01214
2010-04-16,0.02305,0.00532
2010-04-19,0.02327,0.00668
2010-04-20,0.01672,0.00395
2010-04-21,0.01786,0.00304
2010-04-22,0.01659,0.00168
2010-04-23,0.02211,0.00532
2010-04-26,0.02511,0.00759
2010-04-27,0.02352,0.00122
