Date,Fund,benchmark
2002-03-04,0.00570,0.01330
2002-03-05,0.00334,0.01223
2002-03-06,0.00872,0.02074
2002-03-07,0.00537,0.02021
2002-03-08,0.00434,0.01862
2002-03-11,0.00535,0.01809
2002-03-12,0.00479,0.01543
2002-03-13,0.00397,0.01330
2002-03-14,0.00355,0.01170
2002-03-15,0.00470,0.01596
2002-03-18,0.00750,0.01755
2002-03-19,0.00765,0.01809
2002-03-20,0.00466,0.01117
2002-03-21,0.00307,0.01011
2002-03-22,0.00435,0.00745
2002-03-25,0.00600,-0.00053
2002-03-26,0.00778,0.00319
2002-03-27,0.01578,0.00904
2002-03-28,0.01746,0.01153
2002-03-29,0.01746,0.01153
2002-04-01,0.02203,0.01419
2002-04-02,0.02043,0.01206
2002-04-03,0.01450,0.00726
2002-04-04,0.01381,0.00300
2002-04-05,0.01166,0.00193
2002-04-08,0.01056,-0.00073
2002-04-09,0.00810,-0.00340
2002-04-10,0.01592,0.00193
2002-04-11,0.00900,-0.00979
2002-04-12,0.01166,-0.00606
2002-04-15,0.01304,-0.00286
2002-04-16,0.01433,0.00673
2002-04-17,0.01781,0.00620
2002-04-18,0.01698,0.00193
2002-04-19,0.01947,0.00513
2002-04-22,0.01658,-0.00233
2002-04-23,0.01473,-0.00659
2002-04-24,0.01429,-0.00766
2002-04-25,0.01360,-0.00979
2002-04-26,0.01593,-0.01619
2002-04-29,0.01501,-0.01832
2002-04-30,0.01429,-0.01246
2002-05-01,0.01544,-0.01086
2002-05-02,0.01533,-0.01086
2002-05-03,0.02102,-0.01192
2002-05-06,0.02155,-0.01832
2002-05-07,0.01949,-0.01992
2002-05-08,0.02416,-0.00713
2002-05-09,0.02284,-0.01512
2002-05-10,0.02038,-0.02205
2002-05-13,0.02703,-0.01672
2002-05-14,0.02165,-0.01086
2002-05-15,0.02220,-0.01246
2002-05-16,0.02521,-0.00926
2002-05-17,0.02740,-0.01032
2002-05-20,0.02740,-0.01032
2002-05-21,0.03396,-0.01725
2002-05-22,0.03577,-0.01832
2002-05-23,0.04261,-0.01299
2002-05-24,0.04104,-0.01779
2002-05-27,0.03894,-0.01725
2002-05-28,0.04209,-0.01938
2002-05-29,0.04186,-0.02205
2002-05-30,0.03747,-0.02365
2002-05-31,0.03768,-0.02152
2002-06-03,0.03863,-0.02738
2002-06-04,0.03726,-0.02951
2002-06-05,0.03134,-0.02791
2002-06-06,0.03059,-0.03537
2002-06-07,0.02548,-0.03644
2002-06-10,0.01939,-0.03644
2002-06-11,0.02165,-0.04017
2002-06-12,0.01713,-0.04177
2002-06-13,0.01185,-0.04656
2002-06-14,0.01683,-0.04656
2002-06-17,0.01697,-0.03697
2002-06-18,0.02040,-0.03910
2002-06-19,0.01578,-0.04710
2002-06-20,0.01709,-0.05349
2002-06-21,0.01336,-0.06042
2002-06-24,0.01270,-0.06202
2002-06-25,0.01014,-0.06415
2002-06-26,0.00561,-0.07055
2002-06-27,0.00189,-0.06522
2002-06-28,0.00589,-0.05799
2002-07-01,0.00589,-0.05799
2002-07-02,-0.00428,-0.07082
2002-07-03,-0.00590,-0.06814
2002-07-04,-0.00539,-0.06761
2002-07-05,-0.00301,-0.05799
2002-07-08,0.00087,-0.06119
2002-07-09,0.00172,-0.06761
2002-07-10,-0.00563,-0.07777
2002-07-11,-0.00804,-0.07990
2002-07-12,-0.00806,-0.08097
2002-07-15,-0.01288,-0.08953
2002-07-16,-0.01861,-0.09167
2002-07-17,-0.01607,-0.08846
2002-07-18,-0.01540,-0.08846
2002-07-19,-0.02624,-0.10664
2002-07-22,-0.03643,-0.11573
2002-07-23,-0.05070,-0.12909
2002-07-24,-0.04173,-0.11091
2002-07-25,-0.04699,-0.11626
2002-07-26,-0.05254,-0.11252
2002-07-29,-0.04046,-0.09701
2002-07-30,-0.03463,-0.09594
2002-07-31,-0.02761,-0.08953
2002-08-01,-0.03297,-0.09915
2002-08-02,-0.02914,-0.10236
2002-08-05,-0.02914,-0.10236
2002-08-06,-0.03368,-0.10503
2002-08-07,-0.02970,-0.10396
2002-08-08,-0.02306,-0.09060
2002-08-09,-0.01811,-0.08846
2002-08-12,-0.02049,-0.09327
2002-08-13,-0.02449,-0.09915
2002-08-14,-0.02367,-0.09381
2002-08-15,-0.01959,-0.09220
2002-08-16,-0.01965,-0.09113
2002-08-19,-0.01703,-0.07777
2002-08-20,-0.01531,-0.07830
2002-08-21,-0.01782,-0.07723
2002-08-22,-0.01533,-0.07295
2002-08-23,-0.02114,-0.08365
2002-08-26,-0.01448,-0.07616
2002-08-27,-0.01253,-0.08258
2002-08-28,-0.01701,-0.09060
2002-08-29,-0.01171,-0.08846
2002-08-30,-0.01190,-0.08686
2002-09-02,-0.01190,-0.08686
2002-09-03,-0.01986,-0.10343
2002-09-04,-0.01557,-0.09541
2002-09-05,-0.01375,-0.09808
2002-09-06,-0.01383,-0.09648
2002-09-09,-0.01098,-0.09327
2002-09-10,-0.01008,-0.08792
2002-09-11,-0.00607,-0.08365
2002-09-12,-0.00559,-0.09434
2002-09-13,-0.00639,-0.09648
2002-09-16,-0.00744,-0.09701
2002-09-17,-0.01586,-0.10771
2002-09-18,-0.01735,-0.11252
2002-09-19,-0.02440,-0.12481
2002-09-20,-0.02624,-0.12321
2002-09-23,-0.02719,-0.13230
2002-09-24,-0.03281,-0.13604
2002-09-25,-0.03300,-0.12856
2002-09-26,-0.03345,-0.12321
2002-09-27,-0.03662,-0.13069
2002-09-30,-0.03469,-0.12930
2002-10-01,-0.03235,-0.12233
