Date,Fund,benchmark
2008-09-02,-0.00919,-0.01307
2008-09-03,-0.02088,-0.02067
2008-09-04,-0.03624,-0.03838
2008-09-05,-0.03749,-0.03838
2008-09-08,-0.03736,-0.03838
2008-09-09,-0.05987,-0.05947
2008-09-10,-0.05212,-0.04597
2008-09-11,-0.04885,-0.03754
2008-09-12,-0.04406,-0.03585
2008-09-15,-0.06532,-0.06158
2008-09-16,-0.06155,-0.05863
2008-09-17,-0.07140,-0.08393
2008-09-18,-0.06101,-0.07043
2008-09-19,-0.04296,-0.04218
2008-09-22,-0.05421,-0.06242
2008-09-23,-0.06096,-0.06959
2008-09-24,-0.06011,-0.07170
2008-09-25,-0.06113,-0.06664
2008-09-26,-0.07106,-0.08393
2008-09-29,-0.10658,-0.12990
2008-09-30,-0.10420,-0.10310
2008-10-01,-0.10561,-0.10733
2008-10-02,-0.14154,-0.13736
2008-10-03,-0.14099,-0.13862
2008-10-06,-0.16157,-0.15554
2008-10-07,-0.17816,-0.18133
2008-10-08,-0.16455,-0.17922
2008-10-09,-0.18339,-0.20205
2008-10-10,-0.20157,-0.21559
2008-10-13,-0.20157,-0.21559
2008-10-14,-0.17227,-0.17245
2008-10-15,-0.20383,-0.20713
2008-10-16,-0.20362,-0.19783
2008-10-17,-0.20968,-0.19233
2008-10-20,-0.17917,-0.15765
2008-10-21,-0.19368,-0.17711
2008-10-22,-0.21541,-0.20079
2008-10-23,-0.21459,-0.19571
2008-10-24,-0.21764,-0.20544
2008-10-27,-0.23957,-0.23377
2008-10-28,-0.20255,-0.19444
2008-10-29,-0.20847,-0.19402
2008-10-30,-0.19515,-0.17584
2008-10-31,-0.20247,-0.17964
2008-11-03,-0.20956,-0.18599
2008-11-04,-0.19341,-0.17034
2008-11-05,-0.20530,-0.18683
2008-11-06,-0.22270,-0.20671
2008-11-07,-0.20910,-0.19656
2008-11-10,-0.20592,-0.19444
2008-11-11,-0.21942,-0.20797
2008-11-12,-0.23286,-0.22700
2008-11-13,-0.21542,-0.20417
2008-11-14,-0.23122,-0.22108
2008-11-17,-0.24326,-0.23292
2008-11-18,-0.24398,-0.22785
2008-11-19,-0.25969,-0.24646
2008-11-20,-0.27134,-0.27479
2008-11-21,-0.24668,-0.25322
2008-11-24,-0.23893,-0.23927
2008-11-25,-0.23825,-0.23758
2008-11-26,-0.22390,-0.21981
2008-11-27,-0.22026,-0.21643
2008-11-28,-0.20832,-0.19825
2008-12-01,-0.24536,-0.23842
2008-12-02,-0.22991,-0.23292
2008-12-03,-0.23068,-0.23081
2008-12-04,-0.23349,-0.23927
2008-12-05,-0.23363,-0.23250
2008-12-08,-0.21726,-0.21432
2008-12-09,-0.21841,-0.21643
2008-12-10,-0.20512,-0.20501
2008-12-11,-0.21823,-0.22066
2008-12-12,-0.20928,-0.21432
2008-12-15,-0.20874,-0.22024
2008-12-16,-0.19548,-0.20332
2008-12-17,-0.19813,-0.20628
2008-12-18,-0.20707,-0.21474
2008-12-19,-0.20086,-0.20834
2008-12-22,-0.21149,-0.22361
2008-12-23,-0.21266,-0.22488
2008-12-24,-0.20876,-0.22488
2008-12-25,-0.20876,-0.22488
2008-12-26,-0.20876,-0.22488
2008-12-29,-0.18945,-0.21088
2008-12-30,-0.18006,-0.19900
2008-12-31,-0.18006,-0.18967
2009-01-01,-0.18006,-0.18967
2009-01-02,-0.17740,-0.17864
2009-01-05,-0.19224,-0.17991
2009-01-06,-0.18216,-0.17185
2009-01-07,-0.19088,-0.18500
2009-01-08,-0.19125,-0.18543
2009-01-09,-0.19509,-0.19222
2009-01-12,-0.20158,-0.20240
2009-01-13,-0.19626,-0.19688
2009-01-14,-0.20446,-0.20749
2009-01-15,-0.19978,-0.20113
2009-01-16,-0.19398,-0.19985
2009-01-19,-0.19686,-0.20282
2009-01-20,-0.20785,-0.22488
2009-01-21,-0.20024,-0.21088
2009-01-22,-0.21152,-0.22319
2009-01-23,-0.21100,-0.22319
2009-01-26,-0.20925,-0.22107
2009-01-27,-0.20545,-0.21470
2009-01-28,-0.20291,-0.20325
2009-01-29,-0.20351,-0.21810
2009-01-30,-0.20720,-0.22446
