Date,Fund,benchmark
2001-09-04,-0.01190,-0.02512
2001-09-05,-0.00494,-0.01020
2001-09-06,-0.00649,-0.01805
2001-09-07,-0.00035,-0.00785
2001-09-10,0.00065,-0.00549
2001-09-11,0.00065,-0.00549
2001-09-12,0.00065,-0.00549
2001-09-13,0.00365,-0.00549
2001-09-14,0.00484,-0.00549
2001-09-17,0.01989,0.02983
2001-09-18,0.02196,0.03611
2001-09-19,0.02650,0.04396
2001-09-20,0.02357,0.03846
2001-09-21,0.02156,0.03375
2001-09-24,0.01320,0.01413
2001-09-25,0.01213,0.01020
2001-09-26,0.02283,0.03532
2001-09-27,0.02276,0.03375
2001-09-28,0.02826,6.61850
2001-10-01,0.03017,6.65863
2001-10-02,0.02823,6.67009
2001-10-03,0.02702,6.57837
2001-10-04,0.02154,6.51532
2001-10-05,0.03229,6.71595
2001-10-08,0.03229,6.71595
2001-10-09,0.02255,6.54971
2001-10-10,0.01181,6.34907
2001-10-11,-0.00096,6.21149
2001-10-12,0.00824,6.36627
2001-10-15,0.00320,6.28602
2001-10-16,0.01004,6.37774
2001-10-17,0.01607,6.45226
2001-10-18,0.01551,6.40067
2001-10-19,0.00982,6.32041
2001-10-22,0.00198,6.19430
2001-10-23,-0.00370,6.20576
2001-10-24,0.00359,6.28028
2001-10-25,0.01025,6.31468
2001-10-26,0.00721,6.30321
2001-10-29,0.01275,6.27455
2001-10-30,0.02201,6.37774
2001-10-31,0.02410,6.39493
2001-11-01,0.03440,6.48092
2001-11-02,0.04020,6.62997
2001-11-05,0.03552,6.54398
2001-11-06,0.03470,6.48665
2001-11-07,0.03959,6.54971
2001-11-08,0.03066,6.40067
2001-11-09,0.03704,6.46946
2001-11-12,0.03704,6.46946
2001-11-13,0.02746,6.45226
2001-11-14,0.02285,6.43506
2001-11-15,0.01070,6.33761
2001-11-16,0.00705,6.27455
2001-11-19,-0.00426,6.11404
2001-11-20,-0.00044,6.10258
2001-11-21,-0.00062,6.12551
2001-11-22,-0.00079,6.14844
2001-11-23,-0.00430,6.11404
2001-11-26,-0.00206,6.10831
2001-11-27,0.00178,6.22869
2001-11-28,0.00142,6.23442
2001-11-29,-0.00224,6.18283
2001-11-30,0.00282,6.26309
