Date,Fund,benchmark
2011-07-04,0.00821,0.00447
2011-07-05,0.01032,0.00536
2011-07-06,0.01124,0.00536
2011-07-07,0.01275,0.00536
2011-07-08,0.00956,0.00581
2011-07-11,-0.00233,-0.00089
2011-07-12,-0.00324,-0.00223
2011-07-13,-0.00093,0.00089
2011-07-14,-0.00652,-0.00268
2011-07-15,-0.00498,-0.00045
2011-07-18,-0.00853,-0.00402
2011-07-19,-0.00200,-0.00045
2011-07-20,-0.00361,-0.00134
2011-07-21,0.00493,0.00223
2011-07-22,0.00993,0.00626
2011-07-25,0.00353,0.00313
2011-07-26,-0.00476,-0.00134
2011-07-27,-0.02128,-0.01251
2011-07-28,-0.02090,-0.01072
2011-07-29,-0.02571,-0.01206
2011-08-01,-0.02571,-0.01206
2011-08-02,-0.04348,-0.02055
2011-08-03,-0.03769,-0.01698
2011-08-04,-0.06776,-0.03485
2011-08-05,-0.07762,-0.04513
2011-08-08,-0.11899,-0.06836
2011-08-09,-0.08798,-0.04424
2011-08-10,-0.09553,-0.04781
2011-08-11,-0.06674,-0.03217
2011-08-12,-0.06359,-0.02994
2011-08-15,-0.05366,-0.02502
2011-08-16,-0.06297,-0.03172
2011-08-17,-0.06098,-0.02815
2011-08-18,-0.09123,-0.04781
2011-08-19,-0.10367,-0.05764
2011-08-22,-0.10077,-0.05585
2011-08-23,-0.07781,-0.04111
2011-08-24,-0.07310,-0.04155
2011-08-25,-0.08136,-0.04647
2011-08-26,-0.07555,-0.04334
2011-08-29,-0.05967,-0.03485
2011-08-30,-0.05281,-0.02994
2011-08-31,-0.04542,-0.02502
2011-09-01,-0.05404,-0.02815
2011-09-02,-0.06467,-0.03262
2011-09-05,-0.06467,-0.03262
2011-09-06,-0.06861,-0.03798
2011-09-07,-0.05070,-0.02770
2011-09-08,-0.05560,-0.02994
2011-09-09,-0.07450,-0.04066
2011-09-12,-0.08307,-0.05228
2011-09-13,-0.07945,-0.05049
2011-09-14,-0.06835,-0.04468
2011-09-15,-0.05920,-0.04021
2011-09-16,-0.06495,-0.04558
2011-09-19,-0.06809,-0.04870
2011-09-20,-0.06541,-0.04736
2011-09-21,-0.08252,-0.05809
2011-09-22,-0.10243,-0.07149
2011-09-23,-0.10311,-0.07328
2011-09-26,-0.08459,-0.06211
2011-09-27,-0.07899,-0.05764
2011-09-28,-0.09148,-0.06613
2011-09-29,-0.08260,-0.05898
2011-09-30,-0.08260,-0.06285
2011-10-03,-0.09342,-0.07893
2011-10-04,-0.07949,-0.07715
2011-10-05,-0.08381,-0.06910
2011-10-06,-0.07706,-0.05525
2011-10-07,-0.08151,-0.06374
2011-10-10,-0.08151,-0.06374
2011-10-11,-0.07162,-0.05123
2011-10-12,-0.07742,-0.04631
2011-10-13,-0.07523,-0.04855
2011-10-14,-0.07516,-0.04274
2011-10-17,-0.07411,-0.04810
2011-10-18,-0.07035,-0.04408
2011-10-19,-0.07170,-0.05257
2011-10-20,-0.07439,-0.05346
2011-10-21,-0.06863,-0.04720
2011-10-24,-0.06616,-0.03782
2011-10-25,-0.06354,-0.03961
2011-10-26,-0.06866,-0.03827
2011-10-27,-0.06309,-0.02441
2011-10-28,-0.06149,-0.02128
2011-10-31,-0.07416,-0.03469
2011-11-01,-0.06751,-0.03916
2011-11-02,-0.06359,-0.03201
2011-11-03,-0.05868,-0.01994
2011-11-04,-0.05394,-0.02039
2011-11-07,-0.05320,-0.01771
2011-11-08,-0.05025,-0.01547
2011-11-09,-0.05908,-0.03156
2011-11-10,-0.05893,-0.03290
2011-11-11,-0.05337,-0.02441
2011-11-14,-0.05329,-0.02709
2011-11-15,-0.04765,-0.02620
2011-11-16,-0.05481,-0.02978
2011-11-17,-0.05897,-0.04184
2011-11-18,-0.06125,-0.04363
2011-11-21,-0.06133,-0.04855
2011-11-22,-0.06323,-0.04899
2011-11-23,-0.06763,-0.05748
2011-11-24,-0.06879,-0.06061
2011-11-25,-0.07145,-0.06374
2011-11-28,-0.06918,-0.05436
2011-11-29,-0.07282,-0.05212
2011-11-30,-0.05794,-0.03067
2011-12-01,-0.06375,-0.03603
2011-12-02,-0.06028,-0.03559
2011-12-05,-0.05532,-0.03335
2011-12-06,-0.06196,-0.03648
2011-12-07,-0.05876,-0.03156
2011-12-08,-0.05842,-0.03827
2011-12-09,-0.05351,-0.03424
2011-12-12,-0.05646,-0.04139
2011-12-13,-0.05448,-0.04586
2011-12-14,-0.05558,-0.05301
2011-12-15,-0.05626,-0.05436
2011-12-16,-0.05259,-0.04899
