Date,Fund,benchmark
2016-06-02,0.00588,0.00398
2016-06-03,0.02113,0.00478
2016-06-06,0.01212,0.00318
2016-06-07,0.00931,0.00836
2016-06-08,0.01092,0.00597
2016-06-09,0.01460,0.00279
2016-06-10,0.01566,-0.00597
2016-06-13,0.01934,-0.00916
2016-06-14,0.01721,-0.01314
2016-06-15,0.03029,-0.00955
2016-06-16,0.03131,-0.01035
2016-06-17,0.02559,-0.01075
2016-06-20,0.02105,-0.00677
2016-06-21,0.01363,-0.00637
2016-06-22,0.01933,-0.00557
2016-06-23,0.01233,-0.00040
2016-06-24,0.03900,-0.01592
2016-06-27,0.04806,-0.02189
2016-06-28,0.04637,-0.01274
2016-06-29,0.04523,-0.00518
2016-06-30,0.04701,0.00018
2016-07-01,0.04701,0.00018
