Date,Fund,benchmark
2010-01-04,0.00472,0.00682
2010-01-05,0.01124,0.00864
2010-01-06,0.01971,0.00727
2010-01-07,0.02377,0.00500
2010-01-08,0.02757,0.00864
2010-01-11,0.03351,0.00955
2010-01-12,0.02708,0.00682
2010-01-13,0.02747,0.00682
2010-01-14,0.02386,0.00409
2010-01-15,0.02290,-0.00045
2010-01-18,0.02550,0.00227
2010-01-19,0.02673,0.00545
2010-01-20,0.02167,0.00500
2010-01-21,0.01306,-0.00318
2010-01-22,0.00959,-0.01136
2010-01-25,0.00735,-0.00909
2010-01-26,0.00755,-0.00864
2010-01-27,0.00535,-0.00818
2010-01-28,0.00413,-0.01182
2010-01-29,-0.00154,-0.01955
2010-02-01,0.00685,-0.01136
2010-02-02,0.00953,-0.00591
2010-02-03,0.00986,-0.00682
2010-02-04,-0.00171,-0.01909
2010-02-05,0.00264,-0.01864
2010-02-08,-0.00551,-0.02136
2010-02-09,0.00199,-0.01591
2010-02-10,-0.00108,-0.01727
2010-02-11,0.00218,-0.01455
2010-02-12,0.00055,-0.01364
2010-02-15,0.00055,-0.01364
2010-02-16,0.00622,-0.00818
2010-02-17,0.00935,-0.00636
2010-02-18,0.01249,-0.00500
2010-02-19,0.01159,-0.00455
2010-02-22,0.01208,-0.00636
2010-02-23,0.01014,-0.00727
2010-02-24,0.00826,-0.00636
2010-02-25,0.01352,-0.00182
2010-02-26,0.01429,-0.00364
2010-03-01,0.01862,-0.00273
2010-03-02,0.02284,0.00000
2010-03-03,0.02448,-0.00091
2010-03-04,0.02210,-0.00182
2010-03-05,0.02730,0.00636
2010-03-08,0.02606,0.00591
2010-03-09,0.02626,0.00455
2010-03-10,0.02583,0.00682
2010-03-11,0.02764,0.00864
2010-03-12,0.02694,0.00955
2010-03-15,0.02745,0.00909
2010-03-16,0.03122,0.01227
2010-03-17,0.03268,0.01136
2010-03-18,0.03264,0.00955
2010-03-19,0.03037,0.00409
2010-03-22,0.03157,0.00727
2010-03-23,0.03290,0.01000
2010-03-24,0.02897,0.00682
2010-03-25,0.02797,0.00682
2010-03-26,0.03250,0.00773
2010-03-29,0.03514,0.01000
2010-03-30,0.03252,0.01091
2010-03-31,0.03484,0.00987
2010-04-01,0.04515,0.01123
2010-04-02,0.04515,0.01123
2010-04-05,0.05092,0.00987
2010-04-06,0.05277,0.00850
2010-04-07,0.06785,0.00577
2010-04-08,0.06960,0.00395
2010-04-09,0.07696,0.00896
2010-04-12,0.07322,0.00850
2010-04-13,0.06931,0.00668
2010-04-14,0.07710,0.01032
2010-04-15,0.07845,0.01214
2010-04-16,0.07331,0.00532
2010-04-19,0.07174,0.00668
2010-04-20,0.06761,0.00395
2010-04-21,0.07314,0.00304
2010-04-22,0.07410,0.00168
2010-04-23,0.08292,0.00532
2010-04-26,0.08469,0.00759
2010-04-27,0.08881,0.00122
2010-04-28,0.09650,-0.00470
2010-04-29,0.09755,0.00213
2010-04-30,0.10853,0.00259
2010-05-03,0.09846,0.00350
2010-05-04,0.09158,-0.00287
2010-05-05,0.08839,-0.00970
2010-05-06,0.09632,-0.01061
2010-05-07,0.08347,-0.02062
2010-05-10,0.09238,-0.00788
2010-05-11,0.11383,-0.01061
2010-05-12,0.12156,-0.00151
2010-05-13,0.11149,-0.00470
2010-05-14,0.11270,-0.00879
2010-05-17,0.09896,-0.01607
2010-05-18,0.09048,-0.01835
2010-05-19,0.06807,-0.01971
2010-05-20,0.05038,-0.02927
2010-05-21,0.05368,-0.02472
2010-05-24,0.05368,-0.02472
2010-05-25,0.06741,-0.02836
2010-05-26,0.07305,-0.02973
2010-05-27,0.08013,-0.02062
2010-05-28,0.07631,-0.02472
2010-05-31,0.07701,-0.02290
2010-06-01,0.07430,-0.03155
2010-06-02,0.07463,-0.02381
2010-06-03,0.06935,-0.02017
2010-06-04,0.06568,-0.03018
2010-06-07,0.07544,-0.03883
2010-06-08,0.07582,-0.03974
2010-06-09,0.06793,-0.04429
2010-06-10,0.06791,-0.03564
2010-06-11,0.07344,-0.03200
2010-06-14,0.06339,-0.03155
2010-06-15,0.07204,-0.01880
2010-06-16,0.07917,-0.01880
2010-06-17,0.09449,-0.01744
2010-06-18,0.10290,-0.02017
2010-06-21,0.09081,-0.01835
2010-06-22,0.08752,-0.02426
2010-06-23,0.09267,-0.02017
2010-06-24,0.09154,-0.02791
2010-06-25,0.10158,-0.03064
2010-06-28,0.09512,-0.03337
2010-06-29,0.08158,-0.04656
2010-06-30,0.08550,-0.04587
2010-07-01,0.08550,-0.04587
2010-07-02,0.06786,-0.04815
2010-07-05,0.06396,-0.05043
2010-07-06,0.05863,-0.04541
2010-07-07,0.06571,-0.03491
2010-07-08,0.06047,-0.03172
2010-07-09,0.06755,-0.02898
2010-07-12,0.06636,-0.02715
2010-07-13,0.07082,-0.02030
2010-07-14,0.07061,-0.02167
2010-07-15,0.07519,-0.01391
2010-07-16,0.07061,-0.02213
2010-07-19,0.06452,-0.02213
2010-07-20,0.06893,-0.01985
2010-07-21,0.06755,-0.02578
2010-07-22,0.07393,-0.01802
2010-07-23,0.07811,-0.01619
2010-07-26,0.07475,-0.01345
2010-07-27,0.06764,-0.01574
2010-07-28,0.07222,-0.01619
2010-07-29,0.07370,-0.01482
2010-07-30,0.07663,-0.01574
2010-08-02,0.07663,-0.01574
2010-08-03,0.08325,-0.00843
2010-08-04,0.09313,-0.01026
2010-08-05,0.09397,-0.01072
2010-08-06,0.10283,-0.00524
2010-08-09,0.10290,-0.00204
2010-08-10,0.10253,-0.00204
2010-08-11,0.09594,-0.01300
2010-08-12,0.10219,-0.01756
2010-08-13,0.10191,-0.01802
2010-08-16,0.10717,-0.01528
2010-08-17,0.10675,-0.01072
2010-08-18,0.11126,-0.00980
2010-08-19,0.11570,-0.01163
2010-08-20,0.11844,-0.01026
2010-08-23,0.11524,-0.00889
2010-08-24,0.11255,-0.01437
2010-08-25,0.12243,-0.01026
2010-08-26,0.12622,-0.01163
2010-08-27,0.13245,-0.00250
2010-08-30,0.13438,-0.00113
2010-08-31,0.14315,0.00298
2010-09-01,0.13964,0.00618
2010-09-02,0.14539,0.01120
2010-09-03,0.15576,0.00937
2010-09-06,0.15576,0.00937
2010-09-07,0.16168,0.00937
2010-09-08,0.15191,0.00481
2010-09-09,0.14472,0.00435
2010-09-10,0.14994,0.00572
2010-09-13,0.14899,0.00937
2010-09-14,0.16203,0.01120
2010-09-15,0.16053,0.00800
2010-09-16,0.17030,0.00800
2010-09-17,0.17492,0.00937
2010-09-20,0.18175,0.01485
2010-09-21,0.18098,0.01302
2010-09-22,0.18803,0.01394
2010-09-23,0.18767,0.01120
2010-09-24,0.18484,0.01713
2010-09-27,0.18326,0.01805
2010-09-28,0.19275,0.02352
2010-09-29,0.19615,0.02809
2010-09-30,0.19651,0.02425
2010-10-01,0.19785,0.02562
2010-10-04,0.18978,0.02288
2010-10-05,0.21014,0.03249
2010-10-06,0.21715,0.03294
2010-10-07,0.20507,0.03111
2010-10-08,0.21384,0.03615
2010-10-11,0.21384,0.03615
2010-10-12,0.21460,0.03706
2010-10-13,0.22907,0.04027
2010-10-14,0.22424,0.03935
2010-10-15,0.22075,0.03844
2010-10-18,0.22255,0.04118
2010-10-19,0.20365,0.03981
2010-10-20,0.21636,0.04256
2010-10-21,0.20664,0.04164
2010-10-22,0.20980,0.04164
2010-10-25,0.21899,0.04301
2010-10-26,0.22214,0.03981
2010-10-27,0.21067,0.03340
2010-10-28,0.22148,0.03340
2010-10-29,0.23419,0.03889
2010-11-01,0.23256,0.03752
2010-11-02,0.23489,0.03752
2010-11-03,0.23200,0.03706
2010-11-04,0.26177,0.04713
2010-11-05,0.26656,0.04851
2010-11-08,0.28538,0.05171
2010-11-09,0.26478,0.04439
2010-11-10,0.27127,0.04439
2010-11-11,0.27356,0.04439
2010-11-12,0.25233,0.03569
2010-11-15,0.24419,0.03249
2010-11-16,0.22619,0.02837
2010-11-17,0.23313,0.03020
2010-11-18,0.25349,0.03981
2010-11-19,0.26118,0.04073
2010-11-22,0.26612,0.04027
2010-11-23,0.25500,0.03157
2010-11-24,0.26018,0.03340
2010-11-25,0.26477,0.03523
2010-11-26,0.26216,0.03478
2010-11-29,0.26054,0.03386
2010-11-30,0.27720,0.03661
2010-12-01,0.29205,0.04347
