Date,Fund,benchmark
2002-03-04,-0.00660,0.01330
2002-03-05,-0.01366,0.01223
2002-03-06,-0.00521,0.02074
2002-03-07,-0.02132,0.02021
2002-03-08,-0.02975,0.01862
2002-03-11,-0.02699,0.01809
2002-03-12,-0.01871,0.01543
2002-03-13,-0.02070,0.01330
2002-03-14,-0.02668,0.01170
2002-03-15,-0.02914,0.01596
2002-03-18,-0.01087,0.01755
2002-03-19,-0.01226,0.01809
2002-03-20,-0.00749,0.01117
2002-03-21,-0.00656,0.01011
2002-03-22,0.01033,0.00745
2002-03-25,0.02660,-0.00053
2002-03-26,0.01984,0.00319
2002-03-27,0.04502,0.00904
2002-03-28,0.04008,0.01153
2002-03-29,0.04008,0.01153
2002-04-01,0.04759,0.01419
2002-04-02,0.04703,0.01206
2002-04-03,0.03548,0.00726
2002-04-04,0.02920,0.00300
2002-04-05,0.02736,0.00193
2002-04-08,0.02301,-0.00073
2002-04-09,0.01806,-0.00340
2002-04-10,0.03306,0.00193
2002-04-11,0.02227,-0.00979
2002-04-12,0.02863,-0.00606
2002-04-15,0.02960,-0.00286
2002-04-16,0.03432,0.00673
2002-04-17,0.04406,0.00620
2002-04-18,0.03784,0.00193
2002-04-19,0.04853,0.00513
2002-04-22,0.04098,-0.00233
2002-04-23,0.03356,-0.00659
2002-04-24,0.03610,-0.00766
2002-04-25,0.03397,-0.00979
2002-04-26,0.03850,-0.01619
2002-04-29,0.03400,-0.01832
2002-04-30,0.03548,-0.01246
2002-05-01,0.03742,-0.01086
2002-05-02,0.04022,-0.01086
2002-05-03,0.04638,-0.01192
2002-05-06,0.04417,-0.01832
2002-05-07,0.04140,-0.01992
2002-05-08,0.05213,-0.00713
2002-05-09,0.04891,-0.01512
2002-05-10,0.05138,-0.02205
2002-05-13,0.06458,-0.01672
2002-05-14,0.05776,-0.01086
2002-05-15,0.05604,-0.01246
2002-05-16,0.06145,-0.00926
2002-05-17,0.06468,-0.01032
2002-05-20,0.06468,-0.01032
2002-05-21,0.08054,-0.01725
2002-05-22,0.07880,-0.01832
2002-05-23,0.09739,-0.01299
2002-05-24,0.09342,-0.01779
2002-05-27,0.08971,-0.01725
2002-05-28,0.09771,-0.01938
2002-05-29,0.09144,-0.02205
2002-05-30,0.08040,-0.02365
2002-05-31,0.09005,-0.02152
2002-06-03,0.09218,-0.02738
2002-06-04,0.08976,-0.02951
2002-06-05,0.07537,-0.02791
2002-06-06,0.07564,-0.03537
2002-06-07,0.06410,-0.03644
2002-06-10,0.04787,-0.03644
2002-06-11,0.05029,-0.04017
2002-06-12,0.04142,-0.04177
2002-06-13,0.02803,-0.04656
2002-06-14,0.03193,-0.04656
2002-06-17,0.03324,-0.03697
2002-06-18,0.03686,-0.03910
2002-06-19,0.02945,-0.04710
2002-06-20,0.03868,-0.05349
2002-06-21,0.03130,-0.06042
2002-06-24,0.03373,-0.06202
2002-06-25,0.02916,-0.06415
2002-06-26,0.01547,-0.07055
2002-06-27,0.01291,-0.06522
2002-06-28,0.01298,-0.05799
2002-07-01,0.01298,-0.05799
2002-07-02,-0.00486,-0.07082
2002-07-03,-0.00666,-0.06814
2002-07-04,-0.00691,-0.06761
2002-07-05,-0.00291,-0.05799
2002-07-08,0.00358,-0.06119
2002-07-09,0.00651,-0.06761
2002-07-10,-0.00521,-0.07777
2002-07-11,-0.01266,-0.07990
2002-07-12,-0.01871,-0.08097
2002-07-15,-0.03755,-0.08953
2002-07-16,-0.04062,-0.09167
2002-07-17,-0.04488,-0.08846
2002-07-18,-0.04319,-0.08846
2002-07-19,-0.05973,-0.10664
2002-07-22,-0.08500,-0.11573
2002-07-23,-0.12643,-0.12909
2002-07-24,-0.10148,-0.11091
2002-07-25,-0.11922,-0.11626
2002-07-26,-0.12984,-0.11252
2002-07-29,-0.10401,-0.09701
2002-07-30,-0.09362,-0.09594
2002-07-31,-0.08309,-0.08953
2002-08-01,-0.08855,-0.09915
2002-08-02,-0.08329,-0.10236
2002-08-05,-0.08329,-0.10236
2002-08-06,-0.08683,-0.10503
2002-08-07,-0.08487,-0.10396
2002-08-08,-0.07360,-0.09060
2002-08-09,-0.06171,-0.08846
2002-08-12,-0.06957,-0.09327
2002-08-13,-0.07510,-0.09915
2002-08-14,-0.07643,-0.09381
2002-08-15,-0.07061,-0.09220
2002-08-16,-0.07129,-0.09113
2002-08-19,-0.06901,-0.07777
2002-08-20,-0.06672,-0.07830
2002-08-21,-0.06893,-0.07723
2002-08-22,-0.05943,-0.07295
2002-08-23,-0.07496,-0.08365
2002-08-26,-0.06022,-0.07616
2002-08-27,-0.05874,-0.08258
2002-08-28,-0.06528,-0.09060
2002-08-29,-0.05539,-0.08846
2002-08-30,-0.05378,-0.08686
2002-09-02,-0.05378,-0.08686
2002-09-03,-0.06715,-0.10343
2002-09-04,-0.06184,-0.09541
2002-09-05,-0.05885,-0.09808
2002-09-06,-0.06013,-0.09648
2002-09-09,-0.05040,-0.09327
2002-09-10,-0.05305,-0.08792
2002-09-11,-0.04279,-0.08365
2002-09-12,-0.04586,-0.09434
2002-09-13,-0.04915,-0.09648
2002-09-16,-0.04698,-0.09701
2002-09-17,-0.06428,-0.10771
2002-09-18,-0.07196,-0.11252
2002-09-19,-0.08184,-0.12481
2002-09-20,-0.08091,-0.12321
2002-09-23,-0.08353,-0.13230
2002-09-24,-0.09602,-0.13604
2002-09-25,-0.09100,-0.12856
2002-09-26,-0.09846,-0.12321
2002-09-27,-0.10550,-0.13069
2002-09-30,-0.10369,-0.12930
2002-10-01,-0.10955,-0.12233
