Date,Fund,benchmark
2008-09-02,-0.00211,-0.01307
2008-09-03,-0.01137,-0.02067
2008-09-04,-0.01221,-0.03838
2008-09-05,-0.00920,-0.03838
2008-09-08,-0.01862,-0.03838
2008-09-09,-0.02089,-0.05947
2008-09-10,-0.01886,-0.04597
2008-09-11,-0.01287,-0.03754
2008-09-12,-0.02036,-0.03585
2008-09-15,-0.01600,-0.06158
2008-09-16,-0.01128,-0.05863
2008-09-17,-0.01036,-0.08393
2008-09-18,-0.01068,-0.07043
2008-09-19,-0.02703,-0.04218
2008-09-22,-0.03829,-0.06242
2008-09-23,-0.03420,-0.06959
2008-09-24,-0.03540,-0.07170
2008-09-25,-0.04001,-0.06664
2008-09-26,-0.04253,-0.08393
2008-09-29,-0.04787,-0.12990
2008-09-30,-0.04409,-0.10310
2008-10-01,-0.04396,-0.10733
2008-10-02,-0.04083,-0.13736
2008-10-03,-0.03805,-0.13862
2008-10-06,-0.01195,-0.15554
2008-10-07,-0.01661,-0.18133
2008-10-08,-0.00123,-0.17922
2008-10-09,0.00785,-0.20205
2008-10-10,0.02677,-0.21559
2008-10-13,0.02677,-0.21559
2008-10-14,-0.00398,-0.17245
2008-10-15,0.01227,-0.20713
2008-10-16,0.01764,-0.19783
2008-10-17,0.00932,-0.19233
2008-10-20,0.01701,-0.15765
2008-10-21,0.03034,-0.17711
2008-10-22,0.05613,-0.20079
2008-10-23,0.06355,-0.19571
2008-10-24,0.08372,-0.20544
2008-10-27,0.08665,-0.23377
2008-10-28,0.08095,-0.19444
2008-10-29,0.04302,-0.19402
2008-10-30,0.03903,-0.17584
2008-10-31,0.02304,-0.17964
2008-11-03,0.00844,-0.18599
2008-11-04,-0.01067,-0.17034
2008-11-05,-0.00380,-0.18683
2008-11-06,0.00631,-0.20671
2008-11-07,0.01303,-0.19656
2008-11-10,0.01876,-0.19444
2008-11-11,0.01880,-0.20797
2008-11-12,0.04657,-0.22700
2008-11-13,0.02749,-0.20417
2008-11-14,0.03333,-0.22108
2008-11-17,0.03196,-0.23292
2008-11-18,0.03196,-0.22785
2008-11-19,0.04710,-0.24646
2008-11-20,0.07771,-0.27479
2008-11-21,0.06226,-0.25322
2008-11-24,0.03595,-0.23927
2008-11-25,0.04202,-0.23758
2008-11-26,0.04491,-0.21981
2008-11-27,0.04617,-0.21643
2008-11-28,0.04719,-0.19825
2008-12-01,0.05812,-0.23842
2008-12-02,0.06858,-0.23292
2008-12-03,0.07003,-0.23081
2008-12-04,0.09145,-0.23927
2008-12-05,0.08066,-0.23250
2008-12-08,0.07300,-0.21432
2008-12-09,0.07992,-0.21643
2008-12-10,0.07787,-0.20501
2008-12-11,0.06907,-0.22066
2008-12-12,0.08085,-0.21432
2008-12-15,0.08081,-0.22024
2008-12-16,0.08063,-0.20332
2008-12-17,0.09485,-0.20628
2008-12-18,0.09511,-0.21474
2008-12-19,0.09754,-0.20834
2008-12-22,0.09555,-0.22361
2008-12-23,0.08594,-0.22488
2008-12-24,0.09381,-0.22488
2008-12-25,0.09381,-0.22488
2008-12-26,0.09381,-0.22488
2008-12-29,0.09899,-0.21088
2008-12-30,0.10529,-0.19900
2008-12-31,0.10529,-0.18967
2009-01-01,0.10529,-0.18967
2009-01-02,0.09321,-0.17864
2009-01-05,0.08219,-0.17991
2009-01-06,0.08096,-0.17185
2009-01-07,0.08749,-0.18500
2009-01-08,0.08635,-0.18543
2009-01-09,0.09346,-0.19222
2009-01-12,0.10284,-0.20240
2009-01-13,0.10391,-0.19688
2009-01-14,0.11575,-0.20749
2009-01-15,0.11321,-0.20113
2009-01-16,0.10929,-0.19985
2009-01-19,0.10537,-0.20282
2009-01-20,0.10847,-0.22488
2009-01-21,0.10496,-0.21088
2009-01-22,0.10292,-0.22319
2009-01-23,0.09427,-0.22319
2009-01-26,0.09027,-0.22107
2009-01-27,0.09304,-0.21470
2009-01-28,0.08839,-0.20325
2009-01-29,0.08561,-0.21810
2009-01-30,0.08571,-0.22446
