Date,Fund,benchmark
2015-08-18,-0.00469,-0.00275
2015-08-19,-0.00432,-0.00707
2015-08-20,-0.01833,-0.02081
2015-08-21,-0.02973,-0.03337
2015-08-24,-0.04273,-0.05379
2015-08-25,-0.04843,-0.05065
2015-08-26,-0.02964,-0.03965
2015-08-27,-0.02406,-0.02631
2015-08-28,-0.02461,-0.02434
2015-08-31,-0.03431,-0.02748
2015-09-01,-0.04619,-0.04358
2015-09-02,-0.03217,-0.03848
2015-09-03,-0.03755,-0.03808
2015-09-04,-0.04043,-0.04437
2015-09-07,-0.04043,-0.04437
2015-09-08,-0.02995,-0.03651
2015-09-09,-0.03563,-0.03926
2015-09-10,-0.03333,-0.03848
2015-09-11,-0.02735,-0.04044
2015-09-14,-0.02931,-0.04437
2015-09-15,-0.02446,-0.04162
2015-09-16,-0.02523,-0.03102
2015-09-17,-0.02385,-0.02945
2015-09-18,-0.03061,-0.03730
2015-09-21,-0.02812,-0.03141
2015-09-22,-0.03427,-0.04122
2015-09-23,-0.02972,-0.04358
2015-09-24,-0.03310,-0.04476
2015-09-25,-0.03508,-0.04122
2015-09-28,-0.04406,-0.05104
2015-09-29,-0.04100,-0.04908
2015-09-30,-0.03252,-0.04039
2015-10-01,-0.03505,-0.04393
2015-10-02,-0.03628,-0.03882
2015-10-05,-0.04188,-0.02939
2015-10-06,-0.04185,-0.02742
2015-10-07,-0.04150,-0.01995
2015-10-08,-0.04502,-0.01602
2015-10-09,-0.04760,-0.01877
2015-10-12,-0.04760,-0.01877
2015-10-13,-0.04150,-0.02034
2015-10-14,-0.03924,-0.02270
2015-10-15,-0.04442,-0.02192
2015-10-16,-0.04361,-0.01877
2015-10-19,-0.04062,-0.01838
2015-10-20,-0.04502,-0.01563
2015-10-21,-0.03636,-0.01327
2015-10-22,-0.03928,-0.00383
2015-10-23,-0.04069,0.00167
2015-10-26,-0.03755,-0.00226
2015-10-27,-0.03199,-0.00265
2015-10-28,-0.03843,0.00246
2015-10-29,-0.04284,-0.00069
2015-10-30,-0.04373,-0.00934
2015-11-02,-0.04422,-0.00540
2015-11-03,-0.04810,-0.00344
2015-11-04,-0.04775,-0.00344
2015-11-05,-0.04864,-0.00737
2015-11-06,-0.05090,-0.00816
2015-11-09,-0.05217,-0.01484
2015-11-10,-0.05171,-0.01563
2015-11-11,-0.05128,-0.01720
2015-11-12,-0.04913,-0.02703
2015-11-13,-0.04649,-0.03056
2015-11-16,-0.04687,-0.01916
2015-11-17,-0.04729,-0.01877
2015-11-18,-0.04687,-0.01248
2015-11-19,-0.04422,-0.01052
2015-11-20,-0.04426,-0.01130
2015-11-23,-0.04384,-0.01248
2015-11-24,-0.04465,-0.01366
2015-11-25,-0.04503,-0.01327
2015-11-26,-0.04369,-0.01209
2015-11-27,-0.04204,-0.01248
2015-11-30,-0.04308,-0.01091
2015-12-01,-0.03782,-0.00187
