Date,Fund,benchmark
2011-07-04,0.00469,0.00447
2011-07-05,0.00576,0.00536
2011-07-06,0.00881,0.00536
2011-07-07,0.00908,0.00536
2011-07-08,0.01109,0.00581
2011-07-11,0.00953,-0.00089
2011-07-12,0.00678,-0.00223
2011-07-13,0.00501,0.00089
2011-07-14,0.00166,-0.00268
2011-07-15,0.00393,-0.00045
2011-07-18,0.00255,-0.00402
2011-07-19,0.00492,-0.00045
2011-07-20,0.00170,-0.00134
2011-07-21,0.00433,0.00223
2011-07-22,0.00846,0.00626
2011-07-25,0.00501,0.00313
2011-07-26,0.00337,-0.00134
2011-07-27,-0.00123,-0.01251
2011-07-28,-0.00102,-0.01072
2011-07-29,0.00056,-0.01206
2011-08-01,0.00056,-0.01206
2011-08-02,-0.00241,-0.02055
2011-08-03,-0.00004,-0.01698
2011-08-04,-0.00693,-0.03485
2011-08-05,-0.01170,-0.04513
2011-08-08,-0.02578,-0.06836
2011-08-09,-0.01295,-0.04424
2011-08-10,-0.01941,-0.04781
2011-08-11,-0.01007,-0.03217
2011-08-12,-0.00732,-0.02994
2011-08-15,-0.00521,-0.02502
2011-08-16,-0.00740,-0.03172
2011-08-17,-0.00495,-0.02815
2011-08-18,-0.01489,-0.04781
2011-08-19,-0.01971,-0.05764
2011-08-22,-0.01881,-0.05585
2011-08-23,-0.01037,-0.04111
2011-08-24,-0.00998,-0.04155
2011-08-25,-0.01420,-0.04647
2011-08-26,-0.01041,-0.04334
2011-08-29,-0.00546,-0.03485
2011-08-30,-0.00241,-0.02994
2011-08-31,-0.00349,-0.02502
2011-09-01,-0.00619,-0.02815
2011-09-02,-0.00829,-0.03262
2011-09-05,-0.00829,-0.03262
2011-09-06,-0.00656,-0.03798
2011-09-07,0.00036,-0.02770
2011-09-08,-0.00049,-0.02994
2011-09-09,-0.00310,-0.04066
2011-09-12,-0.00375,-0.05228
2011-09-13,-0.00458,-0.05049
2011-09-14,0.00158,-0.04468
2011-09-15,0.00182,-0.04021
2011-09-16,0.00200,-0.04558
2011-09-19,0.00571,-0.04870
2011-09-20,0.00601,-0.04736
2011-09-21,0.00205,-0.05809
2011-09-22,0.00202,-0.07149
2011-09-23,0.00383,-0.07328
2011-09-26,0.00838,-0.06211
2011-09-27,0.00756,-0.05764
2011-09-28,0.00390,-0.06613
2011-09-29,0.00820,-0.05898
2011-09-30,0.00948,-0.06285
2011-10-03,0.01340,-0.07893
2011-10-04,0.01519,-0.07715
2011-10-05,0.00568,-0.06910
2011-10-06,0.00198,-0.05525
2011-10-07,0.00040,-0.06374
2011-10-10,0.00040,-0.06374
2011-10-11,-0.00373,-0.05123
2011-10-12,-0.01242,-0.04631
2011-10-13,-0.00731,-0.04855
2011-10-14,-0.01557,-0.04274
2011-10-17,-0.00611,-0.04810
2011-10-18,-0.01008,-0.04408
2011-10-19,-0.00748,-0.05257
2011-10-20,-0.01046,-0.05346
2011-10-21,-0.01280,-0.04720
2011-10-24,-0.01459,-0.03782
2011-10-25,-0.00334,-0.03961
2011-10-26,-0.01259,-0.03827
2011-10-27,-0.02145,-0.02441
2011-10-28,-0.01834,-0.02128
2011-10-31,-0.01788,-0.03469
2011-11-01,-0.00070,-0.03916
2011-11-02,-0.00385,-0.03201
2011-11-03,-0.00760,-0.01994
2011-11-04,-0.00168,-0.02039
2011-11-07,-0.00189,-0.01771
2011-11-08,-0.00445,-0.01547
2011-11-09,0.00322,-0.03156
2011-11-10,-0.00091,-0.03290
2011-11-11,-0.00232,-0.02441
2011-11-14,0.00105,-0.02709
2011-11-15,0.00186,-0.02620
2011-11-16,0.00322,-0.02978
2011-11-17,0.00561,-0.04184
2011-11-18,0.00267,-0.04363
