Date,Fund,benchmark
2010-01-04,0.00382,0.00682
2010-01-05,0.00943,0.00864
2010-01-06,0.01540,0.00727
2010-01-07,0.01848,0.00500
2010-01-08,0.02204,0.00864
2010-01-11,0.02654,0.00955
2010-01-12,0.02209,0.00682
2010-01-13,0.02194,0.00682
2010-01-14,0.01988,0.00409
2010-01-15,0.01982,-0.00045
2010-01-18,0.02201,0.00227
2010-01-19,0.02295,0.00545
2010-01-20,0.01977,0.00500
2010-01-21,0.01366,-0.00318
2010-01-22,0.01103,-0.01136
2010-01-25,0.00933,-0.00909
2010-01-26,0.00993,-0.00864
2010-01-27,0.00825,-0.00818
2010-01-28,0.00755,-0.01182
2010-01-29,0.00318,-0.01955
2010-02-01,0.00934,-0.01136
2010-02-02,0.01161,-0.00591
2010-02-03,0.01117,-0.00682
2010-02-04,0.00304,-0.01909
2010-02-05,0.00636,-0.01864
2010-02-08,0.00041,-0.02136
2010-02-09,0.00566,-0.01591
2010-02-10,0.00266,-0.01727
2010-02-11,0.00493,-0.01455
2010-02-12,0.00392,-0.01364
2010-02-15,0.00392,-0.01364
2010-02-16,0.00846,-0.00818
2010-02-17,0.01060,-0.00636
2010-02-18,0.01298,-0.00500
2010-02-19,0.01207,-0.00455
2010-02-22,0.01243,-0.00636
2010-02-23,0.01184,-0.00727
2010-02-24,0.01019,-0.00636
2010-02-25,0.01486,-0.00182
2010-02-26,0.01552,-0.00364
2010-03-01,0.01858,-0.00273
2010-03-02,0.02201,0.00000
2010-03-03,0.02281,-0.00091
2010-03-04,0.02099,-0.00182
2010-03-05,0.02426,0.00636
2010-03-08,0.02309,0.00591
2010-03-09,0.02322,0.00455
2010-03-10,0.02267,0.00682
2010-03-11,0.02426,0.00864
2010-03-12,0.02351,0.00955
2010-03-15,0.02434,0.00909
2010-03-16,0.02789,0.01227
2010-03-17,0.02877,0.01136
2010-03-18,0.02896,0.00955
2010-03-19,0.02677,0.00409
2010-03-22,0.02813,0.00727
2010-03-23,0.02893,0.01000
2010-03-24,0.02502,0.00682
2010-03-25,0.02425,0.00682
2010-03-26,0.02769,0.00773
2010-03-29,0.02947,0.01000
2010-03-30,0.02726,0.01091
2010-03-31,0.02998,0.00987
2010-04-01,0.03810,0.01123
2010-04-02,0.03810,0.01123
2010-04-05,0.04264,0.00987
2010-04-06,0.04444,0.00850
2010-04-07,0.05735,0.00577
2010-04-08,0.05873,0.00395
2010-04-09,0.06487,0.00896
2010-04-12,0.06227,0.00850
2010-04-13,0.05953,0.00668
2010-04-14,0.06602,0.01032
2010-04-15,0.06777,0.01214
2010-04-16,0.06407,0.00532
2010-04-19,0.06283,0.00668
2010-04-20,0.05923,0.00395
2010-04-21,0.06393,0.00304
2010-04-22,0.06468,0.00168
2010-04-23,0.07163,0.00532
2010-04-26,0.07337,0.00759
2010-04-27,0.07696,0.00122
2010-04-28,0.08302,-0.00470
2010-04-29,0.08384,0.00213
2010-04-30,0.09308,0.00259
2010-05-03,0.08481,0.00350
2010-05-04,0.07974,-0.00287
2010-05-05,0.07653,-0.00970
2010-05-06,0.08243,-0.01061
2010-05-07,0.07093,-0.02062
2010-05-10,0.07795,-0.00788
2010-05-11,0.09414,-0.01061
2010-05-12,0.10092,-0.00151
2010-05-13,0.09265,-0.00470
2010-05-14,0.09325,-0.00879
2010-05-17,0.08208,-0.01607
2010-05-18,0.07541,-0.01835
2010-05-19,0.05707,-0.01971
2010-05-20,0.04245,-0.02927
2010-05-21,0.04470,-0.02472
2010-05-24,0.04470,-0.02472
2010-05-25,0.05448,-0.02836
2010-05-26,0.05961,-0.02973
2010-05-27,0.06518,-0.02062
2010-05-28,0.06252,-0.02472
2010-05-31,0.06281,-0.02290
2010-06-01,0.06067,-0.03155
2010-06-02,0.06058,-0.02381
2010-06-03,0.05712,-0.02017
2010-06-04,0.05423,-0.03018
2010-06-07,0.06157,-0.03883
2010-06-08,0.06117,-0.03974
2010-06-09,0.05461,-0.04429
2010-06-10,0.05424,-0.03564
2010-06-11,0.05895,-0.03200
2010-06-14,0.05104,-0.03155
2010-06-15,0.05785,-0.01880
2010-06-16,0.06416,-0.01880
2010-06-17,0.07657,-0.01744
2010-06-18,0.08354,-0.02017
2010-06-21,0.07472,-0.01835
2010-06-22,0.07247,-0.02426
2010-06-23,0.07653,-0.02017
2010-06-24,0.07564,-0.02791
2010-06-25,0.08355,-0.03064
2010-06-28,0.07846,-0.03337
2010-06-29,0.06779,-0.04656
2010-06-30,0.07219,-0.04587
2010-07-01,0.07219,-0.04587
2010-07-02,0.05777,-0.04815
2010-07-05,0.05512,-0.05043
2010-07-06,0.05099,-0.04541
2010-07-07,0.05648,-0.03491
2010-07-08,0.05280,-0.03172
2010-07-09,0.05829,-0.02898
2010-07-12,0.05736,-0.02715
2010-07-13,0.06157,-0.02030
2010-07-14,0.06140,-0.02167
2010-07-15,0.06533,-0.01391
2010-07-16,0.06252,-0.02213
2010-07-19,0.05780,-0.02213
2010-07-20,0.06122,-0.01985
2010-07-21,0.06053,-0.02578
2010-07-22,0.06547,-0.01802
2010-07-23,0.06946,-0.01619
2010-07-26,0.06685,-0.01345
2010-07-27,0.06209,-0.01574
2010-07-28,0.06601,-0.01619
2010-07-29,0.06715,-0.01482
2010-07-30,0.06941,-0.01574
2010-08-02,0.06941,-0.01574
2010-08-03,0.07491,-0.00843
2010-08-04,0.08257,-0.01026
2010-08-05,0.08322,-0.01072
2010-08-06,0.09046,-0.00524
2010-08-09,0.09052,-0.00204
2010-08-10,0.08985,-0.00204
2010-08-11,0.08474,-0.01300
2010-08-12,0.08884,-0.01756
2010-08-13,0.08862,-0.01802
2010-08-16,0.09270,-0.01528
2010-08-17,0.09237,-0.01072
2010-08-18,0.09624,-0.00980
2010-08-19,0.10006,-0.01163
2010-08-20,0.10218,-0.01026
2010-08-23,0.10008,-0.00889
2010-08-24,0.09762,-0.01437
2010-08-25,0.10528,-0.01026
2010-08-26,0.10821,-0.01163
2010-08-27,0.11305,-0.00250
2010-08-30,0.11491,-0.00113
2010-08-31,0.12196,0.00298
2010-09-01,0.11924,0.00618
2010-09-02,0.12370,0.01120
2010-09-03,0.13174,0.00937
2010-09-06,0.13174,0.00937
2010-09-07,0.13670,0.00937
2010-09-08,0.12875,0.00481
2010-09-09,0.12356,0.00435
2010-09-10,0.12798,0.00572
2010-09-13,0.12762,0.00937
2010-09-14,0.13773,0.01120
2010-09-15,0.13618,0.00800
2010-09-16,0.14414,0.00800
2010-09-17,0.14847,0.00937
2010-09-20,0.15415,0.01485
2010-09-21,0.15355,0.01302
2010-09-22,0.15938,0.01394
2010-09-23,0.15911,0.01120
2010-09-24,0.15654,0.01713
2010-09-27,0.15569,0.01805
2010-09-28,0.16342,0.02352
2010-09-29,0.16643,0.02809
2010-09-30,0.16736,0.02425
2010-10-01,0.16793,0.02562
2010-10-04,0.16246,0.02288
2010-10-05,0.17809,0.03249
2010-10-06,0.18359,0.03294
2010-10-07,0.17430,0.03111
2010-10-08,0.18180,0.03615
2010-10-11,0.18180,0.03615
2010-10-12,0.18239,0.03706
2010-10-13,0.19329,0.04027
2010-10-14,0.18928,0.03935
2010-10-15,0.18628,0.03844
2010-10-18,0.18835,0.04118
2010-10-19,0.17489,0.03981
2010-10-20,0.18439,0.04256
2010-10-21,0.17705,0.04164
2010-10-22,0.17937,0.04164
2010-10-25,0.18681,0.04301
2010-10-26,0.18841,0.03981
2010-10-27,0.17861,0.03340
2010-10-28,0.18661,0.03340
2010-10-29,0.19720,0.03889
2010-11-01,0.19575,0.03752
2010-11-02,0.19715,0.03752
2010-11-03,0.19499,0.03706
2010-11-04,0.21845,0.04713
2010-11-05,0.22179,0.04851
2010-11-08,0.23583,0.05171
2010-11-09,0.21908,0.04439
2010-11-10,0.22377,0.04439
2010-11-11,0.22538,0.04439
2010-11-12,0.20844,0.03569
2010-11-15,0.20129,0.03249
2010-11-16,0.18804,0.02837
2010-11-17,0.19322,0.03020
2010-11-18,0.20930,0.03981
2010-11-19,0.21522,0.04073
2010-11-22,0.21922,0.04027
2010-11-23,0.20990,0.03157
2010-11-24,0.21338,0.03340
2010-11-25,0.21717,0.03523
2010-11-26,0.21576,0.03478
2010-11-29,0.21503,0.03386
2010-11-30,0.22766,0.03661
2010-12-01,0.23869,0.04347
