Date,Fund,TD Balanced Growth Fund
2015-08-18,-0.002,-0.003
2015-08-19,-0.002,-0.007
2015-08-20,-0.010,-0.021
2015-08-21,-0.015,-0.033
2015-08-24,-0.021,-0.054
2015-08-25,-0.023,-0.051
2015-08-26,-0.018,-0.040
2015-08-27,-0.016,-0.026
2015-08-28,-0.016,-0.024
2015-08-31,-0.020,-0.027
2015-09-01,-0.027,-0.044
2015-09-02,-0.021,-0.038
2015-09-03,-0.023,-0.038
2015-09-04,-0.026,-0.044
2015-09-08,-0.021,-0.037
2015-09-09,-0.023,-0.039
2015-09-10,-0.021,-0.038
2015-09-11,-0.019,-0.040
2015-09-14,-0.021,-0.044
2015-09-15,-0.021,-0.042
2015-09-16,-0.020,-0.031
2015-09-17,-0.017,-0.029
2015-09-18,-0.021,-0.037
2015-09-21,-0.023,-0.031
2015-09-22,-0.027,-0.041
2015-09-23,-0.026,-0.044
2015-09-24,-0.029,-0.045
2015-09-25,-0.029,-0.041
2015-09-28,-0.032,-0.051
2015-09-29,-0.032,-0.049
2015-09-30,-0.032,-0.040
2015-10-01,-0.037,-0.045
2015-10-02,-0.038,-0.040
2015-10-05,-0.040,-0.031
2015-10-06,-0.040,-0.029
2015-10-07,-0.041,-0.021
2015-10-08,-0.042,-0.017
2015-10-09,-0.043,-0.020
2015-10-13,-0.041,-0.022
2015-10-14,-0.039,-0.024
2015-10-15,-0.042,-0.023
2015-10-16,-0.042,-0.020
2015-10-19,-0.039,-0.020
2015-10-20,-0.042,-0.017
2015-10-21,-0.037,-0.015
2015-10-22,-0.039,-0.005
2015-10-23,-0.039,0.000
2015-10-26,-0.038,-0.004
2015-10-27,-0.035,-0.004
2015-10-28,-0.038,0.001
2015-10-29,-0.041,-0.002
2015-10-30,-0.041,-0.011
2015-11-02,-0.042,-0.007
2015-11-03,-0.044,-0.005
2015-11-04,-0.043,-0.005
2015-11-05,-0.044,-0.009
2015-11-06,-0.046,-0.009
2015-11-09,-0.046,-0.016
2015-11-10,-0.046,-0.017
2015-11-11,-0.046,-0.018
2015-11-12,-0.045,-0.028
2015-11-13,-0.043,-0.032
2015-11-16,-0.043,-0.020
2015-11-17,-0.043,-0.020
2015-11-18,-0.043,-0.014
2015-11-19,-0.043,-0.012
2015-11-20,-0.043,-0.013
2015-11-23,-0.042,-0.014
2015-11-24,-0.042,-0.015
2015-11-25,-0.043,-0.015
2015-11-26,-0.043,-0.013
2015-11-27,-0.042,-0.014
2015-11-30,-0.043,-0.012
2015-12-01,-0.042,-0.003
