Date,Fund,benchmark
2002-03-04,-0.00526,0.01330
2002-03-05,-0.01065,0.01223
2002-03-06,-0.00444,0.02074
2002-03-07,-0.01788,0.02021
2002-03-08,-0.02547,0.01862
2002-03-11,-0.02290,0.01809
2002-03-12,-0.01658,0.01543
2002-03-13,-0.01787,0.01330
2002-03-14,-0.02358,0.01170
2002-03-15,-0.02500,0.01596
2002-03-18,-0.01084,0.01755
2002-03-19,-0.01166,0.01809
2002-03-20,-0.00872,0.01117
2002-03-21,-0.00894,0.01011
2002-03-22,0.00394,0.00745
2002-03-25,0.01635,-0.00053
2002-03-26,0.01166,0.00319
2002-03-27,0.03086,0.00904
2002-03-28,0.02693,0.01153
2002-03-29,0.02693,0.01153
2002-04-01,0.03292,0.01419
2002-04-02,0.03271,0.01206
2002-04-03,0.02433,0.00726
2002-04-04,0.01957,0.00300
2002-04-05,0.01815,0.00193
2002-04-08,0.01478,-0.00073
2002-04-09,0.01095,-0.00340
2002-04-10,0.02253,0.00193
2002-04-11,0.01435,-0.00979
2002-04-12,0.01950,-0.00606
2002-04-15,0.02081,-0.00286
2002-04-16,0.02430,0.00673
2002-04-17,0.03173,0.00620
2002-04-18,0.02734,0.00193
2002-04-19,0.03570,0.00513
2002-04-22,0.02960,-0.00233
2002-04-23,0.02359,-0.00659
2002-04-24,0.02538,-0.00766
2002-04-25,0.02389,-0.00979
2002-04-26,0.02719,-0.01619
2002-04-29,0.02362,-0.01832
2002-04-30,0.02504,-0.01246
2002-05-01,0.02661,-0.01086
2002-05-02,0.02856,-0.01086
2002-05-03,0.03351,-0.01192
2002-05-06,0.03166,-0.01832
2002-05-07,0.02970,-0.01992
2002-05-08,0.03788,-0.00713
2002-05-09,0.03527,-0.01512
2002-05-10,0.03667,-0.02205
2002-05-13,0.04665,-0.01672
2002-05-14,0.04122,-0.01086
2002-05-15,0.04014,-0.01246
2002-05-16,0.04452,-0.00926
2002-05-17,0.04661,-0.01032
2002-05-20,0.04661,-0.01032
2002-05-21,0.05878,-0.01725
2002-05-22,0.05745,-0.01832
2002-05-23,0.07169,-0.01299
2002-05-24,0.06839,-0.01779
2002-05-27,0.06564,-0.01725
2002-05-28,0.07151,-0.01938
2002-05-29,0.06702,-0.02205
2002-05-30,0.05915,-0.02365
2002-05-31,0.06632,-0.02152
2002-06-03,0.06782,-0.02738
2002-06-04,0.06587,-0.02951
2002-06-05,0.05489,-0.02791
2002-06-06,0.05507,-0.03537
2002-06-07,0.04642,-0.03644
2002-06-10,0.03427,-0.03644
2002-06-11,0.03569,-0.04017
2002-06-12,0.02892,-0.04177
2002-06-13,0.01899,-0.04656
2002-06-14,0.02237,-0.04656
2002-06-17,0.02395,-0.03697
2002-06-18,0.02646,-0.03910
2002-06-19,0.02073,-0.04710
2002-06-20,0.02700,-0.05349
2002-06-21,0.02100,-0.06042
2002-06-24,0.02279,-0.06202
2002-06-25,0.01937,-0.06415
2002-06-26,0.00897,-0.07055
2002-06-27,0.00719,-0.06522
2002-06-28,0.01112,-0.05799
2002-07-01,0.01112,-0.05799
2002-07-02,0.01048,-0.07082
2002-07-03,0.00832,-0.06814
2002-07-04,0.00663,-0.06761
2002-07-05,-0.00057,-0.05799
2002-07-08,0.00785,-0.06119
2002-07-09,0.01590,-0.06761
2002-07-10,0.01850,-0.07777
2002-07-11,0.01862,-0.07990
2002-07-12,0.01932,-0.08097
2002-07-15,0.01868,-0.08953
2002-07-16,0.01389,-0.09167
2002-07-17,0.01004,-0.08846
2002-07-18,0.01159,-0.08846
2002-07-19,0.01544,-0.10664
2002-07-22,0.01233,-0.11573
2002-07-23,-0.00149,-0.12909
2002-07-24,-0.00203,-0.11091
2002-07-25,-0.00777,-0.11626
2002-07-26,-0.01850,-0.11252
2002-07-29,-0.01722,-0.09701
2002-07-30,-0.01089,-0.09594
2002-07-31,-0.00787,-0.08953
2002-08-01,-0.00411,-0.09915
2002-08-02,0.00476,-0.10236
2002-08-05,0.00476,-0.10236
2002-08-06,0.00061,-0.10503
2002-08-07,0.00599,-0.10396
2002-08-08,0.00336,-0.09060
2002-08-09,0.00858,-0.08846
2002-08-12,0.01030,-0.09327
2002-08-13,0.01001,-0.09915
2002-08-14,0.00648,-0.09381
2002-08-15,0.00743,-0.09220
2002-08-16,0.00474,-0.09113
2002-08-19,-0.00027,-0.07777
2002-08-20,0.00446,-0.07830
2002-08-21,-0.00068,-0.07723
2002-08-22,-0.00176,-0.07295
2002-08-23,-0.00322,-0.08365
2002-08-26,0.00315,-0.07616
2002-08-27,0.00865,-0.08258
2002-08-28,0.01038,-0.09060
2002-08-29,0.01861,-0.08846
2002-08-30,0.01798,-0.08686
2002-09-02,0.01798,-0.08686
2002-09-03,0.02493,-0.10343
2002-09-04,0.02531,-0.09541
2002-09-05,0.03136,-0.09808
2002-09-06,0.02756,-0.09648
2002-09-09,0.03099,-0.09327
2002-09-10,0.02715,-0.08792
2002-09-11,0.02728,-0.08365
2002-09-12,0.03608,-0.09434
2002-09-13,0.03632,-0.09648
2002-09-16,0.03705,-0.09701
2002-09-17,0.03174,-0.10771
2002-09-18,0.03463,-0.11252
2002-09-19,0.03700,-0.12481
2002-09-20,0.03548,-0.12321
2002-09-23,0.03597,-0.13230
2002-09-24,0.03713,-0.13604
2002-09-25,0.03017,-0.12856
2002-09-26,0.02261,-0.12321
2002-09-27,0.02406,-0.13069
2002-09-30,0.02674,-0.12930
2002-10-01,0.02056,-0.12233
