Date,Fund,benchmark
2008-09-02,-0.00284,-0.01307
2008-09-03,-0.01059,-0.02067
2008-09-04,-0.01228,-0.03838
2008-09-05,-0.01000,-0.03838
2008-09-08,-0.01756,-0.03838
2008-09-09,-0.02115,-0.05947
2008-09-10,-0.01847,-0.04597
2008-09-11,-0.01369,-0.03754
2008-09-12,-0.01980,-0.03585
2008-09-15,-0.01706,-0.06158
2008-09-16,-0.01398,-0.05863
2008-09-17,-0.01445,-0.08393
2008-09-18,-0.01507,-0.07043
2008-09-19,-0.02591,-0.04218
2008-09-22,-0.03505,-0.06242
2008-09-23,-0.03292,-0.06959
2008-09-24,-0.03372,-0.07170
2008-09-25,-0.03741,-0.06664
2008-09-26,-0.04103,-0.08393
2008-09-29,-0.04645,-0.12990
2008-09-30,-0.04288,-0.10310
2008-10-01,-0.04104,-0.10733
2008-10-02,-0.03829,-0.13736
2008-10-03,-0.03554,-0.13862
2008-10-06,-0.02913,-0.15554
2008-10-07,-0.03371,-0.18133
2008-10-08,-0.03921,-0.17922
2008-10-09,-0.04104,-0.20205
2008-10-10,-0.04838,-0.21559
2008-10-13,-0.04838,-0.21559
2008-10-14,-0.05021,-0.17245
2008-10-15,-0.04838,-0.20713
2008-10-16,-0.04746,-0.19783
2008-10-17,-0.04930,-0.19233
2008-10-20,-0.04930,-0.15765
2008-10-21,-0.04655,-0.17711
2008-10-22,-0.04288,-0.20079
2008-10-23,-0.04379,-0.19571
2008-10-24,-0.04746,-0.20544
2008-10-27,-0.04746,-0.23377
2008-10-28,-0.05113,-0.19444
2008-10-29,-0.05296,-0.19402
2008-10-30,-0.05113,-0.17584
2008-10-31,-0.05340,-0.17964
2008-11-03,-0.05340,-0.18599
2008-11-04,-0.05064,-0.17034
2008-11-05,-0.04788,-0.18683
2008-11-06,-0.04512,-0.20671
2008-11-07,-0.04327,-0.19656
2008-11-10,-0.04327,-0.19444
2008-11-11,-0.04327,-0.20797
2008-11-12,-0.03959,-0.22700
2008-11-13,-0.04419,-0.20417
2008-11-14,-0.04051,-0.22108
2008-11-17,-0.03775,-0.23292
2008-11-18,-0.03867,-0.22785
2008-11-19,-0.03867,-0.24646
2008-11-20,-0.03407,-0.27479
2008-11-21,-0.03867,-0.25322
2008-11-24,-0.03959,-0.23927
2008-11-25,-0.03499,-0.23758
2008-11-26,-0.03222,-0.21981
2008-11-27,-0.03222,-0.21643
2008-11-28,-0.03068,-0.19825
2008-12-01,-0.02236,-0.23842
2008-12-02,-0.02328,-0.23292
2008-12-03,-0.02513,-0.23081
2008-12-04,-0.02144,-0.23927
2008-12-05,-0.02236,-0.23250
2008-12-08,-0.02328,-0.21432
2008-12-09,-0.02144,-0.21643
2008-12-10,-0.02236,-0.20501
2008-12-11,-0.02144,-0.22066
2008-12-12,-0.02421,-0.21432
2008-12-15,-0.02328,-0.22024
2008-12-16,-0.01774,-0.20332
2008-12-17,-0.01682,-0.20628
2008-12-18,-0.01035,-0.21474
2008-12-19,-0.00874,-0.20834
2008-12-22,-0.00874,-0.22361
2008-12-23,-0.00874,-0.22488
2008-12-24,-0.00874,-0.22488
2008-12-25,-0.00874,-0.22488
2008-12-26,-0.00874,-0.22488
2008-12-29,-0.00040,-0.21088
2008-12-30,-0.00226,-0.19900
2008-12-31,-0.00226,-0.18967
2009-01-01,-0.00226,-0.18967
2009-01-02,-0.01216,-0.17864
2009-01-05,-0.02004,-0.17991
2009-01-06,-0.02055,-0.17185
2009-01-07,-0.01636,-0.18500
2009-01-08,-0.01656,-0.18543
2009-01-09,-0.01012,-0.19222
2009-01-12,-0.00329,-0.20240
2009-01-13,-0.00234,-0.19688
2009-01-14,0.00767,-0.20749
2009-01-15,0.00524,-0.20113
2009-01-16,0.00165,-0.19985
2009-01-19,-0.00194,-0.20282
2009-01-20,0.00059,-0.22488
2009-01-21,-0.00246,-0.21088
2009-01-22,-0.00404,-0.22319
2009-01-23,-0.01014,-0.22319
2009-01-26,-0.01404,-0.22107
2009-01-27,-0.01173,-0.21470
2009-01-28,-0.01498,-0.20325
2009-01-29,-0.01837,-0.21810
2009-01-30,-0.01791,-0.22446
