Date,Fund,benchmark
2001-09-04,-0.00446,-0.02512
2001-09-05,-0.00309,-0.01020
2001-09-06,-0.00403,-0.01805
2001-09-07,-0.00215,-0.00785
2001-09-10,-0.00361,-0.00549
2001-09-11,-0.00361,-0.00549
2001-09-12,-0.00361,-0.00549
2001-09-13,-0.00420,-0.00549
2001-09-14,-0.00412,-0.00549
2001-09-17,-0.00643,0.02983
2001-09-18,-0.00816,0.03611
2001-09-19,-0.01010,0.04396
2001-09-20,-0.01754,0.03846
2001-09-21,-0.02271,0.03375
2001-09-24,-0.01859,0.01413
2001-09-25,-0.01607,0.01020
2001-09-26,-0.01529,0.03532
2001-09-27,-0.01244,0.03375
2001-09-28,-0.00884,6.61850
2001-10-01,-0.00906,6.65863
2001-10-02,-0.00708,6.67009
2001-10-03,-0.00555,6.57837
2001-10-04,-0.00716,6.51532
2001-10-05,-0.00441,6.71595
2001-10-08,-0.00441,6.71595
2001-10-09,-0.00851,6.54971
2001-10-10,-0.00899,6.34907
2001-10-11,-0.01118,6.21149
2001-10-12,-0.00805,6.36627
2001-10-15,-0.01030,6.28602
2001-10-16,-0.00610,6.37774
2001-10-17,-0.00470,6.45226
2001-10-18,-0.00496,6.40067
2001-10-19,-0.00765,6.32041
2001-10-22,-0.00860,6.19430
2001-10-23,-0.00805,6.20576
2001-10-24,-0.00438,6.28028
2001-10-25,-0.00068,6.31468
2001-10-26,0.00043,6.30321
2001-10-29,0.00006,6.27455
2001-10-30,0.00117,6.37774
2001-10-31,0.00678,6.39493
2001-11-01,0.01071,6.48092
2001-11-02,0.01201,6.62997
2001-11-05,0.01463,6.54398
2001-11-06,0.01707,6.48665
2001-11-07,0.01986,6.54971
2001-11-08,0.01896,6.40067
2001-11-09,0.02155,6.46946
2001-11-12,0.02155,6.46946
2001-11-13,0.01985,6.45226
2001-11-14,0.01605,6.43506
2001-11-15,0.00883,6.33761
2001-11-16,0.00636,6.27455
2001-11-19,0.00761,6.11404
2001-11-20,0.00775,6.10258
2001-11-21,0.00655,6.12551
2001-11-22,0.00740,6.14844
2001-11-23,0.00691,6.11404
2001-11-26,0.00972,6.10831
2001-11-27,0.01081,6.22869
2001-11-28,0.00811,6.23442
2001-11-29,0.01003,6.18283
2001-11-30,0.01168,6.26309
