Date,Fund,benchmark
2011-07-04,0.00271,0.00447
2011-07-05,0.00492,0.00536
2011-07-06,0.00755,0.00536
2011-07-07,0.00717,0.00536
2011-07-08,0.00901,0.00581
2011-07-11,0.00675,-0.00089
2011-07-12,0.00705,-0.00223
2011-07-13,0.00931,0.00089
2011-07-14,0.00634,-0.00268
2011-07-15,0.00659,-0.00045
2011-07-18,0.00706,-0.00402
2011-07-19,0.00559,-0.00045
2011-07-20,0.00436,-0.00134
2011-07-21,0.00630,0.00223
2011-07-22,0.01113,0.00626
2011-07-25,0.00831,0.00313
2011-07-26,0.00739,-0.00134
2011-07-27,0.00375,-0.01251
2011-07-28,0.00372,-0.01072
2011-07-29,0.00509,-0.01206
2011-08-01,0.00509,-0.01206
2011-08-02,0.00291,-0.02055
2011-08-03,0.00441,-0.01698
2011-08-04,-0.00611,-0.03485
2011-08-05,-0.01257,-0.04513
2011-08-08,-0.02314,-0.06836
2011-08-09,-0.01498,-0.04424
2011-08-10,-0.01495,-0.04781
2011-08-11,-0.01164,-0.03217
2011-08-12,-0.00804,-0.02994
2011-08-15,-0.00510,-0.02502
2011-08-16,-0.00631,-0.03172
2011-08-17,-0.00375,-0.02815
2011-08-18,-0.01136,-0.04781
2011-08-19,-0.01439,-0.05764
2011-08-22,-0.01253,-0.05585
2011-08-23,-0.01019,-0.04111
2011-08-24,-0.01357,-0.04155
2011-08-25,-0.01562,-0.04647
2011-08-26,-0.01310,-0.04334
2011-08-29,-0.01030,-0.03485
2011-08-30,-0.00623,-0.02994
2011-08-31,-0.00243,-0.02502
2011-09-01,-0.00511,-0.02815
2011-09-02,-0.00384,-0.03262
2011-09-05,-0.00384,-0.03262
2011-09-06,-0.00720,-0.03798
2011-09-07,-0.00143,-0.02770
2011-09-08,-0.00052,-0.02994
2011-09-09,-0.00382,-0.04066
2011-09-12,-0.01047,-0.05228
2011-09-13,-0.01144,-0.05049
2011-09-14,-0.00721,-0.04468
2011-09-15,-0.00733,-0.04021
2011-09-16,-0.00817,-0.04558
2011-09-19,-0.00650,-0.04870
2011-09-20,-0.00367,-0.04736
2011-09-21,-0.00627,-0.05809
2011-09-22,-0.01126,-0.07149
2011-09-23,-0.01402,-0.07328
2011-09-26,-0.01254,-0.06211
2011-09-27,-0.01199,-0.05764
2011-09-28,-0.01570,-0.06613
2011-09-29,-0.01303,-0.05898
2011-09-30,-0.01094,-0.06285
2011-10-03,-0.01601,-0.07893
2011-10-04,-0.01770,-0.07715
2011-10-05,-0.01883,-0.06910
2011-10-06,-0.01378,-0.05525
2011-10-07,-0.01685,-0.06374
2011-10-10,-0.01685,-0.06374
2011-10-11,-0.01286,-0.05123
2011-10-12,-0.01434,-0.04631
2011-10-13,-0.01268,-0.04855
2011-10-14,-0.01378,-0.04274
2011-10-17,-0.01146,-0.04810
2011-10-18,-0.01138,-0.04408
2011-10-19,-0.01288,-0.05257
2011-10-20,-0.01461,-0.05346
2011-10-21,-0.01232,-0.04720
2011-10-24,-0.00918,-0.03782
2011-10-25,-0.00244,-0.03961
2011-10-26,-0.00685,-0.03827
2011-10-27,-0.00425,-0.02441
2011-10-28,-0.00161,-0.02128
2011-10-31,-0.00537,-0.03469
2011-11-01,0.00010,-0.03916
2011-11-02,0.00112,-0.03201
2011-11-03,0.00306,-0.01994
2011-11-04,0.00593,-0.02039
2011-11-07,0.00680,-0.01771
