Date,Fund,benchmark
2016-06-02,0.00383,0.00398
2016-06-03,0.00874,0.00478
2016-06-06,0.00584,0.00318
2016-06-07,0.00652,0.00836
2016-06-08,0.00723,0.00597
2016-06-09,0.00739,0.00279
2016-06-10,0.00452,-0.00597
2016-06-13,0.00288,-0.00916
2016-06-14,-0.00004,-0.01314
2016-06-15,0.00586,-0.00955
2016-06-16,0.00530,-0.01035
2016-06-17,0.00305,-0.01075
2016-06-20,0.00461,-0.00677
2016-06-21,0.00223,-0.00637
2016-06-22,0.00530,-0.00557
2016-06-23,0.00639,-0.00040
2016-06-24,0.00522,-0.01592
2016-06-27,0.00402,-0.02189
2016-06-28,0.00882,-0.01274
2016-06-29,0.01334,-0.00518
2016-06-30,0.01582,0.00018
2016-07-01,0.01582,0.00018
