Date,Fund,benchmark
2010-01-04,0.00535,0.00682
2010-01-05,0.00779,0.00864
2010-01-06,0.00781,0.00727
2010-01-07,0.00817,0.00500
2010-01-08,0.01134,0.00864
2010-01-11,0.01496,0.00955
2010-01-12,0.01324,0.00682
2010-01-13,0.01168,0.00682
2010-01-14,0.01019,0.00409
2010-01-15,0.00915,-0.00045
2010-01-18,0.01049,0.00227
2010-01-19,0.01341,0.00545
2010-01-20,0.01288,0.00500
2010-01-21,0.00709,-0.00318
2010-01-22,0.00360,-0.01136
2010-01-25,0.00439,-0.00909
2010-01-26,0.00539,-0.00864
2010-01-27,0.00417,-0.00818
2010-01-28,0.00158,-0.01182
2010-01-29,-0.00329,-0.01955
2010-02-01,0.00204,-0.01136
2010-02-02,0.00541,-0.00591
2010-02-03,0.00320,-0.00682
2010-02-04,-0.00507,-0.01909
2010-02-05,-0.00444,-0.01864
2010-02-08,-0.00723,-0.02136
2010-02-09,-0.00290,-0.01591
2010-02-10,-0.00716,-0.01727
2010-02-11,-0.00679,-0.01455
2010-02-12,-0.00731,-0.01364
2010-02-15,-0.00731,-0.01364
2010-02-16,-0.00245,-0.00818
2010-02-17,-0.00171,-0.00636
2010-02-18,-0.00062,-0.00500
2010-02-19,-0.00212,-0.00455
2010-02-22,-0.00130,-0.00636
2010-02-23,0.00004,-0.00727
2010-02-24,0.00039,-0.00636
2010-02-25,0.00476,-0.00182
2010-02-26,0.00464,-0.00364
2010-03-01,0.00464,-0.00273
2010-03-02,0.00671,0.00000
2010-03-03,0.00681,-0.00091
2010-03-04,0.00460,-0.00182
2010-03-05,0.00871,0.00636
2010-03-08,0.00690,0.00591
2010-03-09,0.00619,0.00455
2010-03-10,0.00648,0.00682
2010-03-11,0.00766,0.00864
2010-03-12,0.00633,0.00955
2010-03-15,0.00654,0.00909
2010-03-16,0.01051,0.01227
2010-03-17,0.01074,0.01136
2010-03-18,0.01021,0.00955
2010-03-19,0.00753,0.00409
2010-03-22,0.01029,0.00727
2010-03-23,0.01118,0.01000
2010-03-24,0.00742,0.00682
2010-03-25,0.00637,0.00682
2010-03-26,0.00921,0.00773
2010-03-29,0.01016,0.01000
2010-03-30,0.00855,0.01091
2010-03-31,0.01191,0.00987
2010-04-01,0.01363,0.01123
2010-04-02,0.01363,0.01123
2010-04-05,0.01108,0.00987
2010-04-06,0.01087,0.00850
2010-04-07,0.01435,0.00577
2010-04-08,0.01253,0.00395
2010-04-09,0.01703,0.00896
2010-04-12,0.01711,0.00850
2010-04-13,0.01560,0.00668
2010-04-14,0.01840,0.01032
2010-04-15,0.02020,0.01214
2010-04-16,0.02007,0.00532
2010-04-19,0.02070,0.00668
2010-04-20,0.01514,0.00395
2010-04-21,0.01543,0.00304
2010-04-22,0.01471,0.00168
2010-04-23,0.01763,0.00532
2010-04-26,0.01977,0.00759
2010-04-27,0.02073,0.00122
2010-04-28,0.01731,-0.00470
2010-04-29,0.01960,0.00213
2010-04-30,0.02367,0.00259
2010-05-03,0.02191,0.00350
2010-05-04,0.02117,-0.00287
2010-05-05,0.01901,-0.00970
2010-05-06,0.02155,-0.01061
2010-05-07,0.01239,-0.02062
2010-05-10,0.01488,-0.00788
2010-05-11,0.01428,-0.01061
2010-05-12,0.01806,-0.00151
2010-05-13,0.01614,-0.00470
2010-05-14,0.01653,-0.00879
2010-05-17,0.01230,-0.01607
2010-05-18,0.01140,-0.01835
2010-05-19,0.01029,-0.01971
2010-05-20,0.00947,-0.02927
2010-05-21,0.01008,-0.02472
2010-05-24,0.01008,-0.02472
2010-05-25,0.01048,-0.02836
2010-05-26,0.01115,-0.02973
2010-05-27,0.01181,-0.02062
2010-05-28,0.01097,-0.02472
2010-05-31,0.00973,-0.02290
2010-06-01,0.00896,-0.03155
2010-06-02,0.00738,-0.02381
2010-06-03,0.00858,-0.02017
2010-06-04,0.00867,-0.03018
2010-06-07,0.00572,-0.03883
2010-06-08,0.00327,-0.03974
2010-06-09,0.00012,-0.04429
2010-06-10,0.00059,-0.03564
2010-06-11,0.00284,-0.03200
2010-06-14,0.00220,-0.03155
2010-06-15,0.00676,-0.01880
2010-06-16,0.00868,-0.01880
2010-06-17,0.01346,-0.01744
2010-06-18,0.01253,-0.02017
2010-06-21,0.01345,-0.01835
2010-06-22,0.01288,-0.02426
2010-06-23,0.01715,-0.02017
2010-06-24,0.01552,-0.02791
2010-06-25,0.01525,-0.03064
2010-06-28,0.01444,-0.03337
2010-06-29,0.01296,-0.04656
2010-06-30,0.01741,-0.04587
2010-07-01,0.01741,-0.04587
2010-07-02,0.01392,-0.04815
2010-07-05,0.01471,-0.05043
2010-07-06,0.01428,-0.04541
2010-07-07,0.01706,-0.03491
2010-07-08,0.01644,-0.03172
2010-07-09,0.01444,-0.02898
2010-07-12,0.01616,-0.02715
2010-07-13,0.01939,-0.02030
2010-07-14,0.01965,-0.02167
2010-07-15,0.02442,-0.01391
2010-07-16,0.02558,-0.02213
2010-07-19,0.02540,-0.02213
2010-07-20,0.02386,-0.01985
2010-07-21,0.02320,-0.02578
2010-07-22,0.02613,-0.01802
2010-07-23,0.02752,-0.01619
2010-07-26,0.02815,-0.01345
2010-07-27,0.02769,-0.01574
2010-07-28,0.02971,-0.01619
2010-07-29,0.03076,-0.01482
2010-07-30,0.02977,-0.01574
2010-08-02,0.02977,-0.01574
2010-08-03,0.03573,-0.00843
2010-08-04,0.03393,-0.01026
2010-08-05,0.03493,-0.01072
2010-08-06,0.04110,-0.00524
2010-08-09,0.04155,-0.00204
2010-08-10,0.04227,-0.00204
2010-08-11,0.03925,-0.01300
2010-08-12,0.03639,-0.01756
2010-08-13,0.03541,-0.01802
2010-08-16,0.03992,-0.01528
2010-08-17,0.03848,-0.01072
2010-08-18,0.03888,-0.00980
2010-08-19,0.04096,-0.01163
2010-08-20,0.04300,-0.01026
2010-08-23,0.04465,-0.00889
2010-08-24,0.04458,-0.01437
2010-08-25,0.04620,-0.01026
2010-08-26,0.04613,-0.01163
2010-08-27,0.04722,-0.00250
2010-08-30,0.05023,-0.00113
2010-08-31,0.05450,0.00298
2010-09-01,0.05383,0.00618
2010-09-02,0.05624,0.01120
2010-09-03,0.05388,0.00937
2010-09-06,0.05388,0.00937
2010-09-07,0.05796,0.00937
2010-09-08,0.05217,0.00481
2010-09-09,0.05009,0.00435
2010-09-10,0.05209,0.00572
2010-09-13,0.05375,0.00937
2010-09-14,0.05715,0.01120
2010-09-15,0.05347,0.00800
2010-09-16,0.05461,0.00800
2010-09-17,0.05844,0.00937
2010-09-20,0.06165,0.01485
2010-09-21,0.06226,0.01302
2010-09-22,0.06578,0.01394
2010-09-23,0.06614,0.01120
2010-09-24,0.06654,0.01713
2010-09-27,0.06854,0.01805
2010-09-28,0.07375,0.02352
2010-09-29,0.07629,0.02809
2010-09-30,0.07940,0.02425
2010-10-01,0.07791,0.02562
2010-10-04,0.07692,0.02288
2010-10-05,0.08346,0.03249
2010-10-06,0.08507,0.03294
2010-10-07,0.08615,0.03111
2010-10-08,0.08743,0.03615
2010-10-11,0.08743,0.03615
2010-10-12,0.08752,0.03706
2010-10-13,0.08958,0.04027
2010-10-14,0.08980,0.03935
2010-10-15,0.09039,0.03844
2010-10-18,0.09434,0.04118
2010-10-19,0.09410,0.03981
2010-10-20,0.09593,0.04256
2010-10-21,0.09604,0.04164
2010-10-22,0.09701,0.04164
2010-10-25,0.09849,0.04301
2010-10-26,0.09808,0.03981
2010-10-27,0.09494,0.03340
2010-10-28,0.09700,0.03340
2010-10-29,0.10001,0.03889
2010-11-01,0.09783,0.03752
2010-11-02,0.09783,0.03752
2010-11-03,0.09742,0.03706
2010-11-04,0.10732,0.04713
2010-11-05,0.10632,0.04851
2010-11-08,0.10967,0.05171
2010-11-09,0.10496,0.04439
2010-11-10,0.10290,0.04439
2010-11-11,0.10301,0.04439
2010-11-12,0.09790,0.03569
2010-11-15,0.09426,0.03249
2010-11-16,0.09088,0.02837
2010-11-17,0.09259,0.03020
2010-11-18,0.09885,0.03981
2010-11-19,0.09922,0.04073
2010-11-22,0.09943,0.04027
2010-11-23,0.09468,0.03157
2010-11-24,0.09209,0.03340
2010-11-25,0.09266,0.03523
2010-11-26,0.09396,0.03478
2010-11-29,0.09264,0.03386
2010-11-30,0.09618,0.03661
2010-12-01,0.09928,0.04347
