Date,Fund,benchmark
2002-03-04,0.00160,0.01330
2002-03-05,-0.00002,0.01223
2002-03-06,0.00332,0.02074
2002-03-07,-0.00117,0.02021
2002-03-08,-0.00355,0.01862
2002-03-11,-0.00234,0.01809
2002-03-12,-0.00182,0.01543
2002-03-13,-0.00183,0.01330
2002-03-14,-0.00359,0.01170
2002-03-15,-0.00339,0.01596
2002-03-18,-0.00104,0.01755
2002-03-19,-0.00120,0.01809
2002-03-20,-0.00305,0.01117
2002-03-21,-0.00478,0.01011
2002-03-22,-0.00311,0.00745
2002-03-25,-0.00013,-0.00053
2002-03-26,0.00121,0.00319
2002-03-27,0.00722,0.00904
2002-03-28,0.00772,0.01153
2002-03-29,0.00772,0.01153
2002-04-01,0.01103,0.01419
2002-04-02,0.01080,0.01206
2002-04-03,0.00865,0.00726
2002-04-04,0.00859,0.00300
2002-04-05,0.00763,0.00193
2002-04-08,0.00705,-0.00073
2002-04-09,0.00632,-0.00340
2002-04-10,0.01017,0.00193
2002-04-11,0.00625,-0.00979
2002-04-12,0.00794,-0.00606
2002-04-15,0.01039,-0.00286
2002-04-16,0.00998,0.00673
2002-04-17,0.01088,0.00620
2002-04-18,0.01141,0.00193
2002-04-19,0.01257,0.00513
2002-04-22,0.01098,-0.00233
2002-04-23,0.00930,-0.00659
2002-04-24,0.00885,-0.00766
2002-04-25,0.00873,-0.00979
2002-04-26,0.00937,-0.01619
2002-04-29,0.00932,-0.01832
2002-04-30,0.00897,-0.01246
2002-05-01,0.00899,-0.01086
2002-05-02,0.00814,-0.01086
2002-05-03,0.01264,-0.01192
2002-05-06,0.01311,-0.01832
2002-05-07,0.01234,-0.01992
2002-05-08,0.01373,-0.00713
2002-05-09,0.01278,-0.01512
2002-05-10,0.00997,-0.02205
2002-05-13,0.01235,-0.01672
2002-05-14,0.00854,-0.01086
2002-05-15,0.00969,-0.01246
2002-05-16,0.01159,-0.00926
2002-05-17,0.01201,-0.01032
2002-05-20,0.01201,-0.01032
2002-05-21,0.01490,-0.01725
2002-05-22,0.01604,-0.01832
2002-05-23,0.01827,-0.01299
2002-05-24,0.01755,-0.01779
2002-05-27,0.01676,-0.01725
2002-05-28,0.01806,-0.01938
2002-05-29,0.01934,-0.02205
2002-05-30,0.01883,-0.02365
2002-05-31,0.01741,-0.02152
2002-06-03,0.01781,-0.02738
2002-06-04,0.01681,-0.02951
2002-06-05,0.01450,-0.02791
2002-06-06,0.01375,-0.03537
2002-06-07,0.01310,-0.03644
2002-06-10,0.01184,-0.03644
2002-06-11,0.01252,-0.04017
2002-06-12,0.01036,-0.04177
2002-06-13,0.00912,-0.04656
2002-06-14,0.01306,-0.04656
2002-06-17,0.01336,-0.03697
2002-06-18,0.01478,-0.03910
2002-06-19,0.01273,-0.04710
2002-06-20,0.01084,-0.05349
2002-06-21,0.00848,-0.06042
2002-06-24,0.00733,-0.06202
2002-06-25,0.00626,-0.06415
2002-06-26,0.00404,-0.07055
2002-06-27,0.00123,-0.06522
2002-06-28,0.00587,-0.05799
2002-07-01,0.00587,-0.05799
2002-07-02,0.00152,-0.07082
2002-07-03,0.00085,-0.06814
2002-07-04,0.00121,-0.06761
2002-07-05,0.00081,-0.05799
2002-07-08,0.00299,-0.06119
2002-07-09,0.00322,-0.06761
2002-07-10,-0.00024,-0.07777
2002-07-11,-0.00091,-0.07990
2002-07-12,0.00045,-0.08097
2002-07-15,-0.00123,-0.08953
2002-07-16,-0.00405,-0.09167
2002-07-17,-0.00124,-0.08846
2002-07-18,0.00049,-0.08846
2002-07-19,-0.00564,-0.10664
2002-07-22,-0.00892,-0.11573
2002-07-23,-0.01404,-0.12909
2002-07-24,-0.01010,-0.11091
2002-07-25,-0.01201,-0.11626
2002-07-26,-0.01383,-0.11252
2002-07-29,-0.01069,-0.09701
2002-07-30,-0.00818,-0.09594
2002-07-31,-0.00188,-0.08953
2002-08-01,-0.00315,-0.09915
2002-08-02,0.00006,-0.10236
2002-08-05,0.00006,-0.10236
2002-08-06,-0.00390,-0.10503
2002-08-07,-0.00206,-0.10396
2002-08-08,0.00155,-0.09060
2002-08-09,0.00328,-0.08846
2002-08-12,0.00256,-0.09327
2002-08-13,0.00107,-0.09915
2002-08-14,0.00088,-0.09381
2002-08-15,0.00081,-0.09220
2002-08-16,0.00081,-0.09113
2002-08-19,0.00367,-0.07777
2002-08-20,0.00648,-0.07830
2002-08-21,0.00420,-0.07723
2002-08-22,0.00335,-0.07295
2002-08-23,0.00149,-0.08365
2002-08-26,0.00549,-0.07616
2002-08-27,0.00519,-0.08258
2002-08-28,0.00342,-0.09060
2002-08-29,0.00639,-0.08846
2002-08-30,0.00633,-0.08686
2002-09-02,0.00633,-0.08686
2002-09-03,0.00410,-0.10343
2002-09-04,0.00745,-0.09541
2002-09-05,0.00835,-0.09808
2002-09-06,0.00604,-0.09648
2002-09-09,0.00665,-0.09327
2002-09-10,0.00814,-0.08792
2002-09-11,0.00973,-0.08365
2002-09-12,0.01059,-0.09434
2002-09-13,0.01104,-0.09648
2002-09-16,0.00939,-0.09701
2002-09-17,0.00507,-0.10771
2002-09-18,0.00423,-0.11252
2002-09-19,-0.00016,-0.12481
2002-09-20,-0.00195,-0.12321
2002-09-23,-0.00057,-0.13230
2002-09-24,-0.00469,-0.13604
2002-09-25,-0.00525,-0.12856
2002-09-26,-0.00478,-0.12321
2002-09-27,-0.00556,-0.13069
2002-09-30,-0.00266,-0.12930
2002-10-01,-0.00348,-0.12233
