Date,Fund,benchmark
2008-09-02,-0.00268,-0.01307
2008-09-03,-0.00858,-0.02067
2008-09-04,-0.01462,-0.03838
2008-09-05,-0.01519,-0.03838
2008-09-08,-0.01472,-0.03838
2008-09-09,-0.02393,-0.05947
2008-09-10,-0.02077,-0.04597
2008-09-11,-0.01943,-0.03754
2008-09-12,-0.02070,-0.03585
2008-09-15,-0.02886,-0.06158
2008-09-16,-0.03064,-0.05863
2008-09-17,-0.03716,-0.08393
2008-09-18,-0.03485,-0.07043
2008-09-19,-0.02918,-0.04218
2008-09-22,-0.03525,-0.06242
2008-09-23,-0.03889,-0.06959
2008-09-24,-0.03962,-0.07170
2008-09-25,-0.04300,-0.06664
2008-09-26,-0.05064,-0.08393
2008-09-29,-0.06535,-0.12990
2008-09-30,-0.06203,-0.10310
2008-10-01,-0.06219,-0.10733
2008-10-02,-0.07125,-0.13736
2008-10-03,-0.06981,-0.13862
2008-10-06,-0.06903,-0.15554
2008-10-07,-0.07578,-0.18133
2008-10-08,-0.07311,-0.17922
2008-10-09,-0.07825,-0.20205
2008-10-10,-0.08655,-0.21559
2008-10-13,-0.08655,-0.21559
2008-10-14,-0.08488,-0.17245
2008-10-15,-0.08939,-0.20713
2008-10-16,-0.09047,-0.19783
2008-10-17,-0.09533,-0.19233
2008-10-20,-0.08622,-0.15765
2008-10-21,-0.08567,-0.17711
2008-10-22,-0.08440,-0.20079
2008-10-23,-0.08434,-0.19571
2008-10-24,-0.08381,-0.20544
2008-10-27,-0.08873,-0.23377
2008-10-28,-0.08283,-0.19444
2008-10-29,-0.09211,-0.19402
2008-10-30,-0.08860,-0.17584
2008-10-31,-0.09517,-0.17964
2008-11-03,-0.09965,-0.18599
2008-11-04,-0.09794,-0.17034
2008-11-05,-0.09773,-0.18683
2008-11-06,-0.09974,-0.20671
2008-11-07,-0.09465,-0.19656
2008-11-10,-0.09325,-0.19444
2008-11-11,-0.09678,-0.20797
2008-11-12,-0.09364,-0.22700
2008-11-13,-0.09656,-0.20417
2008-11-14,-0.09881,-0.22108
2008-11-17,-0.10172,-0.23292
2008-11-18,-0.10389,-0.22785
2008-11-19,-0.10623,-0.24646
2008-11-20,-0.10284,-0.27479
2008-11-21,-0.10311,-0.25322
2008-11-24,-0.10726,-0.23927
2008-11-25,-0.10342,-0.23758
2008-11-26,-0.09784,-0.21981
2008-11-27,-0.09672,-0.21643
2008-11-28,-0.09301,-0.19825
2008-12-01,-0.09608,-0.23842
2008-12-02,-0.09069,-0.23292
2008-12-03,-0.09213,-0.23081
2008-12-04,-0.08707,-0.23927
2008-12-05,-0.09079,-0.23250
2008-12-08,-0.08840,-0.21432
2008-12-09,-0.08639,-0.21643
2008-12-10,-0.08459,-0.20501
2008-12-11,-0.08939,-0.22066
2008-12-12,-0.08665,-0.21432
2008-12-15,-0.08643,-0.22024
2008-12-16,-0.08134,-0.20332
2008-12-17,-0.07863,-0.20628
2008-12-18,-0.07706,-0.21474
2008-12-19,-0.07383,-0.20834
2008-12-22,-0.07640,-0.22361
2008-12-23,-0.07915,-0.22488
2008-12-24,-0.07506,-0.22488
2008-12-25,-0.07506,-0.22488
2008-12-26,-0.07506,-0.22488
2008-12-29,-0.06510,-0.21088
2008-12-30,-0.06158,-0.19900
2008-12-31,-0.06158,-0.18967
2009-01-01,-0.06158,-0.18967
2009-01-02,-0.06631,-0.17864
2009-01-05,-0.07251,-0.17991
2009-01-06,-0.06705,-0.17185
2009-01-07,-0.06557,-0.18500
2009-01-08,-0.06729,-0.18543
2009-01-09,-0.06410,-0.19222
2009-01-12,-0.06152,-0.20240
2009-01-13,-0.05977,-0.19688
2009-01-14,-0.05658,-0.20749
2009-01-15,-0.05795,-0.20113
2009-01-16,-0.05931,-0.19985
2009-01-19,-0.06217,-0.20282
2009-01-20,-0.06477,-0.22488
2009-01-21,-0.06546,-0.21088
2009-01-22,-0.07061,-0.22319
2009-01-23,-0.07465,-0.22319
2009-01-26,-0.07611,-0.22107
2009-01-27,-0.07353,-0.21470
2009-01-28,-0.07388,-0.20325
2009-01-29,-0.07699,-0.21810
2009-01-30,-0.07791,-0.22446
