Date,Fund,benchmark
2001-09-04,-0.00967,-0.02512
2001-09-05,-0.00406,-0.01020
2001-09-06,-0.00455,-0.01805
2001-09-07,0.00091,-0.00785
2001-09-10,0.00169,-0.00549
2001-09-11,0.00169,-0.00549
2001-09-12,0.00169,-0.00549
2001-09-13,0.00518,-0.00549
2001-09-14,0.00658,-0.00549
2001-09-17,0.01822,0.02983
2001-09-18,0.01959,0.03611
2001-09-19,0.02357,0.04396
2001-09-20,0.02106,0.03846
2001-09-21,0.01951,0.03375
2001-09-24,0.01305,0.01413
2001-09-25,0.01245,0.01020
2001-09-26,0.02073,0.03532
2001-09-27,0.02091,0.03375
2001-09-28,0.02581,6.61850
2001-10-01,0.02762,6.65863
2001-10-02,0.02689,6.67009
2001-10-03,0.02587,6.57837
2001-10-04,0.02173,6.51532
2001-10-05,0.03051,6.71595
2001-10-08,0.03051,6.71595
2001-10-09,0.02289,6.54971
2001-10-10,0.01440,6.34907
2001-10-11,0.00425,6.21149
2001-10-12,0.01172,6.36627
2001-10-15,0.00809,6.28602
2001-10-16,0.01331,6.37774
2001-10-17,0.01788,6.45226
2001-10-18,0.01752,6.40067
2001-10-19,0.01259,6.32041
2001-10-22,0.00650,6.19430
2001-10-23,0.00344,6.20576
2001-10-24,0.00945,6.28028
2001-10-25,0.01510,6.31468
2001-10-26,0.01321,6.30321
2001-10-29,0.01749,6.27455
2001-10-30,0.02474,6.37774
2001-10-31,0.02691,6.39493
2001-11-01,0.03425,6.48092
2001-11-02,0.03875,6.62997
2001-11-05,0.03562,6.54398
2001-11-06,0.03533,6.48665
2001-11-07,0.03989,6.54971
2001-11-08,0.03293,6.40067
2001-11-09,0.03772,6.46946
2001-11-12,0.03772,6.46946
2001-11-13,0.03039,6.45226
2001-11-14,0.02568,6.43506
2001-11-15,0.01532,6.33761
2001-11-16,0.01134,6.27455
2001-11-19,0.00350,6.11404
2001-11-20,0.00582,6.10258
2001-11-21,0.00525,6.12551
2001-11-22,0.00524,6.14844
2001-11-23,0.00234,6.11404
2001-11-26,0.00416,6.10831
2001-11-27,0.00800,6.22869
2001-11-28,0.00778,6.23442
2001-11-29,0.00581,6.18283
2001-11-30,0.01025,6.26309
