Date,Fund,benchmark
2011-07-04,0.00977,0.00447
2011-07-05,0.01108,0.00536
2011-07-06,0.01459,0.00536
2011-07-07,0.01762,0.00536
2011-07-08,0.01384,0.00581
2011-07-11,0.00535,-0.00089
2011-07-12,-0.00111,-0.00223
2011-07-13,-0.00402,0.00089
2011-07-14,-0.00946,-0.00268
2011-07-15,-0.01020,-0.00045
2011-07-18,-0.01342,-0.00402
2011-07-19,-0.00666,-0.00045
2011-07-20,-0.01057,-0.00134
2011-07-21,-0.00077,0.00223
2011-07-22,0.00404,0.00626
2011-07-25,-0.00402,0.00313
2011-07-26,-0.01029,-0.00134
2011-07-27,-0.02230,-0.01251
2011-07-28,-0.02301,-0.01072
2011-07-29,-0.02462,-0.01206
2011-08-01,-0.02462,-0.01206
2011-08-02,-0.04496,-0.02055
2011-08-03,-0.03820,-0.01698
2011-08-04,-0.06406,-0.03485
2011-08-05,-0.06674,-0.04513
2011-08-08,-0.11066,-0.06836
2011-08-09,-0.08305,-0.04424
2011-08-10,-0.10547,-0.04781
2011-08-11,-0.07508,-0.03217
2011-08-12,-0.06862,-0.02994
2011-08-15,-0.06003,-0.02502
2011-08-16,-0.06639,-0.03172
2011-08-17,-0.06673,-0.02815
2011-08-18,-0.09610,-0.04781
2011-08-19,-0.10740,-0.05764
2011-08-22,-0.10650,-0.05585
2011-08-23,-0.08187,-0.04111
2011-08-24,-0.07244,-0.04155
2011-08-25,-0.08476,-0.04647
2011-08-26,-0.07588,-0.04334
2011-08-29,-0.05820,-0.03485
2011-08-30,-0.05469,-0.02994
2011-08-31,-0.05038,-0.02502
2011-09-01,-0.06282,-0.02815
2011-09-02,-0.07627,-0.03262
2011-09-05,-0.07627,-0.03262
2011-09-06,-0.07711,-0.03798
2011-09-07,-0.05722,-0.02770
2011-09-08,-0.06411,-0.02994
2011-09-09,-0.07877,-0.04066
2011-09-12,-0.07664,-0.05228
2011-09-13,-0.07490,-0.05049
2011-09-14,-0.05927,-0.04468
2011-09-15,-0.05136,-0.04021
2011-09-16,-0.05096,-0.04558
2011-09-19,-0.04959,-0.04870
2011-09-20,-0.04766,-0.04736
2011-09-21,-0.06181,-0.05809
2011-09-22,-0.07042,-0.07149
2011-09-23,-0.06375,-0.07328
2011-09-26,-0.04577,-0.06211
2011-09-27,-0.04403,-0.05764
2011-09-28,-0.05139,-0.06613
2011-09-29,-0.04130,-0.05898
2011-09-30,-0.04052,-0.06285
2011-10-03,-0.03669,-0.07893
2011-10-04,-0.03452,-0.07715
2011-10-05,-0.04533,-0.06910
2011-10-06,-0.04867,-0.05525
2011-10-07,-0.05035,-0.06374
2011-10-10,-0.05035,-0.06374
2011-10-11,-0.05467,-0.05123
2011-10-12,-0.06427,-0.04631
2011-10-13,-0.05900,-0.04855
2011-10-14,-0.06763,-0.04274
2011-10-17,-0.05755,-0.04810
2011-10-18,-0.06212,-0.04408
2011-10-19,-0.05875,-0.05257
2011-10-20,-0.06236,-0.05346
2011-10-21,-0.06450,-0.04720
2011-10-24,-0.06667,-0.03782
2011-10-25,-0.05443,-0.03961
2011-10-26,-0.06402,-0.03827
2011-10-27,-0.07337,-0.02441
2011-10-28,-0.07075,-0.02128
2011-10-31,-0.07223,-0.03469
2011-11-01,-0.05351,-0.03916
2011-11-02,-0.05687,-0.03201
2011-11-03,-0.06095,-0.01994
2011-11-04,-0.05447,-0.02039
2011-11-07,-0.05495,-0.01771
2011-11-08,-0.05759,-0.01547
2011-11-09,-0.04968,-0.03156
2011-11-10,-0.05400,-0.03290
2011-11-11,-0.05592,-0.02441
2011-11-14,-0.05208,-0.02709
2011-11-15,-0.05087,-0.02620
2011-11-16,-0.04968,-0.02978
2011-11-17,-0.04679,-0.04184
2011-11-18,-0.04966,-0.04363
2011-11-21,-0.04198,-0.04855
2011-11-22,-0.04198,-0.04899
2011-11-23,-0.03838,-0.05748
2011-11-24,-0.03934,-0.06061
2011-11-25,-0.04438,-0.06374
2011-11-28,-0.05304,-0.05436
2011-11-29,-0.05712,-0.05212
2011-11-30,-0.06071,-0.03067
2011-12-01,-0.06288,-0.03603
2011-12-02,-0.06048,-0.03559
2011-12-05,-0.05929,-0.03335
2011-12-06,-0.06553,-0.03648
2011-12-07,-0.06170,-0.03156
2011-12-08,-0.05209,-0.03827
2011-12-09,-0.05689,-0.03424
2011-12-12,-0.05401,-0.04139
2011-12-13,-0.04969,-0.04586
2011-12-14,-0.04561,-0.05301
2011-12-15,-0.04586,-0.05436
2011-12-16,-0.04222,-0.04899
2011-12-19,-0.04097,-0.08573
2011-12-20,-0.04720,-0.07897
2011-12-21,-0.05272,-0.07987
2011-12-22,-0.05573,-0.07446
