Date,Fund,benchmark
2016-06-02,0.00428,0.00398
2016-06-03,0.02515,0.00478
2016-06-06,0.02322,0.00318
2016-06-07,0.02096,0.00836
2016-06-08,0.02638,0.00597
2016-06-09,0.03175,0.00279
2016-06-10,0.03244,-0.00597
2016-06-13,0.03174,-0.00916
2016-06-14,0.02800,-0.01314
2016-06-15,0.03705,-0.00955
2016-06-16,0.03233,-0.01035
2016-06-17,0.03074,-0.01075
2016-06-20,0.02720,-0.00677
2016-06-21,0.01956,-0.00637
2016-06-22,0.02442,-0.00557
2016-06-23,0.01959,-0.00040
2016-06-24,0.04042,-0.01592
2016-06-27,0.04859,-0.02189
2016-06-28,0.04688,-0.01274
2016-06-29,0.04753,-0.00518
2016-06-30,0.04804,0.00018
2016-07-01,0.04804,0.00018
