Date,Fund,benchmark
2010-01-04,0.00774,0.00682
2010-01-05,0.01040,0.00864
2010-01-06,0.01252,0.00727
2010-01-07,0.01343,0.00500
2010-01-08,0.01650,0.00864
2010-01-11,0.01893,0.00955
2010-01-12,0.01277,0.00682
2010-01-13,0.01358,0.00682
2010-01-14,0.01061,0.00409
2010-01-15,0.00643,-0.00045
2010-01-18,0.00824,0.00227
2010-01-19,0.01325,0.00545
2010-01-20,0.01091,0.00500
2010-01-21,-0.00116,-0.00318
2010-01-22,-0.00896,-0.01136
2010-01-25,-0.00824,-0.00909
2010-01-26,-0.00758,-0.00864
2010-01-27,-0.00718,-0.00818
2010-01-28,-0.01193,-0.01182
2010-01-29,-0.02041,-0.01955
2010-02-01,-0.00987,-0.01136
2010-02-02,-0.00426,-0.00591
2010-02-03,-0.00579,-0.00682
2010-02-04,-0.02185,-0.01909
2010-02-05,-0.01705,-0.01864
2010-02-08,-0.02301,-0.02136
2010-02-09,-0.01518,-0.01591
2010-02-10,-0.01758,-0.01727
2010-02-11,-0.01263,-0.01455
2010-02-12,-0.01231,-0.01364
2010-02-15,-0.01231,-0.01364
2010-02-16,-0.00480,-0.00818
2010-02-17,-0.00159,-0.00636
2010-02-18,0.00169,-0.00500
2010-02-19,0.00154,-0.00455
2010-02-22,-0.00035,-0.00636
2010-02-23,-0.00330,-0.00727
2010-02-24,-0.00227,-0.00636
2010-02-25,0.00390,-0.00182
2010-02-26,0.00292,-0.00364
2010-03-01,0.00679,-0.00273
2010-03-02,0.01004,0.00000
2010-03-03,0.01006,-0.00091
2010-03-04,0.00894,-0.00182
2010-03-05,0.01691,0.00636
2010-03-08,0.01503,0.00591
2010-03-09,0.01369,0.00455
2010-03-10,0.01514,0.00682
2010-03-11,0.01728,0.00864
2010-03-12,0.01599,0.00955
2010-03-15,0.01670,0.00909
2010-03-16,0.02136,0.01227
2010-03-17,0.02237,0.01136
2010-03-18,0.02159,0.00955
2010-03-19,0.01725,0.00409
2010-03-22,0.02020,0.00727
2010-03-23,0.02383,0.01000
2010-03-24,0.01980,0.00682
2010-03-25,0.01863,0.00682
2010-03-26,0.02058,0.00773
2010-03-29,0.02348,0.01000
2010-03-30,0.02247,0.01091
2010-03-31,0.02285,0.00987
2010-04-01,0.03134,0.01123
2010-04-02,0.03134,0.01123
2010-04-05,0.03446,0.00987
2010-04-06,0.03341,0.00850
2010-04-07,0.03292,0.00577
2010-04-08,0.03344,0.00395
2010-04-09,0.03951,0.00896
2010-04-12,0.03771,0.00850
2010-04-13,0.03405,0.00668
2010-04-14,0.04278,0.01032
2010-04-15,0.04425,0.01214
2010-04-16,0.03411,0.00532
2010-04-19,0.03662,0.00668
2010-04-20,0.03566,0.00395
2010-04-21,0.03799,0.00304
2010-04-22,0.04006,0.00168
2010-04-23,0.04685,0.00532
2010-04-26,0.04932,0.00759
2010-04-27,0.04079,0.00122
2010-04-28,0.03812,-0.00470
2010-04-29,0.04700,0.00213
2010-04-30,0.04844,0.00259
2010-05-03,0.04739,0.00350
2010-05-04,0.03489,-0.00287
2010-05-05,0.02543,-0.00970
2010-05-06,0.02269,-0.01061
2010-05-07,0.00821,-0.02062
2010-05-10,0.02833,-0.00788
2010-05-11,0.03413,-0.01061
2010-05-12,0.04845,-0.00151
2010-05-13,0.04058,-0.00470
2010-05-14,0.03373,-0.00879
2010-05-17,0.02050,-0.01607
2010-05-18,0.01449,-0.01835
2010-05-19,0.00581,-0.01971
2010-05-20,-0.01459,-0.02927
2010-05-21,-0.00638,-0.02472
2010-05-24,-0.00638,-0.02472
2010-05-25,-0.00482,-0.02836
2010-05-26,-0.00344,-0.02973
2010-05-27,0.01234,-0.02062
2010-05-28,0.00536,-0.02472
2010-05-31,0.01022,-0.02290
2010-06-01,-0.00277,-0.03155
2010-06-02,0.01083,-0.02381
2010-06-03,0.01283,-0.02017
2010-06-04,-0.00400,-0.03018
2010-06-07,-0.00863,-0.03883
2010-06-08,-0.00750,-0.03974
2010-06-09,-0.01417,-0.04429
2010-06-10,-0.00090,-0.03564
2010-06-11,0.00328,-0.03200
2010-06-14,0.00118,-0.03155
2010-06-15,0.01880,-0.01880
2010-06-16,0.02095,-0.01880
2010-06-17,0.02534,-0.01744
2010-06-18,0.02497,-0.02017
2010-06-21,0.02315,-0.01835
2010-06-22,0.01286,-0.02426
2010-06-23,0.01545,-0.02017
2010-06-24,0.00551,-0.02791
2010-06-25,0.00848,-0.03064
2010-06-28,0.00217,-0.03337
2010-06-29,-0.02171,-0.04656
2010-06-30,-0.01953,-0.04587
2010-07-01,-0.01953,-0.04587
2010-07-02,-0.03111,-0.04815
2010-07-05,-0.03340,-0.05043
2010-07-06,-0.03717,-0.04541
2010-07-07,-0.03463,-0.03491
2010-07-08,-0.04034,-0.03172
2010-07-09,-0.03719,-0.02898
2010-07-12,-0.03679,-0.02715
2010-07-13,-0.03639,-0.02030
2010-07-14,-0.03654,-0.02167
2010-07-15,-0.03282,-0.01391
2010-07-16,-0.03511,-0.02213
2010-07-19,-0.03880,-0.02213
2010-07-20,-0.03753,-0.01985
2010-07-21,-0.03679,-0.02578
2010-07-22,-0.03352,-0.01802
2010-07-23,-0.03270,-0.01619
2010-07-26,-0.03446,-0.01345
2010-07-27,-0.04225,-0.01574
2010-07-28,-0.03853,-0.01619
2010-07-29,-0.03563,-0.01482
2010-07-30,-0.03122,-0.01574
2010-08-02,-0.03122,-0.01574
2010-08-03,-0.02606,-0.00843
2010-08-04,-0.02155,-0.01026
2010-08-05,-0.01909,-0.01072
2010-08-06,-0.01172,-0.00524
2010-08-09,-0.01167,-0.00204
2010-08-10,-0.00993,-0.00204
2010-08-11,-0.01211,-0.01300
2010-08-12,-0.00802,-0.01756
2010-08-13,-0.00759,-0.01802
2010-08-16,-0.00139,-0.01528
2010-08-17,-0.00293,-0.01072
2010-08-18,0.00013,-0.00980
2010-08-19,0.00375,-0.01163
2010-08-20,0.00631,-0.01026
2010-08-23,0.00515,-0.00889
2010-08-24,0.00525,-0.01437
2010-08-25,0.01224,-0.01026
2010-08-26,0.01617,-0.01163
2010-08-27,0.01747,-0.00250
2010-08-30,0.02118,-0.00113
2010-08-31,0.02774,0.00298
2010-09-01,0.02276,0.00618
2010-09-02,0.02621,0.01120
2010-09-03,0.03106,0.00937
2010-09-06,0.03106,0.00937
2010-09-07,0.03885,0.00937
2010-09-08,0.02958,0.00481
2010-09-09,0.02123,0.00435
2010-09-10,0.02478,0.00572
2010-09-13,0.02459,0.00937
2010-09-14,0.03444,0.01120
2010-09-15,0.03227,0.00800
2010-09-16,0.03842,0.00800
2010-09-17,0.04203,0.00937
2010-09-20,0.04610,0.01485
2010-09-21,0.04742,0.01302
2010-09-22,0.05351,0.01394
2010-09-23,0.05451,0.01120
2010-09-24,0.05202,0.01713
2010-09-27,0.05263,0.01805
2010-09-28,0.06108,0.02352
2010-09-29,0.06271,0.02809
2010-09-30,0.06333,0.02425
2010-10-01,0.06376,0.02562
2010-10-04,0.05910,0.02288
2010-10-05,0.07367,0.03249
2010-10-06,0.07767,0.03294
2010-10-07,0.06998,0.03111
2010-10-08,0.07700,0.03615
2010-10-11,0.07700,0.03615
2010-10-12,0.07818,0.03706
2010-10-13,0.08791,0.04027
2010-10-14,0.08408,0.03935
2010-10-15,0.08173,0.03844
2010-10-18,0.08429,0.04118
2010-10-19,0.07285,0.03981
2010-10-20,0.08121,0.04256
2010-10-21,0.07501,0.04164
2010-10-22,0.07678,0.04164
2010-10-25,0.08327,0.04301
2010-10-26,0.08482,0.03981
2010-10-27,0.07568,0.03340
2010-10-28,0.08134,0.03340
2010-10-29,0.09105,0.03889
2010-11-01,0.08978,0.03752
2010-11-02,0.09117,0.03752
2010-11-03,0.08939,0.03706
2010-11-04,0.11021,0.04713
2010-11-05,0.11347,0.04851
2010-11-08,0.12606,0.05171
2010-11-09,0.11150,0.04439
2010-11-10,0.11546,0.04439
2010-11-11,0.11647,0.04439
2010-11-12,0.10076,0.03569
2010-11-15,0.09551,0.03249
2010-11-16,0.08348,0.02837
2010-11-17,0.08827,0.03020
2010-11-18,0.10390,0.03981
2010-11-19,0.10985,0.04073
2010-11-22,0.11215,0.04027
2010-11-23,0.10283,0.03157
2010-11-24,0.10759,0.03340
2010-11-25,0.11114,0.03523
2010-11-26,0.10910,0.03478
2010-11-29,0.10869,0.03386
2010-11-30,0.11874,0.03661
2010-12-01,0.13060,0.04347
