Date,Fund,benchmark
2002-03-04,-0.00091,0.01330
2002-03-05,-0.00747,0.01223
2002-03-06,0.00167,0.02074
2002-03-07,-0.01263,0.02021
2002-03-08,-0.01609,0.01862
2002-03-11,-0.01340,0.01809
2002-03-12,-0.00740,0.01543
2002-03-13,-0.01077,0.01330
2002-03-14,-0.01493,0.01170
2002-03-15,-0.01466,0.01596
2002-03-18,-0.00148,0.01755
2002-03-19,-0.00244,0.01809
2002-03-20,-0.00335,0.01117
2002-03-21,-0.00205,0.01011
2002-03-22,0.00881,0.00745
2002-03-25,0.01847,-0.00053
2002-03-26,0.01603,0.00319
2002-03-27,0.03631,0.00904
2002-03-28,0.03378,0.01153
2002-03-29,0.03378,0.01153
2002-04-01,0.03880,0.01419
2002-04-02,0.03514,0.01206
2002-04-03,0.02476,0.00726
2002-04-04,0.02301,0.00300
2002-04-05,0.01985,0.00193
2002-04-08,0.01947,-0.00073
2002-04-09,0.01450,-0.00340
2002-04-10,0.02631,0.00193
2002-04-11,0.01416,-0.00979
2002-04-12,0.01924,-0.00606
2002-04-15,0.01790,-0.00286
2002-04-16,0.02354,0.00673
2002-04-17,0.02819,0.00620
2002-04-18,0.02533,0.00193
2002-04-19,0.03019,0.00513
2002-04-22,0.02304,-0.00233
2002-04-23,0.01938,-0.00659
2002-04-24,0.01785,-0.00766
2002-04-25,0.01598,-0.00979
2002-04-26,0.01705,-0.01619
2002-04-29,0.01337,-0.01832
2002-04-30,0.01516,-0.01246
2002-05-01,0.01787,-0.01086
2002-05-02,0.01892,-0.01086
2002-05-03,0.02207,-0.01192
2002-05-06,0.01866,-0.01832
2002-05-07,0.01651,-0.01992
2002-05-08,0.02964,-0.00713
2002-05-09,0.02530,-0.01512
2002-05-10,0.02114,-0.02205
2002-05-13,0.03362,-0.01672
2002-05-14,0.03193,-0.01086
2002-05-15,0.02965,-0.01246
2002-05-16,0.03429,-0.00926
2002-05-17,0.03714,-0.01032
2002-05-20,0.03714,-0.01032
2002-05-21,0.04238,-0.01725
2002-05-22,0.04419,-0.01832
2002-05-23,0.05742,-0.01299
2002-05-24,0.05247,-0.01779
2002-05-27,0.04987,-0.01725
2002-05-28,0.05252,-0.01938
2002-05-29,0.04923,-0.02205
2002-05-30,0.04153,-0.02365
2002-05-31,0.04496,-0.02152
2002-06-03,0.04202,-0.02738
2002-06-04,0.04091,-0.02951
2002-06-05,0.03455,-0.02791
2002-06-06,0.03060,-0.03537
2002-06-07,0.02228,-0.03644
2002-06-10,0.01282,-0.03644
2002-06-11,0.01259,-0.04017
2002-06-12,0.00821,-0.04177
2002-06-13,-0.00134,-0.04656
2002-06-14,0.00417,-0.04656
2002-06-17,0.00884,-0.03697
2002-06-18,0.01249,-0.03910
2002-06-19,0.00384,-0.04710
2002-06-20,0.00605,-0.05349
2002-06-21,-0.00194,-0.06042
2002-06-24,-0.00107,-0.06202
2002-06-25,-0.00701,-0.06415
2002-06-26,-0.01466,-0.07055
2002-06-27,-0.01541,-0.06522
2002-06-28,-0.00916,-0.05799
2002-07-01,-0.00916,-0.05799
2002-07-02,-0.00695,-0.07082
2002-07-03,-0.00647,-0.06814
2002-07-04,-0.00832,-0.06761
2002-07-05,-0.01778,-0.05799
2002-07-08,-0.00969,-0.06119
2002-07-09,-0.00489,-0.06761
2002-07-10,-0.00149,-0.07777
2002-07-11,0.00357,-0.07990
2002-07-12,0.00564,-0.08097
2002-07-15,0.01552,-0.08953
2002-07-16,0.01318,-0.09167
2002-07-17,0.01177,-0.08846
2002-07-18,0.01482,-0.08846
2002-07-19,0.01805,-0.10664
2002-07-22,0.02185,-0.11573
2002-07-23,0.02054,-0.12909
2002-07-24,0.02430,-0.11091
2002-07-25,0.02156,-0.11626
2002-07-26,0.01507,-0.11252
2002-07-29,0.00492,-0.09701
2002-07-30,0.00850,-0.09594
2002-07-31,0.01519,-0.08953
2002-08-01,0.01893,-0.09915
2002-08-02,0.02711,-0.10236
2002-08-05,0.02711,-0.10236
2002-08-06,0.01873,-0.10503
2002-08-07,0.01998,-0.10396
2002-08-08,0.01716,-0.09060
2002-08-09,0.01785,-0.08846
2002-08-12,0.02286,-0.09327
2002-08-13,0.02145,-0.09915
2002-08-14,0.02466,-0.09381
2002-08-15,0.01751,-0.09220
2002-08-16,0.01786,-0.09113
2002-08-19,0.01473,-0.07777
2002-08-20,0.02013,-0.07830
2002-08-21,0.01391,-0.07723
2002-08-22,0.00475,-0.07295
2002-08-23,0.00733,-0.08365
2002-08-26,0.01021,-0.07616
2002-08-27,0.01416,-0.08258
2002-08-28,0.01918,-0.09060
2002-08-29,0.02594,-0.08846
2002-08-30,0.02381,-0.08686
2002-09-02,0.02381,-0.08686
2002-09-03,0.03377,-0.10343
2002-09-04,0.03703,-0.09541
2002-09-05,0.04110,-0.09808
2002-09-06,0.03526,-0.09648
2002-09-09,0.03398,-0.09327
2002-09-10,0.03063,-0.08792
2002-09-11,0.02948,-0.08365
2002-09-12,0.03960,-0.09434
2002-09-13,0.04219,-0.09648
2002-09-16,0.03801,-0.09701
2002-09-17,0.03354,-0.10771
2002-09-18,0.04221,-0.11252
2002-09-19,0.04113,-0.12481
2002-09-20,0.03740,-0.12321
2002-09-23,0.04258,-0.13230
2002-09-24,0.04431,-0.13604
2002-09-25,0.03867,-0.12856
2002-09-26,0.03274,-0.12321
2002-09-27,0.03255,-0.13069
2002-09-30,0.03526,-0.12930
2002-10-01,0.02902,-0.12233
